現slug	新slug候補	title	フラグ
kirinopuriizuraku	kiri-no-please-raku	霧のプリーズラク = ТУМАННЫЙ ПРЙЗРАК	
kisekaedoorumamichan	kisekae-doll-mami-chan	きせかえDOLLマミちゃん	
kisudedamashiteochinaide	kiss-de-damashite-ochinaide	キスで騙して落ちないで	
kisudeochinaisukyandaru	kiss-de-ochinai-scandal	キスでオチないスキャンダル	
kisuha20toshininattekara	kiss-wa-hatachi-ni-natte-kara	※キスは20歳(はたち)になってから	
kisushitehoshii	kiss-shite-hoshii	キスしてほしい?	
kisuwasousanoatodeagein	kiss-wa-sousa-no-ato-de-again	キスは捜査のあとでアゲイン	
kitarounobetonamusenki	kitarou-no-vietnam-senki	鬼太郎のベトナム戦記	
kitsunetoisshonikurashitara	kitsune-to-issho-ni-kurashitara	きつねと一緒に暮らしたら	
kitsushiyoukajin	kisshou-kajin	吉祥花人	
kittokamisamamoshiranai	kitto-kamisama-mo-shiranai	きっと神様も知らない	
kittoshiawasenoasagakuru	kitto-shiawase-no-asa-ga-kuru	きっと幸せの朝がくる	
kizokureijouniumaretakaraniwanengannodaradaraniitoseikatsushitai	kizoku-reijou-ni-umareta-kara-niwa-nengan-no-daradara-neet-seikatsu-shitai	貴族令嬢に生まれたからには念願のだらだらニート生活したい。	
kobakunwakoigawakaranai	koba-kun-wa-koi-ga-wakaranai	古葉くんは恋がワカらない	
kodokumoratoriamu	kodoku-moratorium	孤独モラトリアム	
kodomotachinojikan	kodomotachi-no-jikan	子供たちの時間	
kodomotachiwosemenaide	kodomotachi-o-semenaide	子供達をせめないで	
kohakuironokishiwaseijonohidariteniaiochikau	kohakuiro-no-kishi-wa-seijo-no-hidarite-ni-ai-o-chikau	琥珀色の騎士は聖女の左手に愛を誓う	
koigokorokaihatsujikkyou	koigokoro-kaihatsu-jikkyou	恋心開発実況	
koimookawaridekimasuka	koi-mo-okawari-dekimasu-ka	恋もおかわりできますか?	
koiniitaruyamai	koi-ni-itaru-yamai	恋に至る病	
koinohatemadeyoyaminoounisarawarete	koi-no-hate-made-yoyami-no-ou-ni-sarawarete	恋の果てまで、夜闇の王に攫われて	
koiotsuzuruniariiikooru	koi-o-tsuzuru-nearly-equal	恋を綴るニアリーイコール	
koishikutesukyandaru	koishikute-scandal	恋しくてスキャンダル	
koishitekurerunamaibadi	koishitekureruna-my-buddy	恋してくれるな、マイバディ	
koisuruhouteishiki	koisuru-houteishiki	恋する方程式	
koitoshinkuronishitei	koi-to-synchronicity	恋とシンクロニシティ	
kojiraseyamasewawakarasetai	kojirase-yamase-wa-wakarasetai	こじらせ山瀬はわからせたい	
kokorookinakushoukiwosutee	kokoro-okinaku-shouki-o-sutee	心おきなく正気を捨てえ!!	
konnamonikagassukaa	konnamon-ikagassukaa	こんなもんいかがっすかぁ	
konnanosukininaranaiwakeganai	konna-no-suki-ni-naranai-wake-ga-nai	こんなの、好きにならないわけがない! 上	
konnichihaotokotachi	konnichiha-otokotachi	こんにちは男達	
konnichihasensei	konnichiwa-sensei	こんにちは先生	
konohanashitsuzukiwahakabade	kono-hanashi-tsuzuki-wa-hakaba-de	このハナシ、つづきは墓場で。	
konokisuwajikonanoniironashinowatashiganazekasaikyounomahoutsukainitorawarete	kono-kiss-wa-jiko-nanoni-ironashi-no-watashi-ga-nazeka-saikyou-no-mahoutsukai-ni-torawarete	このキスは事故なのに色無しの私がなぜか最強の魔法使いにとらわれてます	
konotabikoushakukenoreijounokonyakushatonarimashitashikashiuwasadewaseika	konotabi-koushaku-ke-no-reijou-no-konyakusha-to-narimashita-shikashi-uwasa-dewa-seika	この度、公爵家の令嬢の婚約者となりました。しかし、噂では性格が悪く、十歳も年上です。	
konshierujuinperiaru	concierge-imperial	コンシェルジュインペリアル	
konyaanatatonetemitai	konya-anata-to-netemitai	今夜あなたと寝てみたい	
konyakushasamaniwaunmeinohiroingaarawaremasugazanteikonyakuraifuoma	konyakusha-sama-niwa-unmei-no-heroine-ga-arawaremasu-ga-zantei-konyaku-life-o-ma	婚約者様には運命のヒロインが現れますが、暫定婚約ライフを満喫します! : 嫌われ悪女の猫転生譚	
koorimainoaufugiisaa	koorimai-no-aufgieser	氷舞のアウフギーサー	
koorinokoushakusamatowatashinoshiawasenakeiyakusaikon	koori-no-koushaku-sama-to-watashi-no-shiawase-na-keiyaku-saikon	氷の公爵様と私の幸せな契約再婚	
kotchimiteyosensei	kocchi-mite-yo-sensei	こっち見てよ、先生	
kotobanoyuraizukan	kotoba-no-yurai-zukan	ことばのゆらい図鑑	
kotomonashikyouichirou	kotomonashi-kyouichirou	こともなし凶一郎!!	
koukoukyoushimonogatari	koukou-kyoushi-monogatari	高校教師物語	
kouunnoshokichigaijounitakakattakoukouseigakanzumegachadeteniireta	kouun-no-shokichi-ga-ijou-ni-takakatta-koukousei-ga-kanzume-gacha-de-te-ni-ireta	幸運の初期値が異常に高かった高校生が、缶詰ガチャで手に入れたスキルを使って現代ダンジョンで最強になる物語	
kubinashinogotokitatarumono	kubinashi-no-gotoki-tataru-mono	首無の如き祟るもの	
kubinonaichoukoku	kubi-no-nai-choukoku	首のない彫刻	
kurarionnokodomotachi	clarion-no-kodomotachi	クラリオンの子供たち	
kurayaminiakumaga	kurayami-ni-akuma-ga	くらやみに悪魔が!	
kurenainochousensha	kurenai-no-chousensha	紅の挑戦者	
kurenaisanshirou	kurenai-sanshirou	紅三四郎	
kurihimeayakashiyobanashi	kurihime-ayakashi-yobanashi	繰り巫女あやかし夜噺	
kurisutahajimetenomangaseisakunyuumon	clip-studio-hajimete-no-manga-seisaku-nyuumon	クリスタはじめての漫画制作入門	
kurohyoukunwatabechaitai	kurohyou-kun-wa-tabechaitai	黒豹くんは食べちゃいたい。	
kurokaminomedeyuusa	kurokami-no-medusa	黒髪のメデューサ	
kuronekonoougonkitsunenoyoru	kuroneko-no-ougon-kitsune-no-yoru	黒猫の黄金、狐の夜. 上	
kurorekishiniyoroshiku	kuro-rekishi-ni-yoroshiku	黒歴史によろしく	
kurosurabukizokukan	cross-love-kizokukan	クロスラブ・貴族館	
kuruhimonekomeewaku	kuru-hi-mo-neko-mewaku	来る日もねこめーわく	
kurumizawayoshihikonogukou	kurumizawa-yoshihiko-no-gukou	来見沢善彦の愚行	
kusakanmurinohime	kusakanmuri-no-hime	草冠の姫	
kusareenhodokirigatai	kusare-en-hodo-kirigatai	腐れ縁ほど切り難い	
kushiikunnohatsumei	xi-kun-no-hatsumei	クシー君の発明	
kyanpasutsurinikki	campus-tsuri-nikki	キャンパス釣り日記	
kyojintachinodensetsu	kyojintachi-no-densetsu	巨人たちの伝説	
kyoufuhenoshoutai	kyoufu-eno-shoutai	恐怖への招待	
kyoufumimibukuro	kyoufu-mimibukuro	恐怖耳袋	
kyoufunofukkatsu	kyoufu-no-fukkatsu	恐怖の復活	
kyoukarabokuwakanojonobatsubatsuokaishousuru	kyou-kara-boku-wa-kanojo-no-batsubatsu-o-kaishou-suru	今日から僕は、彼女の××を解消する。	
kyoukarakoitokosodatehajimemasu	kyou-kara-koi-to-kosodate-hajimemasu	今日から恋と子育てはじめます	
kyoukasannokoinohiyaku	kyouka-san-no-koi-no-hiyaku	恭花さんの恋の秘薬	
kyoumobarezunisugoseta	kyou-mo-barezu-ni-sugoseta	きょうもバレずに過ごせた!	
kyoumokafenanakusabiyori	kyou-mo-cafe-nanakusa-biyori	今日もカフェななくさ日和	
kyouwanazonazonohi	kyou-wa-nazonazo-no-hi	今日はなぞなぞの日	
kyuubanmenootoko	kyuubanme-no-otoko	九番目の男	
kyuuketsuoujitoikeniehanayome	kyuuketsu-ouji-to-ikenie-hanayome	吸血皇子と生贄花嫁	
maboroshinohanayome	maboroshi-no-hanayome	まぼろしの花嫁	
maboroshinokaihebibachihebi	maboroshi-no-kaihebi-bachihebi	幻の怪蛇 バチヘビ	
machigaeraretahanayome	machigaerareta-hanayome	間違えられた花嫁	
machitohitonoromansu	machi-to-hito-no-romance	街と人のロマンス	
mahounoaidorupasuteruyuumi	mahou-no-idol-pastel-yuumi	魔法のアイドルパステルユーミ	
mainichinekozanmai	mainichi-neko-zanmai	マイニチねこざんまい	
makinaniomakase	makina-ni-omakase	マキナにおまかせ	
makunouchidesumatchi	makunouchi-deathmatch	幕の内デスマッチ!!	
mangakenkanryuu	manga-kenkanryu	マンガ嫌韓流	
mangetsunoyoruni	mangetsu-no-yoru-ni	まんげつのよるに	
manhattannidakarete	manhattan-ni-dakarete	マンハッタンに抱かれて	
mariachirudoren	maria-children	少女戎機(マリアチルドレン)	
maruboukabushikigaisha	marubou-kabushikigaisha	〔○暴〕株式会社	
masatsunoototaimashin	masatsu-note-taimashin	魔殺ノート退魔針	
matchiipponnohanashi	match-ippon-no-hanashi	マッチ一本の話	
matsurowanumono	matsurowanu-mono	まつろはぬもの	
mayonakanokodomo	mayonaka-no-kodomo	真夜中の子供	
mayonakanosenshi	mayonaka-no-senshi	真夜中の戦士	
mechankokoushien	mechanko-koushien	めちゃんこ甲子園	
mederaremasenka	mederaremasenka	愛でられませんか?	変化なし
meioukeikakuzeoraimaa	meiou-keikaku-zeorymer	冥王計画ゼオライマー	
memememememememememenheraa	memememememememe-menhera	メメメメメメメメメメンヘラぁ…	
memoriatechnica	memoria-technica	Memoriatechnica	
menkuiegurekeibu	menkui-egure-keibu	面くいエグレ警部	
meshibanakeijitachibana	meshibana-deka-tachibana	めしばな刑事タチバナ	
meshimorisamurai	meshimori-samurai	飯盛り侍	
mezaseyamakazoku	mezase-yama-kazoku	めざせ!山カゾク♪	
midorinoyuuwaku	midori-no-yuuwaku	緑の誘惑	
minamisuitadaigakuyakyuubu	minami-suita-daigaku-yakyuubu	南吹田大学野球部	
minamotohakasenoijounabatsubatsu	minamoto-hakase-no-ijou-na-batsubatsu	源博士の異常な××	
minisukaatodoumei	miniskirt-doumei	ミニスカート同盟	
minnamyuujikaru	minna-musical	みんなミュージカル!	
mirainokuninokenji	mirai-no-kuni-no-kenji	未来の国のケンジ	
mitamasekyureitei	mitama-security	ミタマセキュ霊ティ	
mitsuechangaiku	mitsue-chan-ga-iku	みつえちゃんが行く!!	
mitsumenoyumeji	mitsume-no-yumeji	三ツ目の夢二	
mojamojashitamononaani	mojamoja-shita-mono-naani	もじゃもじゃしたものなーに?	
momotaroujigokuhen	momotarou-jigokuhen	桃太郎地獄変	
monomanedorishinfonii	monomanedori-symphony	ものまね鳥シンフォニー	
morikawakuminosekai	morikawa-kumi-no-sekai	森川久美の世界	
moshikashiteshinderera	moshikashite-cinderella	もしかしてシンデレラ	
motokosenseinobaai	motoko-sensei-no-baai	モト子せんせいの場合	
mottainaihodoiionna	mottainai-hodo-ii-onna	もったいないほどいい女	
mousugureddozoon	mousugu-red-zone	もうすぐレッドゾーン	
mumeinohitobitoishokuretsuden	mumei-no-hitobito-ishoku-retsuden	無名の人々 異色列伝	
mumenmokutaikoubouden	mumenmoku-taikoubouden	無面目・太公望伝	
munekatakyoujudenkikou	munekata-kyouju-denkikou	宗像教授伝奇考	
mushijingiofisharukomikku	mushi-jingi-official-comic	蟲神器オフィシャルコミック	
mushirareppanashi	mushirare-ppanashi	虫られっ話	
musumegahahanichikazukutoki	musume-ga-haha-ni-chikazuku-toki	娘が母に近づくとき	
nagusameteagerutsu	nagusamete-ageru	なぐさめてあげるッ❤	
namikibashidooriaobajitenshaten	namikibashi-doori-aoba-jitenshaten	並木橋通りアオバ自転車店	
nanatsuokenoiwa	nanatsu-oke-no-iwa	七ツ桶の岩	
narashikatanashi	narashika-tanashi	ならしかたなし	
nekogamijarashi	nekogami-jarashi	猫神じゃらし!	
nekomatakurobee	nekomata-kurobee	猫又黒兵衛	
nekonomachinoko	neko-no-machi-no-ko	猫の街の子	
nekonotekashishimasu	neko-no-te-kashishimasu	猫の手貸します	
nekotsugurajima	neko-tsugura-jima	猫つぐら島	
nezumisannonagaipan	nezumi-san-no-nagai-pan	ねずみさんのながいパン	
nezumisannookaimono	nezumi-san-no-okaimono	ねずみさんのおかいもの	
nigatsunikoroshitesakuraniumeru	nigatsu-ni-koroshite-sakura-ni-umeru	二月に殺して桜に埋める	
nigirizushisanokunen	nigirizushi-san-oku-nen	にぎり寿司三億年	
nihonyoukaitaizen	nihon-youkai-taizen	日本妖怪大全	
nijiironotorokkii	nijiiro-no-trotsky	虹色のトロッキー	
nikonikogenkihappiichan	nikoniko-genki-happy-chan	にこにこ元気☆ハッピーちゃん	
ninjabugeichoukagemaruden	ninja-bugeichou	忍者武芸帳	
ninkyousakazukigotonosubete	ninkyou-sakazukigoto-no-subete	任侠・盃事のすべて	
nishitookyoometaruburazaazu	nishi-tokyo-metal-brothers	ニシトーキョーメタルブラザーズ	
norajoshikousei	nora-joshikousei	のら女子高生	
noroinowanpiisu	noroi-no-one-piece	呪いのワンピース	
norowaretakotou	norowareta-kotou	呪われた孤島	
nyuusutanteikonan	news-tantei-conan	ニュース探偵コナン	
oborojuuninchou	oboro-juunin-chou	おぼろ十忍帖	
ochitaringowakoioshiru	ochita-ringo-wa-koi-o-shiru	落ちた林檎は恋を知る	
ojousamagojoudano	ojousama-gojoudan-o	お嬢様、ご冗談を!	
ojousannokeiyakukareshi	ojousan-no-keiyaku-kareshi	お嬢さんの契約カレシ。	
okazarihimenodekiaikeikaku	okazari-hime-no-dekiai-keikaku	お飾り姫の溺愛計画	
okazusutaanibokuhanaru	reizouko-no-tsukenosuke	れいぞうこのつけのすけ!	
okitsunesamanookiniiri	okitsune-sama-no-okiniiri	お狐様のお気に入り	
okumanchoujaniienaihimitsu	okuman-chouja-ni-ienai-himitsu	億万長者に言えない秘密	
omaegayattandaro	omae-ga-yattandaro	お前がヤったんだろ!	
omaenotoikioubatteitta	omae-no-toiki-o-ubatte-itta	おまえの吐息を奪っていった	
oneesamatooyobitsu	oneesama-to-oyobi	お姉さまとお呼びっ!!	
onekosamazugurashi	oneko-samazu-gurashi	お猫さまズ暮らし。	
onnatootokonokousaten	onna-to-otoko-no-kousaten	女と男の交差点	
ooedosumouretsuden	ooedo-sumou-retsuden	大江戸相撲列伝	
ookamikoushakutoainoreiyaku	ookami-koushaku-to-ai-no-reiyaku	狼侯爵と愛の霊薬	
ookaminobaraado	ookami-no-ballad	狼のバラード	
ookuhiruhausunosanshimai	oak-hill-house-no-sanshimai	オークヒルハウスの三姉妹	
oosakafukeikeijibusousadaiikka	oosaka-fukei-keijibu-sousa-dai-ikka	大阪府警刑事部捜査第一課	
oosakisantokomorisan	oosaki-san-to-komori-san	大崎さんと小森さん	
oredewanaienjou	ore-dewa-nai-enjou	俺ではない炎上	
orenihaorenoutagaaru	ore-niha-ore-no-uta-ga-aru	俺にはオレの唄がある	
orenogachiotagasemenanbaawantokakiitenai	ore-no-gachi-ota-ga-seme-number-one-toka-kiitenai	俺のガチオタが攻めナンバーワンとか聞いてない	
oretachiniasuhanaissu	oretachi-ni-asu-wa-naissu	俺たちに明日はないッス	
oretachiwashinkonsankamoshirenai	ore-tachi-wa-shinkon-san-kamoshirenai	俺達は新婚さんかもしれない. 蓮根編 上	
osaketosenpaikanojotonoamaamadoukyorabukomewahatachininattekara	osake-to-senpai-kanojo-tono-amaama-doukyo-lovecome-wa-hatachi-ni-natte-kara	お酒と先輩彼女との甘々同居ラブコメは二十歳になってから	
oshigotoshinasai	oshigoto-shinasai	お仕事しなさい!!	
oshisamanooosenomamani	oshi-sama-no-oose-no-mama-ni	推し様の仰せのままに	
oshitaimoushiagemasu	oshitai-moushiagemasu	お慕い申し上げます	
otsukiaishimasenka	otsukiai-shimasen-ka	お憑きあいしませんか	
oujitokishiwadansouseijogashinuhodoitooshii	ouji-to-kishi-wa-dansou-seijo-ga-shinu-hodo-itooshii	王子と騎士は男装聖女が死ぬほど愛おしい	
oujodeshitagakossoriryuukishidannosenzokukusushininarimashita	oujo-deshita-ga-kossori-ryuukishidan-no-senzoku-kusushi-ni-narimashita	王女でしたがこっそり竜騎士団の専属薬師になりました!	
oyoso100nenyuuheisareteitamajutsushifuufuwasekaiomeguru	oyoso-100-nen-yuuhei-sareteita-majutsushi-fuufu-wa-sekai-o-meguru	およそ100年幽閉されていた魔術師夫婦は世界を巡る	
paapekiotokozoku	paapeki-otoko-zoku	パーペキオトコ族	
pairottonohoshi	pilot-no-hoshi	パイロットの星	
pazurugeemuhaisukuuru	puzzle-game-highschool	パズルゲーム☆はいすくーる	
pureibooizamurai	playboy-zamurai	プレイボーイ侍	
puresakuranbomonogatari	pre-sakuranbo-monogatari	プレ桜桃物語	
purogorufaasaru	pro-golfer-saru	プロゴルファー猿	
pururunzeminaaru	pururun-seminar	ぷるるんゼミナール	
ragunarokuonrain	ragnarok-online	ラグナロクオンライン	
rakkiiruutoherannaueiesuefutanpenshuu	lucky-route-he-runaway-sf-tanpenshu	ラッキールートへランナウェイ	
reichouruisaikyoudensetsugorio	reichourui-saikyou-densetsu-gorio	霊長類最強伝説ゴリ夫	
reikanchounouryokutoreeningu	reikan-chounouryoku-training	霊感・超能力トレーニング	
remontosakuranbo	lemon-to-sakuranbo	レモンとサクランボ	
renaidisutooshon	renai-distortion	恋愛ディストーション	
rengokuhyouryuu	rengoku-hyouryuu	恋獄漂流	
revantenokurotaishi	levante-no-kurotaishi	レヴァンテの黒太子	
ryuuguunotsukai	ryuuguu-no-tsukai	リュウグウノツカイ	
sabaaitoushirou	sabai-toushirou	サバーイ闘士郎	
sabishigariyanokonekotachi	sabishigariya-no-koneko-tachi	寂しがりやの小猫達	
saenaimunoureijounofuriyamemashita	saenai-munou-reijou-no-furi-yamemashita	冴えない無能令嬢のフリ、やめました	
saikikkuakademiikourabanshou	psychic-academy-koura-banshou	サイキックアカデミー煌羅万象	
saikounokoibitokouho	saikou-no-koibito-kouho	最高の恋人候補	
saikyoudemodorichuunenboukenshawaimasarainochinantekaketakunai	saikyou-demodori-chuunen-boukensha-wa-imasara-inochi-nante-kaketakunai	最強出戻り中年冒険者は、いまさら命なんてかけたくない	
saikyoukawaiiakiragyaru	saikyou-kawaii-akira-gyaru	最強!かわいい!あきらギャル	
saishuuheikiyuushaisekaidemaouotaoshitaatomootonashikushiteitanonii	saishuu-heiki-yuusha-isekai-de-maou-o-taoshita-ato-mo-otonashiku-shiteita-noni-i	最終兵器勇者～異世界で魔王を倒した後も大人しくしていたのに、いきなり処刑されそうになったので反逆します。国を捨ててスローライフの旅に出たのですが、なんか成り行きで新世界の魔王になりそうです～@COMIC	
sakinokuchibiru	saki-no-kuchibiru	早紀の唇	
sakuranbodaiarii	sakuranbo-diary	さくらんぼダイアリー	
sakuranbomonogatari	sakuranbo-monogatari	桜桃物語	
samehadaotokotomomojirionna	samehada-otoko-to-momojiri-onna	鮫肌男と桃尻女	
samishiimamonotoniseyuusha	samishii-mamono-to-nise-yuusha	さみしいマモノと偽勇者	
santareijouwanemurenukishienopurezentoninaritakunai	santa-reijou-wa-nemurenu-kishi-e-no-present-ni-naritakunai	サンタ令嬢は眠れぬ騎士へのプレゼントになりたくない	
sarabaitoshikipetenshi	saraba-itoshiki-petenshi	さらば愛しきペテン師	
sarariimannotamashii	salaryman-no-tamashii	サラリーマンの魂	
sarariimanshokeinisasagu	salaryman-shokei-ni-sasagu	サラリーマン諸兄に捧ぐ?	
saruwatarikyoujunokareinarutatakai	saruwatari-kyouju-no-kareinaru-tatakai	猿渡教授の華麗なる闘い	
sasurainogyanburaa	sasurai-no-gambler	さすらいのギャンブラー	
satsujinseerusu	satsujin-sales	殺人セールス	
sayonarajurietto	sayonara-juliet	さよならジュリエット	
sayonaranokajitsutachi	sayonara-no-kajitsutachi	さよならの果実たち	
sebangou0gakunenshiban	sebangou-0-gakunenshi-ban	背番号0 学年誌版	
seijosamawatorikaekoattomaakukomikku	seijo-sama-wa-torikaeko-at-comic	聖女さまは取り替え子@COMIC	
seikendensetsupurinsesuobumana	seiken-densetsu-princess-of-mana	聖剣伝説PRINCESS of MANA	
seishunkikkuofu	seishun-kick-off	青春キック・オフ!	
seishunsanmyaku	seishun-sanmyaku	青春山脈	
senchimentaruumii	sentimental-rumi	センチメンタルーミー	
senritsunotakoshoujo	senritsu-no-tako-shoujo	戦慄のタコ少女	
shatouunsupesharu	shatoun-special	シャトゥーンスペシャル	
shiataaapparekanketsuhen	theater-appare-kanketsuhen	シアターアッパレ 完結編	
shiawasenojikan	shiawase-no-jikan	幸せの時間	
shiitondoubutsuki	seton-doubutsuki	シートン動物記	
shijinhaichinichinishitenarazu	shijin-wa-ichinichi-ni-shite-narazu	詩人は一日にして成らず	
shikabanegatana	shikabanegatana	屍刀-シカバネガタナ-	変化なし
shikakuijanguru	shikakui-jungle	四角いジャングル	
shimobenooujisama	shimobe-no-ouji-sama	しもべの王子様	
shindererakishi	cinderella-kishi	シンデレラ騎士	
shindererasensou	cinderella-sensou	シンデレラ戦争	
shindokudamisou	shin-dokudami-sou	新・どくだみ荘	
shindouseijidai	shin-dousei-jidai	新・同棲時代	
shingyakuhakkendenautokaraazu	shin-gyaku-hakkenden-outcolors	新逆八犬伝アウトカラーズ	
shinibitogatari	shinibitogatari	シニビトガタリ	変化なし
shinigamishounenkimu	shinigami-shounen-kim	死神少年キム	
shinimonogakari	shinimonogakari	しにものがかり	変化なし
shinishukakutoutaisen	shin-ishu-kakutou-taisen	真・異種格闘大戦	
shinjirarenation	shinjirarenation	シンジラレネーション	変化なし
shinjukushounentanteidan	shinjuku-shounen-tanteidan	新宿少年探偵団	
shinpurogorufaasaru	shin-pro-golfer-saru	新プロゴルファー猿	
shinreijoumonogatari	shin-reijou-monogatari	真・隷嬢物語	
shinrupansansei	shin-lupin-sansei	新ルパン三世	
shinsengumiyawakondouisami	shinsengumi-yawa-kondou-isami	新選組夜話近藤勇	
shinshiawasenojikan	shin-shiawase-no-jikan	新・幸せの時間	
shiotaiounaosananajimiganazekaoredakeniamaindesukedo	shio-taiou-na-osananajimi-ga-nazeka-ore-dake-ni-amain-desu-kedo	塩対応な幼なじみがなぜか俺だけに甘いんですけど!?	
shiritsusentaidaitenjin	shiritsu-sentai-daitenjin	市立戦隊ダイテンジン	
shishanoshouzou	shisha-no-shouzou	死者の肖像	
shokeisareruateumaoujiwatashigashiawaseniitashimasu	shokei-sareru-ateuma-ouji-watashi-ga-shiawase-ni-itashimasu	処刑される当て馬王子、私が幸せにいたします!	
shopannisasagerurokkunrooru	chopin-ni-sasageru-rock-n-roll	ショパンに捧げるロックンロール	
shoujogensouayashinonishikie	shoujo-gensou-ayashi-no-nishikie	少女幻想怪錦絵	
shoujohatsunetsu	shoujo-hatsunetsu	少女発熱	
shoujonokisetsu	shoujo-no-kisetsu	少女の季節	
shounangurafutei	shounan-graffiti	湘南グラフティ	
shounenbanrobottoikka	shounen-ban-robot-ikka	少年版 ロボット一家	
shounenmaakettaagorou	shounen-marketer-gorou	少年マーケッター五郎	
shuppatsuseishunki	shuppatsu-seishunki	出発!青春記	
shutsudouminisukaporisu	shutsudou-miniska-police	出動!!ミニスカポリス	
shuudenshanaratokkuniitteshimatta	shuudensha-nara-tokku-ni-itte-shimatta	終電車ならとっくに行ってしまった	
shuumatsunokikennaasobi	shuumatsu-no-kiken-na-asobi	週末の危険な遊び	
shuushifunohibiki	shuushifu-no-hibiki	終止符の響き	
sobakasunoshounen	sobakasu-no-shounen	そばかすの少年	
sokokarasakihakeserasera	soko-kara-saki-wa-ke-sera-sera	そこからさきはケ★セラ★聖良	
sonomukounomukougawa	sono-mukou-no-mukougawa	その向こうの向こう側	
sorehachottooishiikusuri	sore-wa-chotto-oishii-kusuri	それはちょっとおいしい薬	
soreyukeisekaichiitomajutsushimajishan	soreyuke-isekai-cheat-magician	それゆけ!異世界チート魔術師(マジシャン)	
soshitebokuhakekkonnihashitta	soshite-boku-wa-kekkon-ni-hashitta	そして僕は結婚にはしった	
sprichworterbuch	sprichwoerterbuch	シュプリヒヴェルターブーフ	
sugiurashigeruondemandosenshuu	sugiura-shigeru-on-demand-senshuu	杉浦茂オンデマンド選集	
sukoshidakebarairo	sukoshi-dake-bara-iro	すこしだけバラ色	
sukuranburueggu	scramble-egg	すくらんぶるエッグ	
sukuranburukouka	scramble-kouka	スクランブル効果	
sukyandarutsuushin	scandal-tsuushin	スキャンダル通信	
sumahitorashimu	sumaitorashimu	すまひとらしむ	
supponmonogatari	suppon-monogatari	すっぽん物語	
surugajougozanjiai	suruga-jou-gozanjiai	駿河城御前試合	
sutedoujimatsudairatadashiteru	sutedouji-matsudaira-tadateru	捨て童子松平忠輝	
tabakoyanomusume	tabakoya-no-musume	たばこ屋の娘	
taberarechainayo	taberarechaina-yo	たべられちゃいなヨ!	
tabetakunatchatta	tabetaku-nacchatta	食べたくなっちゃった	
taigaamasukunisei	tiger-mask-nisei	タイガーマスク二世	
takemitsuzamurai	takemitsu-zamurai	竹光侍	
takitayuumeisakugekijou	takita-yuu-meisaku-gekijou	滝田ゆう名作劇場	
tamakitoyohikokunsatsujinjiken	tamaki-toyohiko-kun-satsujin-jiken	タマキトヨヒコ君殺人事件	
tamasakaniromanchikku	tamasaka-ni-romantic	たまさかにロマンチック	
tappukunnotanteishitsu	tap-kun-no-tantei-shitsu	タップ君の探偵室	
teifaniideyakusokuo	tiffany-de-yakusoku-o	ティファニーで約束を	
teitonomeidowakoisomuru	teito-no-maid-wa-koi-somuru	帝都の使用人は恋染むる	
tekkoumutekikagakudaimagou	tekkou-muteki-kagaku-daimagou	鉄鋼無敵科學大魔號	
tenshinobodiitooku	tenshi-no-body-talk	天使のボディートーク	
tentoumushinouta	tentoumushi-no-uta	てんとう虫の歌	
tetsunosenritsu	tetsu-no-senritsu	鉄の旋律	
tokeijikakenoringo	tokei-jikake-no-ringo	時計仕掛けのりんご	
tokimekisagashi	tokimeki-sagashi	ときめきさがし	
tokiotometagogo	toki-o-tometa-gogo	時をとめた午後	
tomodachizukuri	tomodachi-zukuri	トモダチヅクリ	
tonarinoosoegawa	tonari-no-osoegawa	隣の小副川	
torikagohimezono	torikago-himezono	鳥篭姫園	
toropikaruzamurai	tropical-zamurai	トロピカル侍	
toshidensetsunohanakosan	toshi-densetsu-no-hanako-san	都市伝説の花子さん. 下	
toshishitaaidorukunwawagamamadeshittobukai	toshishita-idol-kun-wa-wagamama-de-shittobukai	年下アイドル君はわがままで嫉妬深い	
toukonpurodakushon	toukon-production	闘魂プロダクション	
toukyoumonogatari	toukyou-monogatari	東京物語	
tsugeyoshiharushiryoushuusei	tsuge-yoshiharu-shiryou-shuusei	つげ義春資料集成	
tsukimonogakari	tsukimonogakari	ツキモノガカリ	変化なし
tsuriyadomonogatari	tsuriyado-monogatari	釣宿ものがたり	
tsuwamonogatari	tsuwamonogatari	ツワモノガタリ	変化なし
uchuusenkanyamato	uchuu-senkan-yamato	宇宙戦艦ヤマト	
uewoshitahenojiretta	ue-o-shita-e-no-giretta	上を下へのジレッタ	
ukedatosemehara	ukeda-to-semehara	受田と攻原	
umaretekitakara	umarete-kita-kara	生まれてきたから	
umikarakitadooru	umi-kara-kita-doll	海から来たドール	
uminomichirugohan	umi-no-michiru-gohan	海のみちるごはん	
uminomukoukiminotonari	umi-no-mukou-kimi-no-tonari	海の向こう君のとなり	
uramichifudousan	uramichi-fudousan	裏道不動産	
usaginotoppinbikkuripanku	usagi-no-toppin-bikkuri-punk	うさぎのとっぴんびっくりパンク	
ushironohyakutarou	ushiro-no-hyakutarou	うしろの百太郎	
usotsukinakisudekyoumobaibai	usotsuki-na-kiss-de-kyou-mo-byebye	嘘つきなキスで今日もバイバイ	
utanojouzunamusume	uta-no-jouzu-na-musume	唄の上手な娘	
uwakibiirusuhasseichuu	uwaki-virus-hasseichu	浮気ビールス発生中!	
vaacharukaruchaa	virtual-culture	転輪聖王	
viinasunihizamazuke	venus-ni-hizamazuke	美神にひざまずけ!	
