why	stems	titles	authors
題不一致	angel-dust-neo,angel-dust-neo-nanase-2003	エンジェル/ダスト / ANGEL/DUST neo	七瀬葵
題不一致	angelic-kanbaseeshon,are-you-enemy	エンジェリック・カンバセーション / Are you enemy?	宮本佳野
題不一致+集合不一致	ano-hi-no-aozora,hi-no-ataru-sakamichi,kaerenai-futari,koi-to-junrei,mahiru-no-tsuki,semishigure-no-yamu-koro,shigatsu-ni-nareba-kanojo-wa,umimachi-diary	あの日の青空 / 陽のあたる坂道 / 帰れないふたり / 恋と巡礼 / 真昼の月 / 蝉時雨のやむ頃 / 四月になれば彼女は / 海街diary	吉田秋生
題不一致+集合不一致	aozora-kazoku,aozora-kazoku-serekuto	あおぞら家族 / あおぞら家族セレクト	芝しってる
題不一致+集合不一致	apuroozukassai,buruuju	アプローズ / ブルージュ	有吉京子
題不一致	aquarium,aquarium-2000	Aquarium / アクアリウム	須藤真澄
題不一致+集合不一致	atashi-ni-yarasena,atashi-ni-yarasena-stj	教師にやらせな! / 教師にやらせな!S・T・J	酒井美羽
題不一致	ayashi,noroi,urami	妖 / 呪 / 怨	犬木加奈子
題不一致+集合不一致	bakuten-hero-bureedaa-diijiei,bakuten-hero-bureedaa-dj	爆転ヒーローブレーダーDJ / 爆転HEROブレーダーDJ	おおせよしお
題不一致+集合不一致	batsuichi-30ans,batsuichi-trentaine	バツイチ30ans / バツイチ・トランタン	小池田マヤ
題不一致	bibou-no-series,hana-chiru-yoru-ni-kimi-o-omoeba,june-pride,kisetsu-hazure-no-kaidan	美貌のディテイル / 花散る夜にきみを想えば / June pride / 季節はずれのカイダン	おおや和美
題不一致	bidan-no-dendou-dii-ekkusu,bidan-no-dendou-zetto,binan-no-dendou	美男の殿堂DX / 美男の殿堂Z / 美男の殿堂	神葉理世
題不一致+集合不一致	bird,bird-1994	バード / Bird	かざま鋭二
題不一致+著者不一致+集合不一致	brains,brains-1997	ブレインズ / BRAINS	久保田眞二 / 伊藤智義
題不一致+集合不一致	bullets,intron-depot	Bullets / INTRON DEPOT	士郎正宗
題不一致	check,happy-no-recipe	Check!! / HAPPYのRECIPE	兄崎ゆな
題不一致	chocolat-no-mahou-memorial-collection,chocolat-no-mahou-perfect-collection	ショコラの魔法 ティアーズコレクション / ショコラの魔法 パーフェクトコレクション	みづほ梨乃
著者不一致+集合不一致	comic-higashino-keigo-mystery,comic-higashino-keigo-mystery-2014	コミック東野圭吾ミステリー / コミック東野圭吾ミステリー	オキモト・シュウ / 松枝尚嗣
題不一致+集合不一致	comic-kyuuyaku-seisho-souseiki,souseiki-1989	コミック旧約聖書 創世記 / 創世記	藤原カムイ
題不一致+著者不一致+集合不一致	daitokai-ni-hoero,yu-no-hana-tubame	大都会にほえろ / 湯の花つばめ	こなみ詔子 / 楠桂
題不一致+集合不一致	dear-boys,dear-boys-act-3	Dear boys / DEAR BOYS ACT 3	八神ひろき
題不一致	dessin,nico-says	dessin / NICO SAYS	小野塚カホリ
題不一致+集合不一致	dusk-story,dusk-street	ダスクストーリィ / ダスクストリート	TONO
著者不一致+集合不一致	enueichikee-sono-toki-rekishi-ga-ugoita,nhk-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた / NHKその時歴史が動いた	ながいのりあき / 井上大助
題不一致+集合不一致	eva-lady,eva-lady-miyonescy	Eva lady / エヴァ・レディ	御米椎
題不一致+集合不一致	fate-grand-order-turas-r-alta,fate-grand-order-turas-realta	Fate/Grand Order-turas réalta- / Fate/Grand Order-turas realta-	カワグチタケシ
著者不一致+集合不一致	fukkokuban-shounen-magazine-dai-zenshuu,fukkokuban-shounen-magazine-daizenshuu	復刻版少年マガジン大全集 / 復刻版少年マガジン大全集	ジョージ秋山 / 赤塚不二夫
題不一致	fuufu-partner-kankei-mo-sore-de-ii,sore-de-ii,yappari-sore-de-ii	夫婦・パートナー関係もそれでいい。 / それでいい。 / やっぱり、それでいい。	細川貂々
題不一致	gatarou-sensei-arigatou,warattegoran	画太郎先生ありがとう / わらってごらん	漫☆画太郎
題不一致+著者不一致+集合不一致	gegege-no-kitarou-1987,saishinban-gegege-no-kitarou	ゲゲゲの鬼太郎 / 最新版 ゲゲゲの鬼太郎	水木しげる / 水木プロ
題不一致	goburinzu-rai,ranpushieedo,satanikku-buranchi	ゴブリンズ・ライ / ランプシェード / サタニックブランチ	坂田靖子
題不一致+著者不一致+集合不一致	golf-jinsei,pastel-kazoku	ゴルフ・人生 / パステル家族	いけうち誠一 / セイ
題不一致+著者不一致+集合不一致	golgo-13,uesugi-kenshin	ゴルゴ13 / 上杉謙信	さいとう・たかを / 岡村賢二
題不一致+集合不一致	gurazeni,gurazeni-2014	グラゼニ / Gurazeni	アダチケイジ
題不一致+集合不一致	haisai-taiyou-musume,teida-neenee	ハイサイ!太陽娘 / 太陽娘	池田さとみ
題不一致+集合不一致	hal-ayase-2017,hal-makino-2010	ハル / Hal	牧野あおい
題不一致	himawari-2011,ohi-sama-egao	向日葵 / おひさま笑顔	天野こずえ
題不一致+集合不一致	honto-yajuu,like-the-beast	ほんと野獣 / Like the beast	山本小鉄子
題不一致+集合不一致	hurricane,hurricane-1996	ハリケーン / Hurricane	ワタセセイゾウ
著者不一致+集合不一致	iyahaya-nantomo,iyahayanantomo	イヤハヤ南友 / イヤハヤ南友	永井豪 / 永井豪＆ダイナミック・プロ
題不一致+集合不一致	jinrou-e-no-tensei-maou-no-fukukan,jinrou-eno-tensei-maou-no-fukukan-hajimari-no-show	人狼への転生、魔王の副官 / 人狼への転生、魔王の副官 はじまりの章	瑚澄遊智
題不一致	joou-o-aishita-ansatsusha,shiroki-ouji-no-koimonogatari	女王を愛した暗殺者 / 白き王子の恋物語	さちみりほ
題不一致	kaidan-kyuuden,tenkafun	階段宮殿 / 天花粉	坂田靖子
題不一致+集合不一致	kaitou-lupin-den-abanchurie-toujou-hen,kaitou-lupin-den-aventurier	怪盗ルパン伝アバンチュリエ 登場編 / 怪盗ルパン伝アバンチュリエ	森田崇
題不一致+集合不一致	kawaite-sourou,kuchiyaku-mondo-kawaitesourou	乾いて候 / 唇役主丞乾いて候	小島剛夕
著者不一致+集合不一致	kibun-wa-mou-sensou,kibun-wa-mou-sensou-2002	気分はもう戦争 / 気分はもう戦争	大友克洋 / 藤原カムイ
題不一致+集合不一致	kingdom-hearts-3,kingdom-hearts-3-2020	キングダムハーツⅢ / キングダムハーツ3	天野シロ
題不一致+集合不一致	koi-shita-hito-wa-imouto-no-kawari-ni-shinde-kure-to-itta,koishita-hito-wa-imouto-no-kawari-ni-shindekure-to-itta-imouto-to-kekkon-shita-kataomoi-aite-ga	恋した人は、妹の代わりに死んでくれと言った。@COMIC / 恋した人は、妹の代わりに死んでくれと言った。-妹と結婚した片思い相手がなぜ今さら私のもとに?と思ったら-@COMIC	家守まき
著者不一致+集合不一致	kouya-hijiri,kouyahijiri	高野聖 / 高野聖	杲栄順 / 田辺節雄
題不一致	kyuuso-wa-cheese-no-yume-o-miru,kyuuso-wa-cheese-no-yume-o-miru-all-in-wan-edition,kyuuso-wa-cheese-no-yume-o-miru-reboot-edition	窮鼠はチーズの夢を見る / 窮鼠はチーズの夢を見るオールインワンエディション / 窮鼠はチーズの夢を見るリブートエディション	水城せとな
題不一致+集合不一致	lemon-hakusho,lemon-hakusho-1979	れもん白書 / レモン白書	吉田まゆみ
題不一致+集合不一致	macross-7-trash,macross-7-trash-2009	マクロス7トラッシュ / マクロス7trash	美樹本晴彦
題不一致+集合不一致	magical-girl-llyrical-nanoha,magical-girl-lyrical-nanoha-movie-1st-the-comics	Magical Girl Llyrical NANOHA / Magical Girl Lyrical Nanoha movie 1st the comics	長谷川光司
題不一致+集合不一致	mangaban-nobushi-no-gourmet,nobushi-no-gourmet	漫画版野武士のグルメ / 野武士のグルメ	土山しげる
題不一致+著者不一致+集合不一致	mazinger,mazinger-z	Mazinger / マジンガーZ	桜多吾作 / 永井豪
題不一致	mobile-hazure-no-meiwakusei,onegai-maruchi-kun	軌道はずれの迷惑星 / おねがい!マルチくん	やぶうち優
題不一致+集合不一致	mobile-suit-gundam-f90,mobile-suit-gundam-f90-1997	Mobile suit gundam F90 / 機動戦士ガンダムF90	中原れい
題不一致+集合不一致	mousou-suit,mousou-suit-yamamoto	妄想戦士 / 妄想戦士ヤマモト	小野寺浩二
題不一致+集合不一致	onna-kudouden-rei,shin-onna-kudouden-rei	女苦道伝れい / 新女苦道伝れい	叶精作
題不一致+集合不一致	oshie-danna-sama,oshiete-danna-sama	教え❤旦那サマ / 教えて・旦那サマ	草薙竜樹
題不一致+著者不一致+集合不一致	out,out-mizuta-2025	アウト / OUT	みずたまこと / 麻生歩
題不一致	percolation,percolation-2010	Percolation / パーコレイション	SUEZEN
著者不一致+集合不一致	perman,perman-fujiko-1979	パーマン / パーマン	藤子・F・不二雄 / 藤子不二雄
題不一致+集合不一致	reigen-ohatsu-torimono-hikae,tengukaze	霊験お初捕物控 / 天狗風	坂口よしを
題不一致+集合不一致	ri-zero-kara-hajimeru-isekai-seikatsu,ri-zero-kara-hajimeru-isekai-seikatsu-dai-sanshou-touruusu-obu-zero	Re:ゼロから始める異世界生活 / Re:ゼロから始める異世界生活 第三章Truth of Zero	マツセダイチ
著者不一致+集合不一致	ring-1996,ring-inagaki-1999	リング / リング	永井幸二郎 / 稲垣みさお
題不一致+集合不一致	series-atarimae-no-zeitaku,series-atarimae-no-zeitaku-sakanaai-ga-tamesareru-sore-ga-nizakana	シリーズあたりまえのぜひたく。 / シリーズあたりまえのぜひたく。 魚愛が試される、それが煮魚。	きくち正太
題不一致	shiroi-egumonto,wedding-dress	白いエグモント / ウェディング・ドレス	池田理代子
題不一致+集合不一致	silkroad-uchuu-yuku-hansen,uchuu-yuku-hansen	シルクロード 宇宙ゆく帆船 / 宇宙ゆく帆船	神坂智子
著者不一致+集合不一致	star-ocean-second-story,star-ocean-sekando-story	スターオーシャン セカンドストーリー / スターオーシャン セカンドストーリー	天麻灯 / 魔神ぐり子
著者不一致+集合不一致	the-combat,the-konbatto	ザ・コンバット / ザ・コンバット	あさりよしとお / 望月三起也
著者不一致+集合不一致	tsuukaa,tsuukaa-2018	つうかあ / つうかあ	しのはらしのめ / 入江紀子
著者不一致+集合不一致	ultra-seven,ultra-seven-1978	ウルトラセブン / ウルトラセブン	一峰大二 / 桑田二郎
集合不一致	ultraman-kazumine-1968,ultraman-tsuburaya-1997	ウルトラマン / ウルトラマン	一峰大二
題不一致	yami-ni-hikaru-youjiyo-no-me,yoru-aruku-shitai	闇に光る幼女の目 / 夜歩く死体	浜慎二
著者不一致+集合不一致	yatsuhakamura,yatsuhakamura-1996	八つ墓村 / 八つ墓村	影丸穣也 / 影丸譲也
題不一致+集合不一致	yorinuki-patalliro,yorinuki-patalliro-daikonsen	よりぬきパタリロ / よりぬきパタリロ 大混戦	魔夜峰央
