slug	title	ours	isbn_implies	madb_candidates	vols	isbn
ehonikkyuu-san	絵本いっきゅうさん	チャイルド本社	チクマ秀版社	チャイルド本社	1	9784805437902
eigoban-tsumi-to-batsu	英語版罪と罰	ジャパンタイムズ	ソニー・マガジンズ	ジャパンタイムズ	1	9784789005111
eigoban-za-chef	英語版ザ・シェフ	ジャパンタイムズ	ソニー・マガジンズ	ジャパンタイムズ	1	9784789003353
eigyou-smile-danjo	営業スマイル男女	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス (発売)	3	9784866972107
eikou-no-senkan-yamato	栄光の戦艦大和	学研マーケティング	学習研究社	学研マーケティング / 学研パブリッシング	1	9784056070897
eiyuu-densetsu-sen-no-kiseki	英雄伝説閃の軌跡	メディアパル	イカロス出版	メディアパル / フィールドワイ	6	9784802130110
eiyuu-densetsu-sora-no-kiseki-esushii	英雄伝説空の軌跡SC	メディアパル	イカロス出版	メディアパル / フィールドワイ	7	9784802130578
eiyuu-densetsu-sora-no-kiseki	英雄伝説空の軌跡	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エモーション	6	9784048992039
eiyuu-senki	英雄*戦姫	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048865739
engage-knight	エンゲージナイト	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048861830
engekibu-5funmae	演劇部5分前	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	3	9784047262744
engeki-shoujo-inochi	演撃少女命	角川書店	メディアワークス	角川書店 / メディアワークス	1	9784840215084
erotic-actor	エロティックアクター	三交社 (発売)	三交社	三交社 (発売) / メディアソフト	2	9784815502478
esuooesu-mushi-mushi-tanteidan	SOS!ムシムシ探偵団	メディアパル (発売)	イカロス出版	メディアパル (発売) / 久志本出版	1	9784802132695
eternal	Eternal	角川書店ニュータイプ	角川書店	角川書店ニュータイプ	1	9784048525084
eureka-seven-ao-save-a-prayer	エウレカセブンAO Save A Prayer	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041202814
eureka-seven-ao	エウレカセブンAO	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	5	9784041202821
ever-green-d	エバーグリード	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	3	9784047126411
evergreen	エバーグリーン	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	4	9784048866453
exorcist-no-hanayome	エクソシストの花嫁	ハーレクイン	ハーパーコリンズ・ジャパン	ハーレクイン	3	9784596743121
extrastrous	エキストラストラ★	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041202241
f1-sokuhou-guranpuri-tengoku	F1速報グランプリ天国	三栄	三栄書房	三栄	1	9784779640209
face	フェイス	幻冬舎ルネッサンス	三栄書房	幻冬舎ルネッサンス	2	9784779003998
fai-brain-kami-no-puzzle	ファイ・ブレイン～神のパズル	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041201749
faindaa-no-mitsuyaku	ファインダーの密約	リブレ出版	リブレ	リブレ	1	9784799730645
faindaa-no-shinjitsu	ファインダーの真実	リブレ	リブレ出版	リブレ	1	9784862636065
faindaagoshi-no-ano-ko	ファインダー越しのあの子	れんが書房新社	鹿砦社	れんが書房新社 / 道玄坂書房	2	9784846210083
fairy-jewel	Fairy Jewel	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048866217
famu-fataru	ファムファタル	アスキー・メディアワークス	KADOKAWA	アスキー・メディアワークス / 角川グループパブリッシング	2	9784048672504
finding-nemo	ファインディングニモ	徳間書店スタジオジブリ事業本部	徳間書店	徳間書店スタジオジブリ事業本部	4	9784197700981
fire-emblem-1993	ファイアーエムブレム	JICC出版局	宝島社	JICC出版局	1	9784796606042
flappy-technique-book	フラッピーテクニックブック	デービーソフト	大都社	デービーソフト	1	9784886580009
flyable-heart	Flyable Heart	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング	3	9784048687102
flying-shoujo-hai	フライング少女ハイ!	ピラミッド社	大陸書房	ピラミッド社	1	9784803311853
free-soul	Free soul	詳伝社	祥伝社	詳伝社	1	9784396763381
from-hell	フロム・ヘル	みすず書房	毎日新聞社	みすず書房	2	9784622074915
fruits-no-heya	フルーツの部屋	角川書店	KADOKAWA	角川書店 / プレビジョン	2	9784048940528
fujimoto-masaru-no-kaibun-eigakan	フジモトマサルの回文映画館 キネマへまねき	徳間オリオン	徳間書店	徳間オリオン	1	9784198601454
fujiwara-ranka-no-4koma-gekijou	藤原らんかの4コマ劇場	ニューズ出版	三栄書房	ニューズ出版	2	9784891074746
fujoshi-ssu	腐女子っス!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	7	9784048673150
fukanzen-shinsei-kikan-iris	不完全神性機関イリス	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041205853
fukigen-cinderella	フキゲンシンデレラ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048709200
fukigen-itoko-ga-kawaisugite-shikatanai-side-naoki	不機嫌イトコがかわい過ぎて仕方ないside直樹	三交社 (発売)	三交社	三交社 (発売) / 英和出版社	3	9784815550660
fukumitsu-shigeyuki-no-honobono-game-essei-manga	福満しげゆきのほのぼのゲームエッセイマンガ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	1	9784047286153
full-metal-panic-another	フルメタル・パニック!アナザー	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	6	9784041201763
full-metal-panic-sigma	フルメタル・パニック!Σ	角川グループパブリッシング	角川書店	角川書店 / 富士見書房 / 角川書店	19	9784047124165
fun	フン!	徳間書店スタジオジブリ事業本部	徳間書店	徳間書店スタジオジブリ事業本部	1	9784197500048
furoagari-no-yozora-ni	風呂上がりの夜空に	宝島社	講談社	宝島社	1	9784063132649
furyou-taimashi-reina	不良退魔師レイナ	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	6	9784909767530
fushigi-no-kuni-de-aimashou	不思議の国で会いましょう	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041202272
fushigi-no-kuni-de-koi-shiyou	不思議の国で恋しよう	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041202685
futago-no-imouto-ni-korosareta-ane-nidome-no-jinsei-wa-hatsukoi-no-ikeoji-outei-ni-furubetto-shimasu	双子の妹に殺された姉、二度目の人生は初恋のイケおじ王弟にフルベットします!	KADOKAWA	角川書店	KADOKAWA / ブシロードワークス	1	9784049211528
futari-de-okashina-kyuujitsu-o	ふたりでおかしな休日を	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	5	9784864688468
futari-no-alpha-ni-metorarete	ふたりのαに娶られて	三交社 (発売)	三交社	三交社 (発売) / メディアソフト	2	9784815502348
futari-wa-gozu-mezu	ふたりは牛頭馬頭!	角川グループホールディングス	KADOKAWA	角川グループホールディングス / 角川書店	2	9784041206676
fuuki-iin-wa-seigi-no-mikata	風紀委員は正義の味方!?	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047126428
gacen-rafu-sketch	G専ラフスケッチ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041202982
gajumaru-family	がじゅまるファミリー	琉球プロジェクト	ラポート	琉球プロジェクト / 琉球新報社	9	9784897420899
gaki-2000	ガキ	大田出版	太田出版	大田出版	1	9784872335118
gakken-manga-nippon-no-rekishi	学研まんが 日本の歴史	学研	学習研究社		16	9784051047276
gakken-manga-nippon-no-rekishi	学研まんが 日本の歴史	学研	学習研究社	学研	1	9784051058791
gakuen-kino	学園キノ	アスキー・メディアワークス	KADOKAWA	アスキー・メディアワークス	3	9784048703307
gakuen-mokushiroku-highschool-of-the-dead	学園黙示録 HIGHSCHOOL OF THE DEAD	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	6	9784047124837
gakuen-no-musume	學園のムスメ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041204252
gakuen-toshi-varanowaaru-yuusha-ikusei-kouza	学園都市ヴァラノワール勇者育成講座	スタジオDNA	一迅社	スタジオDNA / 一賽舎	2	9784758050395
gal-to-cthulhu	ギャルとクトゥルフ	講談社 (発売)	講談社	講談社 (発売) / 星海社	3	9784065258194
ganbare-nekoyama-sensei	がんばれ!猫山先生	日本医事新報社	姉妹社	日本医事新報社	7	9784784940936
garakuta-street	がらくたストリート	幻冬舎	幻冬舎コミックス	幻冬舎 / 幻冬舎コミックス	3	9784344814752
garasu-no-shiro	ガラスの城	集英社	ホーム社	集英社 / ホーム社	5	9784834271812
garfield-1990	ガーフィールド	KENKYUSHA	研究社	KENKYUSHA	5	9784767450018
garou-yuugi	牙狼遊戯	Gakken	学習研究社	Gakken	2	9784056010503
gatekiten	我的天	産業編集センター	蒼馬社	産業編集センター	1	9784916199355
gekiga-hieizan-sennichi-kaihou	劇画比叡山千日回峰	京都新聞社	サンマーク出版	京都新聞社	1	9784763803597
gekiga-hitotsu-no-suit	劇画一つの戦史	展転社	大都社	展転社	1	9784886565082
gekiga-marukusu	劇画マルクス	エンタプライズ	少年画報社	エンタプライズ	1	9784782520031
gekiga-oya-sama-monogatari	劇画教祖物語	天理教道友社	桃園書房	天理教道友社	3	9784807302635
gekiga-yaohan-no-chousen	劇画ヤオハンの挑戦	日本教文社	日本文芸社	日本教文社	1	9784531062522
gene-metarika	ジーンメタリカ	メディアファクトリー	KADOKAWA	メディアファクトリー	2	9784840153300
genji-monogatari-2023	源氏物語	学習研究社	Gakken	学習研究社	2	9784054014398
genji-monogatari-miyagi-2010	源氏物語	学研マーケティング	学研教育出版	学研マーケティング / 学研パブリッシング	1	9784059006145
gensou-kichou	幻想綺帖	朝日新聞社	朝日新聞出版	朝日新聞出版 / 朝日新聞社	2	9784022131430
gessekai-ryokou	月世界旅行	ソフトバンククリエイティブ	SBクリエイティブ	ソフトバンククリエイティブ	1	9784797373394
ghost-world	ゴーストワールド	Presspop	プレスポップ	Presspop	1	9784903090276
gi-koushi-rendetsu-shinryou-kun	魏公子列伝信陵君	パレード	ポニーキャニオン	パレード	3	9784865222364
gift-2009	ぎふと	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047126114
ginba	GiNVA	小学館クリエイティブ	ワニマガジン社	小学館クリエイティブ / ヒーローズ	3	9784868050308
ginga-seisenshi-den-miracle-saikikkaa	銀河聖戦士伝	たちばな出版	橘出版	たちばな出版 / たちばな出版	2	9784886926296
giratsuki-joushi-to-gisou-kekkon	ギラつき上司と偽装結婚!?	日販アイ・ピー・エス (発売)	駒草出版株式会社ダンク出版事業部	日販アイ・ピー・エス (発売) / モバイルメディアリサーチ	6	9784909699176
girls1961-97	Girls1961-97	プチグラパブリッシング	フリースタイル	プチグラパブリッシング / パイオニアLDC	1	9784939102301
go-ahead-1981	Go ahead!!	創美社	集英社	創美社	1	9784420137652
gochounai-no-mina-sama	ご町内のみなさま	文芸春秋	文藝春秋	文芸春秋	1	9784163443102
god-eater-the-summer-wars	GOD EATER the summer wars	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	1	9784047127951
godzilla-rulers-of-earth	ゴジラ:ルーラーズ・オブ・アース	星雲社	フェーズシックス	星雲社 / フェーズシックス	5	9784434231803
goetsu-moyu	呉越燃ゆ	文藝春秋	文芸春秋	文藝春秋	1	9784163640006
going-bad	GOING BAD	ヒット出版	ヒット出版社	ヒット出版	1	9784894650381
gokuaku-binbounin	極悪貧乏人	KKベストセラーズ	ベストセラーズ	KKベストセラーズ	2	9784584195598
gold-wolf	GOLD WOLF	角川グループホールディングス	KADOKAWA	角川グループホールディングス / アスキー・メディアワークス	2	9784048913164
golgo-to-yobareta-otoko	ゴルゴと呼ばれた男	政策時報社	青心社	政策時報社 / パワーソフト	1	9784915324369
gomikku-haikibutsu	ゴミック「廃貴物」	日報	日本出版社	日報	6	9784930767424
goshuushou-sama-ninomiya-kun	ご愁傷さま二ノ宮くん	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	4	9784047125100
gosick	GOSICK	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	8	9784047125582
gotousenseitoinishienotsuno	ゴトウ先生と古の角	小学館クリエイティブ	ワニマガジン社	小学館クリエイティブ / ヒーローズ	2	9784868051480
grasshopper	グラスホッパー	角川グループパブリッシング	エンターブレイン	角川グループパブリッシング / 角川書店	3	9784047250499
gundam-exa	GUNDAM EXA	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	7	9784041200049
gurizaia-chronos-rebellion-dead-stock	グリザイアクロノスリベリオンでっどすとっく!	KADOKAWA (発売)	KADOKAWA	KADOKAWA (発売) / ブシロードメディア	2	9784048995238
guruguru-tekuteku	ぐるぐるてくてく	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	4	9784909767455
guuguu-datte-neko-de-aru	グーグーだって猫である	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	6	9784044348021
guuzen-tasuketa-bishoujo-ga-naze-ka-ore-ni-natsuiteshimatta-ken-nitsuite	偶然助けた美少女がなぜか俺に懐いてしまった件について	ブシロードワークス	角川書店		1	9784049211733
haai-guuyama-desu	はーい、ぐう山です	ディーエイチシー	司書房	ディーエイチシー	1	9784887240605
haai-sakura-desu	ハーイ!さくらです。	日本機関紙出版センター	メディアファクトリー	日本機関紙出版センター	1	9784889008012
hachimitsu-etchi	蜂蜜えっち。	祥伝社 (発売)	祥伝社	祥伝社 (発売) / アイプロダクション	2	9784396701246
haha-40-sai-joshi-joshikousei-ni-narimashita	母40歳、女子高生になりました	集英社 (発売)	集英社	集英社 (発売) / 集英社クリエイティブ	2	9784420154659
hai-to-diamond	灰とダイヤモンド	青磁ビブロス	ビブロス	青磁ビブロス	4	9784882713326
haiiro-no-kisetsu-hakoniwa-de	灰色の季節、箱庭で	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	3	9784866970387
haikai-roujin-don-quixote	徘徊老人ドン・キホーテ	朝日新聞社	朝日新聞出版	朝日新聞社	1	9784023302464
hakasegatsu	ハカセがっ!!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	6	9784048704014
hakoniwa-kigeki	ハコニワ喜劇	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	2	9784047282865
hakoniwa-no-zante	箱庭のザンテ	[加勢丈士]	エニックス	[加勢丈士]	3	9798378110599
hakui-no-suit-operenjaa	白衣の戦士オペレンジャー	文栄堂	文苑堂	文栄堂	1	9784861170683
hakuin-oshou-monogatari	白隠和尚物語	禅文化研究所	新声社	禅文化研究所	5	9784881820742
hakuouki-reimeiroku	薄桜鬼 黎明録	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048867177
hamster-shiiku-nikki	ハムスター飼育日記	スコラ	あおば出版	スコラ / 青葉出版	8	9784796289016
hamuko-mairu	はむこ参る!	朝日新聞社	朝日新聞出版	朝日新聞社	2	9784022751010
hana-wa-sakura-yorimo-hana-no-gotoku	花は桜よりも華のごとく	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041201473
hanakuso-jihyou-kuradashi-hyakusen	はなくそ時評蔵出し百選	東京ニュース通信社	ヴィレッジブックス	東京ニュース通信社	1	9784863363168
hanaori-soushi	花檻草子	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048708043
hanaya-shiki	花屋=式	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784047250338
hanayome-miman-escape	花嫁未満エスケープ	BookLive	フレックスコミックス	BookLive / フレックスコミックス (発売)	4	9784866751689
hanikami-the-4-koma	ハニカミ the 4コマ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048679664
hanjuku-tencho	半熟てんちょ!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048676274
hanshichi-torimonochou	半七捕物帳	主婦の友社	メディアワークス	主婦の友社 / はちどり	1	9784073404057
hapipuri	はぴぷり	学研マーケティング	学習研究社	学研マーケティング / 学研パブリッシング	1	9784056070996
haramase-ninkyoudou	孕ませ妊侠道	三交社 (発売)	三交社	三交社 (発売) / メディアソフト	2	9784815502263
haru-chan	はるちゃん	小学館	ビズコミュニケーションズジャパン	ビズコミュニケーションズジャパン	5	9784091603869
harukanaru-ikyou-guardian	遥かなる異郷ガーディアン	アスキー出版局	アスキー	アスキー出版局	4	9784756106605
hashire-bunta	走れ!ブンタ	ビー・エヌ・エヌ	白夜書房	ビー・エヌ・エヌ	1	9784893691736
hashitanai-desuyo-ojou-sama	はしたないですよ、お嬢様	三交社 (発売)	三交社	三交社 (発売) / 英和出版社	1	9784815562014
hatarake-hataraki-san	働け!ハタラキさん	角川グループホールディングス	KADOKAWA	角川グループホールディングス / エンターブレイン	1	9784047288607
hatarakimono	はたらきもの	主婦の友社	主婦と生活社	主婦の友社 / 宙出版	1	9784391915457
hatshepsut	ハトシェプスト	文藝春秋	文芸春秋	文藝春秋 / 文藝春秋	1	9784168110481
hatsuyuki-sakura	はつゆきさくら	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041202432
heart-telephone	ハートテレフォン	リットーミュージック	リイド社	リットーミュージック / 立東舎	1	9784845633791
hebigami-sama-to-nie-no-hanahime	蛇神さまと贄の花姫	ジャイブ (発売)	マイクロマガジン社	ジャイブ / ネクストF	10	9784861769184
hebionna	へび女	角川書店	KADOKAWA	角川書店 / 角川書店	1	9784041608074
heiseiban-futsuu-no-hito	平成版普通の人	南風社	虹の旅出版	南風社	1	9784931062054
hekikai-no-aion	碧海のAiON	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	11	9784047125872
hello-hello	hello,hello	シュウエイシャ	集英社	シュウエイシャ / 創美社	1	9784420112277
heppoko	ヘッポコ!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784047250093
hidamari-ga-kikoeru-shunka-shuutou	ひだまりが聴こえる-春夏秋冬-	フランス書院 (発売)	フランス書院	フランス書院 (発売) / プランタン出版	4	9784829686591
higanbana-no-saku-yoru-ni	彼岸花の咲く夜に	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	6	9784047126961
high-school-rainy	ハイスクールレイニー	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048709187
higuma	悲熊	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	2	9784866970950
hikari-no-hito-nakamura-hisako	光の人中村久子	探究社	竹書房	探究社	2	9784884836962
hikari-no-kairou	光の回廊	角川書店	集英社	角川書店	1	9784088601694
himanko	ヒマん娘	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041203859
himaraya-hatsutouchou-monogatari	ヒマラヤ初登頂物語	山と渓谷社	山と溪谷社	山と渓谷社	1	9784635021586
himegoto-wa-hanazono	ひめごとははなぞの	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	7	9784048675666
himegoto-asobi	秘めごとあそび	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	3	9784041202678
himitsu-no-heya-no-kakushigoto	秘密の部屋の隠しごと	角川グループホールディングス	KADOKAWA	角川グループホールディングス / 角川書店	1	9784041206614
himitsu-to-hanazono	ひみつと花園	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス (発売)	2	9784866971971
hinata-no-hiyori	ひなたのひより	KADOKAWA (発売)	KADOKAWA	KADOKAWA (発売) / ブシロードクリエイティブ	2	9784048995269
hypnosis-mic	ヒプノシスマイク	講談社	一迅社	講談社 / 一迅社	6	9784758034333
hiraga-gennai	平賀源内	佼成出版社	光文社	佼成出版社 / 光輪社 / 光輪社	1	9784333013654
hito	人	新風舎	心交社	新風舎	1	9784883069712
hitogatari	ひとがたり	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	2	9784864681384
hitorijime-otouto-izumu	ひとりじめ弟イズム	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048865128
hits	ヒッツ	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	7	9784864687737
hitsugi-no-chaika	棺姫のチャイカ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	5	9784041202081
hiyaku-monogatari-bai-yooko	百物語 BY. Y・O・K・O	文苑堂	大都社	文苑堂 / 文苑堂東京店 / 大正屋出版 / 大正屋出版	1	9784886800039
hiyokobotchi	ひよこぼっち	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	2	9784047284104
hokenshitsu-no-nemurihime	保健室の眠り姫	フランス書院 (発売)	フランス書院	フランス書院 (発売) / プランタン出版	2	9784829650394
hokkenshitsu	ほっ健室	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041203835
homemade-sweet-home	ホームメイド・スイートホーム	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	3	9784866970295
honda-souichirou-monogatari	本田宗一郎物語	宝友出版社	ホビージャパン	宝友出版社	2	9784938415013
honke-goomanizumu-sengen	本家ゴーマニズム宣言	ワック	ワイズ出版	ワック	2	9784898311493
honoo-no-camellia	炎のカメリア	集英社	ホーム社	シュウエイシャ / ホーム社 / 集英社	1	9784834280395
honto-wa-watashi-ga-iindesho	ほんとは私がいいんでしょ?	viviON	フェーズシックス		1	9784911351079
hontou-ni-yasashii	本当に、やさしい。	青磁ビブロス	ビブロス	青磁ビブロス / 青磁ビブロス	1	9784882716419
horegusuri-o-nonda-supadari-ga-yabasugimasu	惚れ薬を飲んだスパダリがヤバすぎます!	日販アイ・ピー・エス	駒草出版株式会社ダンク出版事業部	日販アイ・ピー・エス (発売) / モバイルメディアリサーチ	3	9784909699664
hoshi-no-zundakota	星のズンダコタ	雑草社	スタジオDNA	雑草社	2	9784921040000
hoshigahara-aomanjuu-no-mori	星が原あおまんじゅうの森	朝日新聞社	朝日新聞出版	朝日新聞出版 / 朝日新聞社	5	9784022131508
hoshigarisugi-desho-inaba-san	ほしがりすぎでしょ!?稲葉さん	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	3	9784864687881
hoshikuzu-antique	星屑アンティーク	集英社 (発売)	集英社	集英社 (発売) / 集英社クリエイティブ	3	9784420154352
hoshikuzu-nina	星屑ニーナ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	4	9784047269682
hoshikuzuchou-no-pan-no-mimi	星屑町のパンのミミ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048683616
hoshizora-no-hanashi	星空の話	福音館	福音館書店	福音館	1	9784834015492
hot-suru-hon	ほっとする本	光村推古書院	マガジンハウス	光村推古書院	2	9784838102624
houkago-atelier-toiro	放課後アトリエといろ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	4	9784041200421
houkago-play-r	放課後プレイR	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048863810
houkago-play	放課後プレイ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048675642
hover	Hover!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784047250123
hpurasup	ひめぱら H+P	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047127326
i-c-u	I.C.U	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	3	9784047275317
i-rob-you	I rob you	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	3	9784866970622
ichido-shinde-mita	一度死んでみた	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	2	9784866970301
ichigo-mashimaro	苺ましまろ	角川グループパブリッシング	メディアワークス	角川グループパブリッシング / アスキー・メディアワークス	9	9784840222921
ichijou-no-hohoemi	一乗のほほえみ	佼成出版社	光文社	佼成出版社	5	9784333019380
ichirinjiiko	いちりんじいこ	チャイルド本社	チクマ秀版社	チャイルド本社	1	9784805428795
idol-liberty	アイドリバティ	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	6	9784864688185
idol-master-2-nemurihime	アイドルマスター2 眠り姫	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048861526
idol-master-cinderella-girls-after-20	アイドルマスター シンデレラガールズ After20	Cygames	ワニマガジン社		4	9784868660057
idol-master-cinderella-girls-u-149	アイドルマスター シンデレラガールズ U149	Cygames	ワニマガジン社		4	9784868660095
idol-sousenkyo-4-i-datta-watashi-ga-maou-o-taosundesuka	アイドル総選挙4位だった私が魔王を倒すんですか?	れんが書房新社	鹿砦社	れんが書房新社 / 道玄坂書房	2	9784846210014
idolmaster-2-colorful-days	アイドルマスター2 Colorful Days	角川グループパブリッシング	KADOKAWA	角川グループホールディングス / アスキー・メディアワークス	3	9784048861106
iinari-aibureeshon	いいなり!あいぶれーしょん	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	4	9784047124974
iine-daisuki-faboko-chan	いいねだいすきふぁぼこちゃん	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	2	9784866970325
ika-sama-hakurantei	いかさま博覧亭	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048860567
ika-gorilla-no-doerai-genki-ga-deru-manga	いかゴリラのどえらい!元気が出るマンガ	集英社	ホーム社	集英社 / ホーム社	1	9784834285413
ike-chan-to-boku	いけちゃんとぼく	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041000021
ikenai-kagai-jugyou	イケない課外授業	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048910699
ikimono-zukan	いきものずかん	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048707541
ikoku-meiro-no-kurowaaze	異国迷路のクロワーゼ	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047125223
ikujinashi-nikki-vs-ikujisare-nikki	育児なし日記vs育児され日記	ベネッセコーポレーション	福武書店	ベネッセコーポレーション	2	9784828864068
im-a-greaver	アイムアグリーバー!	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	4	9784866970141
imadoki-seishun-dankura	イマドキ青春男クラ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041205082
imadoki-seishun-jokura	イマドキ青春女クラ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041205075
imashimekei-yousei-kyuushoku-touban	いましめ系ようせい給食当番	幻冬舎	幻冬舎コミックス	幻冬舎 / 幻冬舎コミックス	2	9784344808706
injuu-ai	淫獣愛	フランス書院 (発売)	フランス書院	フランス書院 (発売) / プランタン出版	2	9784829650219
