分類	slug	題	版type	imprint	publisher	版の巻数	多数派	少数派	少数派ISBN
TAIL(移籍らしい)	fetish-berry	フェティッシュベリー	None	Avarus series	マッグガーデン	5	978486127x3	97848000x2	9784800000385,9784800000989
TAIL(移籍らしい)	fighting-vipers	ファイティングバイパーズ	None	Ascii comix	アスキー	2	97847561x1	978489366x1	9784893668707
TAIL(移籍らしい)	final-fantasy-lost-stranger	ファイナルファンタジーロスト・ストレンジャー	None	ガンガンコミックスSUPER	スクウェア・エニックス	14	97847575x12	9784301x2	9784301000020,9784301005162
TAIL(移籍らしい)	fire-emblem-nintendo-1996	ファイアーエムブレム	None	メディアファクトリー	メディアファクトリー	5	978488991x4	97848401x1	9784840104050
TAIL(移籍らしい)	fire-emblem-seisen-no-keifu	ファイアーエムブレム聖戦の系譜	None	MFコミックス	メディアファクトリー	8	978488991x7	97848401x1	9784840104050
TAIL(移籍らしい)	fire-emblem-seisen-no-keifu-fujimori-1997	ファイアーエムブレム 聖戦の系譜	None	ギャグ王コミックス	エニックス	6	978487025x3	97847575x3	9784757501539,9784757504691,9784757505780
TAIL(移籍らしい)	five	ファイブ	None	マーガレットコミックス	双葉社	15	9784575x13	978408x2	9784088465708,9784088466569
TAIL(移籍らしい)	flat	Flat	None	Blade comics avarus	マッグガーデン	8	978486127x5	97848000x3	9784800000279,9784800001627,9784800002655
TAIL(移籍らしい)	flowering	FLOWERING	None	Super be-boy comics	ビブロス	3	978488271x2	97848352x1	9784835210230
TAIL(移籍らしい)	fudanshi-mangamichi	腐男子まんが道	None	Daria comics	フロンティアワークス	3	978486134x2	978486657x1	9784866570679
TAIL(移籍らしい)	fujiwara-ranka-no-4koma-gekijou	藤原らんかの4コマ劇場	None	NEWS MOOK	ニューズ出版	2	978489107x1	97847796x1	9784779625121
TAIL(移籍らしい)	fujoshi-kanojo	腐女子彼女。	None	ビーズログコミックス	エンターブレイン	5	97847577x4	978404x1	9784047263796
TAIL(移籍らしい)	fukashigi-philia	フカシギフィリア	None	Blade comics	マッグガーデン	3	978486127x2	97848000x1	9784800000521
TAIL(移籍らしい)	furuhon-yatai	古本屋台	None	None	集英社	2	978408x1	978486011x1	9784860114879
TAIL(移籍らしい)	fushigi-no-kuni-no-juunin-tachi	不思議の学園の住人達	None	[i:z]books	ムービック	2	9784943966x1	978489601x1	9784896010084
TAIL(移籍らしい)	fushisha-no-deshi	不死者の弟子	None	ガルドコミックス	オーバーラップ	4	978486554x2	97848240x2	9784824000941,9784824002501
TAIL(移籍らしい)	fushou-no-bokura	不肖の僕ら	None	アクアコミックス	オークラ出版	2	978487278x1	97847755x1	9784775504857
TAIL(移籍らしい)	futoku-no-guild	不徳のギルド	None	ガンガンコミックス	スクウェア・エニックス	18	97847575x15	9784301x3	9784301000518,9784301003809,9784301007548
TAIL(移籍らしい)	fuuunjitachi	風雲児たち	None	希望コミックス	潮出版社	34	9784267x30	97848458x4	9784845853502,9784845854653,9784845855643,9784845856381
TAIL(移籍らしい)	g-defend	G・defend	None	冬水社文庫	冬水社	28	978488741x15	978486423x13	9784864231480,9784864231497,9784864231503,9784864231510,9784864232081,9784864232
TAIL(移籍らしい)	gachiiki-chouhatsu-night	ガチイキ挑発ナイト	None	ジュネットコミックス	マガジン・マガジン	2	978489644x1	9784909460x1	9784909460417
TAIL(移籍らしい)	gaikotsu-kishi-sama-tadaima-isekai-e-odekakechuu	骸骨騎士様、只今異世界へお出掛け中	None	ガルドコミックス	オーバーラップ	15	978486554x8	97848240x7	9784824000118,9784824001412,9784824002549,9784824004536,9784824008138,9784824012
TAIL(移籍らしい)	gajumaru-family	がじゅまるファミリー	None	None	琉球プロジェクト	9	978489742x8	978486764x1	9784867640180
TAIL(移籍らしい)	gakeppuchi-angel-magical-hanna-chan	崖っぷち天使マジカルハンナちゃん	None	Bamboo comics	竹書房	3	97848124x2	97848019x1	9784801955028
TAIL(移籍らしい)	gakkou-ni-tsutawaru-kowai-uwasa	学校に伝わる怖いうわさ	None	Bamboo comics	竹書房	4	978488475x2	97848124x2	9784812450789,9784812450796
TAIL(移籍らしい)	gakuen-sensuikantai-mermaid-girls	学園潜水艦隊マーメイドガールズ	None	ビッグガンガンコミックス	スクウェア・エニックス	3	97847575x2	9784301x1	9784301001966
TAIL(移籍らしい)	gakuran-hourouki	ガクラン放浪記	None	文華コミックス	日本文華社	6	97848211x5	9784916085x1	9784916085818
TAIL(移籍らしい)	gakuran-tengoku	ガクラン天国	None	Bamboo comics	竹書房	2	978488475x1	97848124x1	9784812451021
TAIL(移籍らしい)	gal-ni-yasashii-wotaku-kun	ギャルに優しいオタク君	None	ガンガンコミックスonline	スクウェア・エニックス	6	97847575x4	9784301x2	9784301000587,9784301003939
TAIL(移籍らしい)	gamerz-heaven	ゲーマーズヘブン!	None	Blade comics	マッグガーデン	4	9784901926x2	978486127x2	9784861270321,9784861271366
TAIL(移籍らしい)	ganbare-noukyou-seijo	がんばれ農強聖女～聖女の地位と婚約者を奪われた令嬢の農業革命日誌～@COMIC	None	コロナ・コミックス	TOブックス	5	978486699x3	978486794x2	9784867942086,9784867944431
TAIL(移籍らしい)	gang-king	ギャングキング	None	YKコミックス	少年画報社	35	97847859x27	978406x8	9784065106709,9784065125700,9784065148105,9784065163139,9784065180136,9784065200
TAIL(移籍らしい)	ganjou-ningen-suparutakasu	頑丈人間スパルタカス	None	SC special	徳間書店	4	978419x3	978409x1	9784098301188
TAIL(移籍らしい)	garland	GARLAND	None	Easy books	ムービック	3	9784943966x2	978489601x1	9784896010282
TAIL(移籍らしい)	gattsu-ranpei	ガッツ乱平	None	ジャンプ・コミックス	集英社	19	97848342x11	978408x8	9784088511627,9784088511634,9784088511641,9784088511658,9784088511665,9784088511
TAIL(移籍らしい)	geemuken	ゲーム犬	None	Dengeki Comics EX	メディアワークス	2	97848402x1	978404x1	9784048675635
TAIL(移籍らしい)	gekkan-shoujo-nozaki-kun	月刊少女野崎くん	None	ガンガンコミックスonline	スクウェア・エニックス	18	97847575x16	9784301x2	9784301000105,9784301005476
TAIL(移籍らしい)	gekkou-kamen	月光仮面	None	USAGI BOOKS	パンローリング	6	97847759x3	97847952x3	9784795298279,9784795298415,9784795298422
TAIL(移籍らしい)	gemamama	ゲマママ	None	Dengeki Comics EX	メディアワークス	2	97848402x1	978404x1	9784048673907
TAIL(移籍らしい)	gene-metarika	ジーンメタリカ	None	MFコミックス	メディアファクトリー	2	97848401x1	978404x1	9784040665641
TAIL(移籍らしい)	genma-taisen	幻魔大戦	None	サンデーコミックス	秋田書店	3	9784253x2	978488991x1	9784889918489
TAIL(移籍らしい)	gensou-fantasy	幻想ファンタジー	None	Eyes comics	ホーム社	2	97848372x1	97848342x1	9784834261738
TAIL(移籍らしい)	gentsuki	げんつき	None	MFコミックス	メディアファクトリー	4	97848401x2	978404x2	9784040665467,9784040672014
TAIL(移籍らしい)	getsuyou-kara-kinyou-no-otoko-koukousei	月曜から金曜の男子高校生	None	LINE COMICS	LINE	5	9784908588x3	9784909767x2	9784909767097,9784909767516
TAIL(移籍らしい)	getter-robo-gou	ゲッターロボ號	None	ACTION COMICS	双葉社	6	9784575x5	978419x1	9784198330415
TAIL(移籍らしい)	ghost-writer-tsubaki-2012	ゴーストライター	None	MGC	マッグガーデン	2	978486127x1	97848000x1	9784800001511
TAIL(移籍らしい)	gikazoku-ni-shuuchaku-sarete-imasu	義家族に執着されています	None	IDコミックス. カラフルハピネス	一迅社	5	97847580x4	97848251x1	9784825100183
TAIL(移籍らしい)	gin-no-yami-meikyuu	銀の闇迷宮	None	Zero comics	ビブロス	3	978488271x2	97848352x1	9784835211565
TAIL(移籍らしい)	ginga-densetsu-weed	銀牙伝説Weed	None	通常版	日本文芸社	60	9784537x42	9789784x18	9789784537100,9789784537100,9789784537100,9789784537100,9789784537100,9789784537
TAIL(移籍らしい)	ginga-ojou-sama-densetsu-yuna	銀河お嬢様伝説ユナ	None	DENGEKI COMICS	メディアワークス	2	978407x1	97848402x1	9784840212304
TAIL(移籍らしい)	ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	None	Comp comics DX	メディアワークス	27	978407x20	97848402x7	9784840212649,9784840213820,9784840214957,9784840216906,9784840217699,9784840219
TAIL(移籍らしい)	ginga-teikoku-kouboushi	銀河帝国興亡史	None	None	サイドランチ	4	97849902566x3	97849911064x1	9784991106408
TAIL(移籍らしい)	giniro-no-shiyousei	銀色の照星	None	サンコミックス	朝日ソノラマ	2	9784257x1	97847962x1	9784796240017
TAIL(移籍らしい)	giratsuki-joushi-to-gisou-kekkon	ギラつき上司と偽装結婚!?	None	ラブきゅんcomic	日販アイ・ピー・エス (発売)	6	9784909699x5	9784911186x1	9784911186015
TAIL(移籍らしい)	girl-s-x-road-bike	ガールズ×ロードバイク	None	メテオCOMICS	ほるぷ出版	2	9784593x1	978486675x1	9784866750255
TAIL(移籍らしい)	girls-und-panzer	ガールズ＆パンツァー	None	MFコミックス	メディアファクトリー	4	97848401x3	978404x1	9784040665481
TAIL(移籍らしい)	girly-hypers	ガーリーハイパーズ	None	Wonderland comics	宝島社	3	97847966x2	9784396x1	9784396764197
TAIL(移籍らしい)	go-west-2004	Go!west	None	Out comics	ブッキング	5	97848354x3	978489601x2	9784896010770,9784896010787
TAIL(移籍らしい)	goblin-slayer	ゴブリンスレイヤー	None	ビッグガンガンコミックス	スクウェア・エニックス	17	97847575x16	9784301x1	9784301002390
TAIL(移籍らしい)	goblin-slayer-gaiden	ゴブリンスレイヤー外伝	None	ヤングガンガンコミックス	スクウェア・エニックス	14	97847575x13	9784301x1	9784301002406
TAIL(移籍らしい)	gochisou-omega-wa-chuu-to-naku	ごちそうΩはチュウと鳴く	None	Tulle Comics	ブライト出版	4	978486123x2	978486787x2	9784867871072,9784867871539
TAIL(移籍らしい)	godzilla-rulers-of-earth	ゴジラ:ルーラーズ・オブ・アース	None	None	星雲社	5	9784434x3	9784909434x2	9784909434036,9784909434234
TAIL(移籍らしい)	gohan-shiyo	ごはんしよ!	None	MFコミックス	メディアファクトリー	2	97848401x1	978404x1	9784040661186
TAIL(移籍らしい)	gohou-kensei-vaizard	護宝遣聖VAIZARD	None	Blade comics	マッグガーデン	3	9784901926x2	978486127x1	9784861270123
TAIL(移籍らしい)	goiken-muyoutsu	御意見無用っ!!	None	ギャグ王コミックス	エニックス	8	978487025x5	97847575x3	9784757501126,9784757504288,9784757506152
TAIL(移籍らしい)	gokai-sareta-migawari-no-majo-wa-kokuou-kara-saisho-no-koi-to-saigo-no-koi-o-sasagerareru	誤解された『身代わりの魔女』は、国王から最初の恋と最後の恋を捧げられる	None	ガンガンコミックスup!	スクウェア・エニックス	3	97847575x2	9784301x1	9784301000891
TAIL(移籍らしい)	gokujou-dokutaa-wa-omiai-niizuma-o-amayakashitakute-tamaranai	極上ドクターはお見合い新妻を甘やかしたくてたまらない	None	marmalade comics	ハーパーコリンズ・ジャパン	2	9784596x1	9784302x1	9784302102235
TAIL(移籍らしい)	gokujou-kareshi-to-himitsu-no-amakoi	極上彼氏と秘密の甘恋	None	marmalade comics	ハーパーコリンズ・ジャパン	2	9784596x1	9784302x1	9784302113736
TAIL(移籍らしい)	gokusotsu-kuraaken	獄卒クラーケン	None	ビッグガンガンコミックス	スクウェア・エニックス	7	97847575x5	9784301x2	9784301001300,9784301005407
TAIL(移籍らしい)	gomenasobase	ごめんあそばせ	None	バーズコミックスspecial	ソニー・マガジンズ	3	97847897x2	9784537x1	9784537155358
TAIL(移籍らしい)	goomanizumu-sengen	ゴーマニズム宣言	None	None	扶桑社	9	9784594x8	9784575x1	9784575285659
TAIL(移籍らしい)	goukon-ni-ittara-onna-ga-inakatta-hanashi	合コンに行ったら女がいなかった話	None	ガンガンコミックスonline	スクウェア・エニックス	10	97847575x8	9784301x2	9784301001171,9784301004561
TAIL(移籍らしい)	gravitation	グラビテーション	None	SONY MAGAZINES COMICS	ソニー・マガジンズ	12	97847897x11	9784344x1	9784344801172
TAIL(移籍らしい)	grey	Grey	None	少年キャプテンコミックス	徳間書店	3	978419x2	97848211x1	9784821184682
TAIL(移籍らしい)	guild-no-uketsukejou-wa-teiji-agari-no-yume-o-miru	ギルドの受付嬢は定時上がりの夢を見る	None	コロナ・コミックス	TOブックス	2	978486794x1	978486854x1	9784868541097
TAIL(移籍らしい)	gunbare-game-tengoku	Gunばれ!ゲーム天国	None	Dengeki Comics EX	メディアワークス	2	978407x1	97848402x1	9784840213844
TAIL(移籍らしい)	gunka-no-baltzar	軍靴のバルツァー	None	Bunch comics	新潮社	21	978410x14	978406x7	9784065303382,9784065321720,9784065338841,9784065358047,9784065377574,9784065406
TAIL(移籍らしい)	gurasanshishou-no-hyakumankai-kaiten	グラサン師匠の百万回転日記	None	白夜コミックス	白夜書房	2	978489367x1	978486191x1	9784861910432
TAIL(移籍らしい)	guruguru-tekuteku	ぐるぐるてくてく	None	LINE COMICS	LINE Digital Frontier	4	9784909767x2	978486697x2	9784866970394,9784866970967
TAIL(移籍らしい)	gyanbarugyangu	ぎゃんばるGang	None	少年マガジンコミックス	講談社	3	978406x2	978409x1	9784091729712
TAIL(移籍らしい)	haamerun-no-baiorinhiki	ハーメルンのバイオリン弾き	None	ガンガンコミックス	エニックス	37	978487025x27	97847575x10	9784757500273,9784757500679,9784757501294,9784757501737,9784757502482,9784757502
TAIL(移籍らしい)	haitatsusaki-no-onee-san-ga-kowasugiru	配達先のお姉さんが怖すぎる	None	ガンガンコミックスpixiv	スクウェア・エニックス	4	97847575x3	9784301x1	9784301004066
TAIL(移籍らしい)	haitekudasai-takamine-san	履いてください、鷹峰さん	None	ガンガンコミックスjoker	スクウェア・エニックス	11	97847575x10	9784301x1	9784301003311
TAIL(移籍らしい)	hakanage	はかなげ。	None	ジュネットコミックス	ジュネット	2	9784909460x1	9784910582x1	9784910582160
TAIL(移籍らしい)	hakoniwa-no-zante	箱庭のザンテ	None	None	[加勢丈士]	3	9798378x1	9798870x1 / 9798301x1	9798870669991,9798301929946
TAIL(移籍らしい)	hakushaku-reijou-sarah-cloria-wa-kyou-mo-akai-ito-o-kiru	伯爵令嬢サラ・クローリアは今日も赤い糸を切る	None	プティルFantasyコミックス	ハーパーコリンズ・ジャパン	2	9784596x1	9784302x1	9784302113774
TAIL(移籍らしい)	hamster-no-kenkyuu-report	ハムスターの研究レポート	None	偕成社ファンタジーコミックス	偕成社	8	978403x5	9784592x3	9784592132264,9784592132271,9784592142843
TAIL(移籍らしい)	hamuko-mairu	はむこ参る!	None	あさひコミックス	朝日新聞社	2	978402x1	9784591x1	9784591090084
TAIL(移籍らしい)	hana-buranko-yurete	花ぶらんこゆれて…	None	りぼんマスコットコミックス	集英社	3	978408x2	9784299x1	9784299077943
TAIL(移籍らしい)	hana-mo-mata-kimi-no-tame	花もまた、きみのため。	None	Flex comix	ソフトバンククリエイティブ	3	97847973x2	9784593x1	9784593880607
TAIL(移籍らしい)	hanabi-chan-wa-okuregachi	ハナビちゃんは遅れがち	None	HCヒーローズコミックス	小学館クリエイティブ	9	978486468x7	978486805x2	9784868050490,9784868051473
TAIL(移籍らしい)	hanako-lavatory	ハナコ@ラバトリー	None	CR comics	ジャイブ	3	978486176x2	978404x1	9784049127522
TAIL(移籍らしい)	hanjuku-ninpouchou	半熟忍法帳	None	ギャグ王コミックス	エニックス	9	978487025x8	97847575x1	9784757500631
TAIL(移籍らしい)	haou-taikei-ryuunaito-collectors-edition	覇王大系リューナイトcollector's edition	None	Vジャンプブックス	集英社	2	978408x1	97848342x1	9784834274745
TAIL(移籍らしい)	hard-line	ハードライン	None	Super be-boy comics	ビブロス	8	978488271x7	97848352x1	9784835212807
TAIL(移籍らしい)	hardboiled-enji-cosmo-kun	ハードボイルド園児宇宙くん	None	LINE COMICS	LINE	9	9784908588x7	9784909767x2	9784909767172,9784909767189
TAIL(移籍らしい)	hare-no-hi-yuki-chan	晴れの日ユキちゃん	None	産経コミック	産経新聞出版	3	9784902970x2	978486306x1	9784863060029
TAIL(移籍らしい)	haru-to-ao-no-obentoubako	ハルとアオのお弁当箱	None	ゼノンコミックス	徳間書店	6	978419x3	978486720x3	9784867201589,9784867202029,9784867203606
TAIL(移籍らしい)	haruchin	ハルチン	None	Mag comics	講談社	2	978406x1	9784396x1	9784396460150
TAIL(移籍らしい)	hasegawa-chouji	HASEGAWA長治	None	ヤンマガKC	講談社	3	978406x2	97847859x1	9784785925499
TAIL(移籍らしい)	hashire-unkooo	走れ!ウンコオー	None	うんこコミックス	文響社	11	978486651x9	978486845x2	9784868450115,9784868450757
TAIL(移籍らしい)	hassai-kara-hajimaru-kamigami-no-shito-no-tensei-seikatsu	八歳から始まる神々の使徒の転生生活	None	ガンガンコミックスup!	スクウェア・エニックス	14	97847575x13	9784301x1	9784301004301
TAIL(移籍らしい)	haunted-junction	HAUNTEDじゃんくしょん	None	DENGEKI COMICS	メディアワークス	13	978407x8	97848402x5	9784840212571,9784840214698,9784840216173,9784840217705,9784840219389
TAIL(移籍らしい)	hazunde-papamokko	はずんで!パパモッコ	None	None	朝日学生新聞社	14	9784907150x9	9784909064x4 / 9784909876x1	9784909064134,9784909064288,9784909064417,9784909064769,9784909876027
TAIL(移籍らしい)	heart-ni-nurse-call	はあとにナースコール	None	Judy comics	小学館	8	978409x6	97847780x2	9784778010775,9784778010782
TAIL(移籍らしい)	heartstopper	ハートストッパー	None	None	トゥーヴァージンズ	5	9784908406x3	9784910352x2	9784910352008,9784910352770
TAIL(移籍らしい)	hebi	蛇	None	MBコミックス ミステリー	実業之日本社	2	9784408x1	9784257x1	9784257904793
TAIL(移籍らしい)	hengoku-no-calendula	辺獄のカレンデュラ	None	Daria comics	フロンティアワークス	2	978486134x1	978486657x1	9784866570990
TAIL(移籍らしい)	hentai-ouji-to-warawanai-neko	変態王子と笑わない猫。	None	MFコミックス	メディアファクトリー	8	97848401x4	978404x4	9784040662442,9784040672854,9784040678597,9784040698274
TAIL(移籍らしい)	hi-no-hitsugi	焔 の柩	None	Avarus series	マッグガーデン	3	978486127x2	97848000x1	9784800001610
TAIL(移籍らしい)	hi-score-girl-dash	ハイスコアガールdash	None	ビッグガンガンコミックス	スクウェア・エニックス	8	97847575x7	9784301x1	9784301004806
TAIL(移籍らしい)	hidan-no-aria	緋弾のアリア	None	MFコミックス	メディアファクトリー	16	97848401x8	978404x8	9784040661452,9784040668284,9784040672199,9784040675749,9784040678566,9784040685
TAIL(移籍らしい)	hidarikiki-no-eren-nifuni-2020	左ききのエレン	None	None	ナンバーナイン	7	9784910184x5	978408x2	9784088851228,9784088852201
TAIL(移籍らしい)	higana-hannichi-geemubu-gurashi	日がな半日ゲーム部暮らし	None	Dengeki Comics EX	メディアワークス	4	97848402x3	978404x1	9784048672818
TAIL(移籍らしい)	hikikomari-kyuuketsuki-no-monmon	ひきこまり吸血姫の悶々	None	ビッグガンガンコミックス	スクウェア・エニックス	4	97847575x3	9784301x1	9784301000235
TAIL(移籍らしい)	himegami-gadget	姫神ガジェット	None	Flex comix	ソフトバンククリエイティブ	2	97847973x1	9784593x1	9784593856886
TAIL(移籍らしい)	himitsu-no-wakaoku-sama	秘密の若奥様	None	Lunetta Comics	ハーパーコリンズ・ジャパン	2	9784596x1	9784302x1	9784302101672
TAIL(移籍らしい)	hinata-to-onii-chan	ひなたとお兄ちゃん	None	Howl comics	一迅社	3	97847580x2	97848251x1	9784825101166
TAIL(移籍らしい)	hirameki-hatsume-chan	ひらめきはつめちゃん	None	Blade comics	マッグガーデン	6	978486127x3	97848000x3	9784800002037,9784800003775,9784800005342
TAIL(移籍らしい)	hisonzai-byourigaku-nyuumon	非存在病理学入門	None	Bamboo comics	竹書房	4	978488475x2	97848124x2	9784812451878,9784812453315
TAIL(移籍らしい)	hitogatana	ヒトガタナ	None	Blade comics	マッグガーデン	11	978486127x6	97848000x5	9784800000835,9784800002082,9784800002983,9784800006035,9784800010032
TAIL(移籍らしい)	hitozuma-mansion-kaede	人妻マンション楓	None	ACTION COMICS	双葉社	2	9784575x1	978487306x1	9784873064611
TAIL(移籍らしい)	hittoraa-no-musuko	ヒットラーの息子	None	劇画キングシリーズ	小池書院	3	978486225x2	978419x1	9784197876013
TAIL(移籍らしい)	hiyo-world	ひよわーるど	None	Bamboo comics	竹書房	4	97848124x3	97848019x1	9784801953703
TAIL(移籍らしい)	hokuto-no-ken	北斗の拳	None	ジャンプコミックス	集英社	30	978408x27	978410x3	9784107700964,9784107701008,9784107701114
TAIL(移籍らしい)	honoka-level-up	ほのかLv.アップ!	None	DENGEKI COMICS	メディアワークス	4	97848402x3	978404x1	9784048671507
TAIL(移籍らしい)	honto-wa-koisuru-seiryaku-kekkon	ホントは恋する政略結婚	None	LOVE COFFRE COMICS	ブライト出版	2	978486123x1	978486787x1	9784867870006
TAIL(移籍らしい)	horegusuri-o-nonda-supadari-ga-yabasugimasu	惚れ薬を飲んだスパダリがヤバすぎます!	None	caramelコミックス	日販アイ・ピー・エス	3	9784909699x2	9784911186x1	9784911186435
TAIL(移籍らしい)	horobi-no-fue	滅びの笛	None	秋田コミックスセレクト	秋田書店	3	9784253x2	9784418x1	9784418985333
TAIL(移籍らしい)	horobi-no-utage	滅びの宴	None	秋田コミックス・セレクト	秋田書店	3	9784253x2	9784418x1	9784418041190
TAIL(移籍らしい)	horror-joyuu-ga-tensai-koyaku-ni-tensei-shimashita	ホラー女優が天才子役に転生しました	None	ガンガンコミックスonline	スクウェア・エニックス	5	97847575x4	9784301x1	9784301003878
TAIL(移籍らしい)	hoshi-no-ue-de-meguru	ほしのうえでめぐる	None	Blade comics	マッグガーデン	2	978486127x1	97848000x1	9784800000194
TAIL(移籍らしい)	hoshifurimura-jiken-fairu	星降り村事件ファイル	None	Bamboo comics	竹書房	2	97848124x1	97848019x1	9784801953277
TAIL(移籍らしい)	hoshirenge	星恋華	None	ミッシィコミックス	主婦と生活社	12	9784391x10	978487287x1 / 97847767x1	9784872875393,9784776711919
TAIL(移籍らしい)	hot-pet-clinic	ほっと・ペットクリニック	None	Judy comics	小学館	3	978409x2	97847780x1	9784778010539
TAIL(移籍らしい)	hotel-hibiscus	ホテル・ハイビスカス	None	モーニングKC	ボーダーインク	4	9784938923x2	978489982x2	9784899820215,9784899820383
TAIL(移籍らしい)	hotta	堀田	None	F×comics	太田出版	4	978487233x2	97847783x2	9784778320577,9784778321192
TAIL(移籍らしい)	houkago-assault-girls	放課後アサルト×ガールズ	None	METEOR COMICS	ほるぷ出版	8	9784593x4	978486675x4	9784866750002,9784866750262,9784866750545,9784866750736
TAIL(移籍らしい)	hourou-musuko	放浪息子	None	BEAM COMIX	エンターブレイン	15	97847577x9	978404x6	9784047264120,9784047269408,9784047275294,9784047280687,9784047286962,9784047291
TAIL(移籍らしい)	hundred-handles-handling-the-world	ハンドレッドハンドルズハンドリングザ・ワールド	None	ヒーローズコミックスふらっと	小学館クリエイティブ	3	978486468x2	978486805x1	9784868050322
TAIL(移籍らしい)	hyakko	ヒャッコ	None	Flex comix	ソフトバンククリエイティブ	7	97847973x6	9784593x1	9784593856763
TAIL(移籍らしい)	hyakuiro-dougubako	百いろどうぐばこ	None	Super be×boy comics	リブレ出版	2	978486263x1	97847997x1	9784799724651
TAIL(移籍らしい)	hyakuoku-no-hiru-to-senoku-no-yoru	百億の昼と千億の夜	None	少年チャンピオンコミックス	秋田書店	2	9784253x1	978409x1	9784091780225
TAIL(移籍らしい)	i-ueo-boy	I・餓男	None	劇画king series	ホーム社	9	97848342x8	978488315x1	9784883151929
TAIL(移籍らしい)	ibitte-konai-gibo-to-gishi	いびってこない義母と義姉	None	None	一迅社	10	97847580x9	97848251x1	9784825100886
TAIL(移籍らしい)	ichigeki-satchuu-hoihoi-san	一撃殺虫!!ホイホイさん	None	Dengeki Comics EX	メディアワークス	2	97848402x1	978404x1	9784049126525
TAIL(移籍らしい)	ichigo-mashimaro	苺ましまろ	None	電撃コミックス	角川グループパブリッシング	9	97848402x5	978404x4	9784048676342,9784048914536,9784048933940,9784049147742
TAIL(移籍らしい)	ichiya-kagiri-no-zetsurin-kareshi	一夜限りの絶倫彼氏	None	Shusui digital comics TL (teens love) シリーズ	青泉社	2	9784907203x1	9784910429x1	9784910429014
TAIL(移籍らしい)	idol-liberty	アイドリバティ	None	ヒーローズコミックスふらっと	小学館クリエイティブ (発売)	6	978486468x5	978486805x1	9784868050339
TAIL(移籍らしい)	ie-de-munou-to-iware-tsuzuketa-ore-desu-sekaiteki-niwa-chou-yuunou-datta-you-desu	家で無能と言われ続けた俺ですが、世界的には超有能だったようです	None	ガンガンコミックスup!	スクウェア・エニックス	6	97847575x5	9784301x1	9784301003557
TAIL(移籍らしい)	ie-kara-nigedashitai-watashi-ga-ukkari-akogare-no-dai-mahoutsukai-sama-o-katte-shimattara	家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら	None	ガンガンコミックスonline	スクウェア・エニックス	7	97847575x6	9784301x1	9784301003922
TAIL(移籍らしい)	iga-no-kagemaru	伊賀の影丸	None	横山光輝漫画全集	秋田書店	9	9784253x8	978406x1	9784063755695
TAIL(移籍らしい)	ii-denshi	いい電子	None	BEAM COMIX	エンターブレイン	11	97847577x9	978404x2	9784047264144,9784047272750
TAIL(移籍らしい)	ijime-wa-akuma-no-shogyou-desu-maria-no-danzai-mokushiroku	イジメは悪魔の所業です!	None	ガンガンコミックスonline	スクウェア・エニックス	3	97847575x2	9784301x1	9784301002253
TAIL(移籍らしい)	ikiru	生きる	None	None	青林工藝舎	2	978488379x1	97847926x1	9784792601577
TAIL(移籍らしい)	ikitoshi-ikeru	生きとし生ける	None	HCヒーローズコミックス	小学館クリエイティブ	4	978486468x2	978486805x2	9784868050513,9784868050896
TAIL(移籍らしい)	ikkakujuu-wa-tsuranukanai	一角獣は貫かない!	None	MeDu COMICS	ジーオーティー	2	97848148x1	97848236x1	9784823601552
TAIL(移籍らしい)	ikki-mandara	一輝まんだら	None	ハード・コミックス	大都社	3	978488653x2	978404x1	9784048522854
TAIL(移籍らしい)	ikusa-no-ko	いくさの子	None	ゼノンコミックス	徳間書店	20	978419x13	978486720x7	9784867201480,9784867201831,9784867202050,9784867202722,9784867203019,9784867203
TAIL(移籍らしい)	ikusei-skill-wa-mou-iranai-to-yuusha-party-o-kaikosareta-node-taishokukin-gawari-ni-moratta-ryouchi	育成スキルはもういらないと勇者パーティを解雇されたので、退職金がわりにもらった【領地】を強くしてみる	None	ガンガンコミックスup!	スクウェア・エニックス	14	97847575x12	9784301x2	9784301002543,9784301006084
TAIL(移籍らしい)	imasara-nostradamus	いまさらノストラダムス	None	MFコミックス	メディアファクトリー	2	97848401x1	978404x1	9784040661278
TAIL(移籍らしい)	imiko-to-yobareta-shoukanshi-attomaaku-comic	忌み子と呼ばれた召喚士@COMIC	None	コロナ・コミックス	TOブックス	8	978486699x7	978486794x1	9784867942475
TAIL(移籍らしい)	imouto-ni-konyakusha-o-torarete-kono-tabi-shuuaku-kou-to-oshitsukerare-kon-suru-hako	妹に婚約者を取られてこのたび醜悪公と押しつけられ婚する運びとなりました@COMIC	None	コロナ・コミックス	TOブックス	2	978486794x1	978486854x1	9784868540113
TAIL(移籍らしい)	inakappe-taishou	いなかっぺ大将	None	虫コミックス	日本文芸社	3	9784537x2	97847952x1	9784795229273
TAIL(移籍らしい)	inden-san-to-enmusubi	印伝さんと縁結び	None	Missy comics	宙出版	12	97847767x7	978486715x4 / 978486176x1	9784861769290,9784867150221,9784867150771,9784867151167,9784867151426
TAIL(移籍らしい)	ingi-no-hate	淫戯の果て	None	ACTION COMICS	双葉社	2	9784575x1	978487306x1	9784873064888
