slug	work_type	current	gemini_proposal	gemini_desc
at-home	story_manga	comedy	romcom,school	平凡な高校生が、ある事情から女子高生と一つ屋根の下で暮らすことになるラブコメ。
atashi-ga-densetsu	story_manga	school,sports	drama,music	売れない歌手が伝説のスターを目指すサクセスストーリー。
atashi-ha-pet	story_manga	ecchi,romance	romcom,school	女子高生と、彼女に拾われた美少年の同居生活を描くラブコメディ。
atchi-muite-paa	story_manga	comedy	baseball,sports	ゴルフを題材にしたスポーツ漫画。
atomosufia	story_manga	drama,romance	mystery,supernatural,suspense	超能力を持つ少女と、彼女を狙う組織との戦いを描いたサスペンス作品。
atsu-kaze	story_manga	comedy,sports	romance,school,slice-of-life	女子高生の日常や恋愛模様を描いた80年代の少女漫画。
atsumu-toitaun	story_manga	comedy	fantasy,slice-of-life	おもちゃ屋を舞台に、不思議な力を持つ店主と客たちが織りなす日常系ファンタジー。
avjou-to-mousou-ol	story_manga	drama,ecchi	comedy,slice-of-life	AV女優と妄想癖のあるOLの交流を描いたコメディ作品。
ayuko	story_manga	drama,romance,sports	comedy,school	女子高生アユコを主人公とした学園コメディ。
azatokutte-hentai	story_manga	ecchi,romance	romcom,school	あざとい女子高生と、彼女に翻弄される男子生徒の恋愛模様を描いた作品。
azumi-manma-miia	story_manga	action,historical,samurai	comedy,school	女子高生あずみが巻き起こすドタバタな日常を描いたコメディ作品。
b	story_manga	drama	sci-fi,suspense	記憶を失った少年が、謎の組織や能力者と関わるSFサスペンス。
b-heroes	story_manga	drama,romance	action,school	女子高生がヒーローに変身して戦う学園アクション作品。
b-q	story_manga	comedy,drama	action,mystery,suspense	殺し屋の少女と彼女を追う男を描いた、スタイリッシュなバイオレンス・アクション。
b-w	story_manga	drama,romance	horror,mystery,supernatural	霊能力を持つ主人公が様々な怪奇事件を解決していくオカルト・ホラー作品。
baadosutoraiku	story_manga	school,sports	4-koma,comedy,slice-of-life	女子高生たちがバードウォッチングを楽しむ日常系4コマ漫画。
baakittsuviru-7	story_manga	drama,fantasy	horror,mystery	映画『ブレア・ウィッチ・プロジェクト』の世界観を基にしたホラー作品。
baby	story_manga	drama,romance	comedy,school,slice-of-life	女子高生と赤ん坊の交流を描いたハートフルな物語。
baby-bitch	story_manga	comedy,romcom	romance,school	女子高生と年上の男性との恋愛を描いた作品。
bachikaburihime	story_manga	comedy,fantasy	drama	山本夜羽音による、少女を主人公とした短編集。
bachiware-isa	story_manga	drama,sports	comedy,gag	破天荒な主人公・伊佐が活躍する、ドタバタ劇を描いたコメディ作品。
bad-moon	story_manga	drama,fantasy	action,sci-fi	近未来を舞台にしたSFアクション作品。
bakarei-dogs	story_manga	action,comedy,drama	mystery,suspense	死体から記憶を読み取る能力を持つ青年と、その相棒の死体職人が事件を追うサスペンス。
bakarei-dogs-loser	story_manga	comedy,drama	action,mystery,suspense	臓器売買を題材にしたクライムサスペンス作品。
bakeneko-anzu-chan	story_manga	slice-of-life,supernatural	comedy,fantasy,yokai	寺の住職に拾われた、人間のように暮らす化け猫あんずちゃんの日常。
bakkurennayotsu	story_manga	action,drama	comedy,school	不良少年たちの日常や喧嘩を描いた学園・青春漫画。
baku	story_manga	drama,sports	horror,supernatural	夢を食べる怪物バクを巡る、怪奇・幻想的な物語。
baku-to-komugi	story_manga	drama	fantasy	夢を食べるバクと少女コムギの交流を描くファンタジー。
bakusai-slump	story_manga	comedy	action,mind-game	ギャンブルを題材にした作品。
bakusou-kanojo	story_manga	action,romance	comedy,romcom	実業之日本社から刊行された、むつきつとむによる全1巻の漫画作品。
ballet-ryusu	story_manga	historical,music	drama,romance	バレエ・リュスを題材に、ダンサーたちの情熱や葛藤を描いた人間ドラマ。
ban	story_manga	action,comedy	sports	週刊少年マガジンで連載された、バスケットボールを題材にしたスポーツ漫画。
ban-bon	story_manga	comedy,romance	sports	女子高生が主人公の、バスケットボールを題材にしたスポーツ漫画。
ban-gohan-taberu	story_manga	comedy	gourmet,slice-of-life	独身女性の日常と食卓を描いたグルメ漫画。
banana-hakusho	story_manga	drama	comedy,gag,school	週刊少年ジャンプに連載された、高校生を主人公とした学園コメディ作品。
bang	story_manga	comedy,romance	bl	ビブロスから刊行された田中夕子の漫画作品。
bara-bi-shoujo	story_manga	drama	comedy,romcom,school	美少女に囲まれた主人公の日常を描く、柳沢きみおの学園ラブコメディ。
bara-kessha	story_manga	mystery,supernatural	drama,romance	井出智香恵による少女漫画作品。全1巻。
baron-de-rirondo	story_manga	drama,sports	action,fantasy	少年が不思議な力を持つ人形と出会い、戦いに巻き込まれるファンタジー作品。
batsu-monogatari	story_manga	drama	horror,mystery,supernatural	秋田書店のサスペンス・ホラー作品。不可解な事件や怪異を扱った短編連作。
batten	story_manga	action,supernatural	drama,fantasy	死神の少女と、死ぬ運命にある少年が織りなすファンタジー作品。
bauhaus	story_manga	historical	drama	羽央による、バウハウスを題材とした作品。
baunsaazu	story_manga	drama,sports	comedy,slice-of-life	警備会社を舞台に、個性的な警備員たちの活躍を描くお仕事漫画。
bb-paradise	story_manga	drama,romance	comedy,romcom,school	女子高生と謎の美少年が繰り広げるドタバタラブコメディ。
be-monster	story_manga	horror	bl	本間アキラによるBL作品。全1巻。
behind-master	story_manga	drama,mystery	action,sports	格闘技を題材にしたスポーツ漫画。
belladonna	story_manga	drama,fantasy	mystery,suspense	大陸書房から刊行された望月玲子の単行本。
belles-ruelles	story_manga	drama,romance	fantasy,slice-of-life	猫の姿をした住人が暮らす不思議な街「銀ねこ通り」を舞台にしたファンタジー。
bengo-star	story_manga	action,comedy,sports	drama	弁護士の主人公が様々な事件を解決する法廷ドラマ。
beyblade	story_manga	adventure,comedy	action,sports	ベイブレードを用いた競技に打ち込む少年たちの熱いバトル漫画。
biaku-no-hana-special	story_manga	drama	action	檜垣憲朗による、極道や裏社会を描いたバイオレンス・アクション作品。
biba-akanechiyan	story_manga	sports	comedy,romance,school	明るく元気な少女あかねちゃんの日常や恋を描いた少女漫画。
bibouzu	story_manga	comedy,school	fantasy,slice-of-life	美少年たちが織りなす、少し不思議な日常を描いたファンタジー作品。
big	story_manga	comedy,drama	baseball,sports	プロ野球選手を夢見る少年の成長を描いた野球漫画。
bii-group-no-shounen-cross	story_manga	romance	action,drama,sci-fi	特殊な能力を持つ少年たちが、閉鎖的な環境で戦いや葛藤を繰り広げる群像劇。
bijin-ni-naritai-monogatari	story_manga	comedy	drama	容姿にコンプレックスを持つ女性の葛藤と成長を描いた作品。
bijutsukan-no-naka-no-hitotachi	story_manga	drama	comedy,slice-of-life	美術館を舞台に、学芸員や警備員など働く人々の日常を描くお仕事コメディ。
bijuu-no-yakata	story_manga	ecchi	horror,suspense	スコラ社から刊行された矢萩貴子の単行本。ホラー・サスペンス要素を含む作品。
bike-land	story_manga	action	sports	バイクを題材にした青年向け漫画作品。
bikids	story_manga	action	comedy,sci-fi	バイオテクノロジーを題材にしたSFコメディ作品。
binetsu-shoujo-1991	story_manga	ecchi	drama,romance	白夜書房から刊行された西崎まりのの単行本。
bino-bino	story_manga	comedy,romance	fantasy	新書館のウィングスで連載された、不思議な力を持つ少年を描くファンタジー作品。
bird-1994	story_manga	drama	sports	ゴルフを題材としたスポーツ漫画。
bird-black-market	story_manga	drama,sports	action	裏社会を舞台に、凄腕の殺し屋バードの活躍を描くクライムアクション。
bird-saikyou-bainin-vs-tensai-magician	story_manga	drama,sports	mind-game	麻雀漫画『バード』の続編。雀士と魔術師が麻雀で対決するギャンブル漫画。
birth-night	story_manga	action,fantasy,horror	drama,romance	秋田書店から刊行された柿崎普美による少女漫画作品。
bk-woman	story_manga	drama	action,school	女子高生が変身して戦うアクション漫画。
black-city	story_manga	drama	action,sci-fi	近未来を舞台にしたSFアクション作品。
blackbird	story_manga	fantasy,romance	drama,suspense	女子高生と謎の男の交流を描くサスペンス調の作品。
blan-no-shokutaku	story_manga	drama	fantasy,gourmet	料理をテーマにしたファンタジー作品。
bloody-hazard	story_manga	action,horror	bl,drama	東城麻美によるBL作品。全1巻。
bloody-marii	story_manga	drama,fantasy	horror,suspense	講談社から刊行された高瀬綾による単行本。吸血鬼を題材としたホラー・サスペンス作品。
blue-blood	story_manga	bl,drama	fantasy,horror	吸血鬼を題材としたゴシック・ホラー作品。
blue-edge	story_manga	action,sci-fi	drama,school	女子高生が主人公の青春ドラマ作品。
blue-obelisk	story_manga	fantasy	drama,sci-fi	近未来を舞台にしたSF作品。記憶をテーマにした物語。
blue-prisoner	story_manga	drama,mystery	action,sci-fi	近未来を舞台にしたSFアクション作品。
blue-scanner	story_manga	drama	mystery,sci-fi,suspense	特殊な能力を持つ主人公が事件を解決するサスペンス作品。
body-girl	story_manga	drama,ecchi	comedy,sports	女子高生がボディビルに目覚めるスポーツ漫画。
body-language	story_manga	romance	comedy,ecchi	少年画報社のヤングキングコミックスより刊行された、けろりんによる漫画作品。
boku-no-dorobou-nikki	story_manga	adventure,comedy	drama,romance	杉山志保子による少女漫画。全2巻。
boku-no-giniro-house	story_manga	romance,school	romcom,slice-of-life	銀色のトレーラーハウスで暮らす青年と、周囲の人々を描いた青春ラブコメディ。
boku-no-kanojo-wa-joshi-ga-suki	story_manga	comedy	drama,romance,slice-of-life	レズビアンの彼女と、彼女を愛する男性の葛藤を描く物語。
boku-no-serori-paseri	story_manga	comedy	romance,school	星崎真紀による少女漫画作品。全1巻。
boku-no-super-hero	story_manga	romance	bl	ビブロスから刊行された藤崎こうによるボーイズラブ作品。
boku-to-watashi-no-love-jijou	story_manga	romance	romcom,school	女子高生と男子高校生の入れ替わりを描いたラブコメディ。
boku-wa-uirii	story_manga	school,sports	drama	少年と愛犬ウイリーの絆を描いた物語。
bokura-no-ameejingu	story_manga	drama,school	fantasy,romance	秋田書店から刊行された湯口聖子の少女漫画作品。
bokutachi-wa-dorai-janai	story_manga	drama	romance,school	飛鳥あるとによる少女漫画作品。全1巻。
bolt-and-nut	story_manga	drama,sports	comedy,slice-of-life	自動車やバイクを題材にした、メカニックや愛好家を描く日常・コメディ作品。
bolts-and-nuts-prologue	story_manga	drama,sports	comedy,slice-of-life	自動車や機械を題材とした田中むねよしの短編作品集。
bon	story_manga	drama	historical,samurai	江戸時代を舞台にした時代劇漫画。
boots-no-yamada-san	story_manga	comedy	drama,slice-of-life	靴屋を舞台にした、靴と人との交流を描くヒューマンドラマ。
border	story_manga	drama	action,mystery,suspense	特殊な能力を持つ主人公が事件を解決するハードボイルドなクライムアクション。
bottleship-troopers	story_manga	action	comedy,sci-fi	ボトルシップの中に住む小人たちの日常を描いたSFコメディ。
bounty-xxx	story_manga	drama,ecchi,romance	action	賞金稼ぎをテーマにしたアクション漫画。
bousou-souri	story_manga	drama	comedy,gag	総理大臣が暴走する政治風刺やドタバタを描いたコメディ作品。
boy-meets-girl	story_manga	drama,romance	school,soccer,sports	高校のサッカー部を舞台に、男女の交流と成長を描いた青春スポーツ漫画。
boys-1986	story_manga	action,drama	school,sports	少年たちの友情や成長を描いたスポーツ漫画。
brains-1997	story_manga	drama	mystery,sci-fi,suspense	脳科学や記憶をテーマにしたSFサスペンス作品。
bravo	story_manga	comedy,music	romance,romcom,school	女子高生と教師の恋愛を描いた学園ラブコメディ。
break-free	story_manga	action	sports	バスケットボールを題材にしたスポーツ漫画。
bremen-doubutsuen-ni-oide	story_manga	comedy	drama,slice-of-life	動物園を舞台に、飼育員たちの日常や動物との交流を描いたヒューマンドラマ。
brightworks	story_manga	drama	romance,slice-of-life	OLの日常や恋愛模様を描いた短編集。
brother-2013	story_manga	drama	comedy,gag	兄弟の絆や日常を描いたコメディ作品。
bub	story_manga	drama,fantasy	mystery,suspense	記憶を失った少女が、自身の正体と過去の謎を追うサスペンス作品。
bun-bun-bee	story_manga	comedy,fantasy	action,school	女子高生がミツバチの姿に変身して戦う、変身ヒロインもの。
bun-bun-neppuuji	story_manga	comedy,school	action,sports	徳間書店から刊行された、加藤礼次朗による少年漫画作品。
bunbun	story_manga	comedy	sports	週刊少年マガジンで連載された、ボクシングを題材にしたスポーツ漫画。
burai-sandaime	story_manga	drama	action	日本文芸社から刊行された、任侠・劇画路線の作品。
buroodo	story_manga	action,supernatural	comedy,school,slice-of-life	演劇部を舞台にした、女子高生たちの青春コメディ作品。
bust-shot	story_manga	comedy,essay,slice-of-life	drama,school	女子高生を主人公とした学園ドラマ。矢野健太郎による秋田書店刊の作品。
but-bad-boys	story_manga	romance	comedy,school	立野真琴による、学園を舞台にしたコメディ作品。
butainu	story_manga	action,comedy,sports	drama	舞台俳優を目指す青年と、彼を取り巻く人間模様を描いた青春ドラマ。
buttobi-survival	story_manga	comedy	action,adventure	無人島に漂着した少年たちがサバイバル生活を送る冒険漫画。
buya	story_manga	historical	drama	神田たけ志による、ある男の数奇な運命を描いた劇画作品。
bx-crossroad	story_manga	drama,fantasy	romance,school	講談社から刊行されたおぐらかんの漫画作品。
c-darwin	story_manga	romance,sci-fi	drama,historical	チャールズ・ダーウィンを題材にした歴史・伝記漫画。
c-live	story_manga	drama,music	action,sci-fi	近未来を舞台にしたSFアクション作品。
c-v	story_manga	action	drama,slice-of-life	声優業界を舞台に、新人声優の奮闘や日常を描いた作品。
cafe-meruhen	story_manga	comedy	drama,slice-of-life	喫茶店を舞台に、店主と客たちが織りなす人間模様を描いた作品。
calling	story_manga	drama,romance	horror,mystery,suspense	霊感を持つ少女が、死者の声を聞き事件を解決していくホラー・サスペンス作品。
candy-samurai-wars	story_manga	action,fantasy	comedy,gag,historical	学研の学習雑誌で連載された、歴史上の人物が登場するギャグ漫画。
captain-alice-1990	story_manga	adventure,fantasy	action	女性パイロットの活躍を描いた航空アクション漫画。
caramel-hardboiled	story_manga	drama,mystery	bl	新書館より刊行された南野ましろによる漫画作品。
caramel-whip	story_manga	comedy,romance	romcom,school	小学館の少女漫画雑誌で連載された、学園生活を描いた作品。
carburetors	story_manga	drama,sports	comedy	自動車を題材にした、田中むねよしによる漫画作品。
career-kogitsune-kin-no-machi	story_manga	drama,fantasy	comedy,slice-of-life	キャリアウーマンの主人公が、ひょんなことから子狐を育てることになる物語。
cat	story_manga	romance	comedy,school	女子高生が猫に変身する能力を持つ、学園コメディ作品。
catch-me	story_manga	action	4-koma,comedy	芳文社のまんがタイムコミックスより刊行された、こだま学の短編集。
catwalk	story_manga	romance	comedy,romcom	猫耳の少女たちが登場する、エンターブレイン発行のコミック作品。
cement	story_manga	comedy,sports	drama,slice-of-life	建設現場を舞台に、型枠大工の青年を描いた職業漫画。
cendrillon	story_manga	bl,historical	drama,romance	松崎司による、シンデレラをモチーフにした作品。
cha-no-namida	story_manga	drama,romance	school,slice-of-life	茶道部を舞台に、お茶と青春を描いた作品。
chance-1996	story_manga	comedy,romance	sports	週刊少年ジャンプで連載された、競馬を題材にしたスポーツ漫画。
change-h	story_manga	comedy	ecchi	性転換をテーマにしたオムニバス形式の成人向け漫画作品。
channel-q	story_manga	comedy,slice-of-life	fantasy,sci-fi	テレビ番組のチャンネルを巡る不思議な体験を描いた短編作品集。
charenjaa-aaa	story_manga	sports	drama,slice-of-life	漫画家を目指す若者の苦闘と青春を描いた、永島慎二の自伝的要素を含む作品。
charger-500	story_manga	sports	action	少年画報社のヤングキングで連載された、カーアクション漫画。
chariko-chinpui	story_manga	comedy,ecchi	sports	自転車競技に情熱を注ぐ女子高生たちを描いた青春スポーツ漫画。
charming	story_manga	comedy,romance,slice-of-life	romcom,school	女子高生を主人公とした、学園生活を描いた少女漫画。
chat-shimasho	story_manga	romance	comedy,slice-of-life	パソコン通信を題材にした、当時のネット事情を描くコメディ作品。
checkmate	story_manga	drama,mystery	sports	週刊少年ジャンプで連載された、将棋を題材にしたスポーツ漫画。
chibi	story_manga	comedy	soccer,sports	サッカーを題材にした高橋陽一によるスポーツ漫画。
chibi-puri	story_manga	essay,slice-of-life	4-koma,comedy	ちびっ子プリンセスたちの日常を描いた4コマ漫画作品。
chiheikyuu-ex	story_manga	drama	action,sci-fi	近未来を舞台に、球体状の特殊な世界で繰り広げられるSFアクション。
chiheisen-no-gin-no-hoshi	story_manga	drama,fantasy	sci-fi	山田ミネコによるSF短編集。表題作ほか数編を収録。
chihiro-no-oshiro	story_manga	fantasy	drama,slice-of-life	少女ちひろの日常と空想を描いた、千明初美の短編集。
chiisana-non-chan	story_manga	comedy	fantasy,slice-of-life	不思議な力を持つ少女のんちゃんと周囲の人々を描いたファンタジー作品。
child-castle	story_manga	drama,fantasy	horror,mystery,suspense	閉鎖された学園で繰り広げられる、謎と恐怖を描いたサスペンス作品。
childish	story_manga	drama,romance	bl	ビブロスから刊行された星崎龍による漫画作品。
chimachima-puppet	story_manga	comedy	fantasy	人形を操る少女と不思議な人形たちの交流を描いたファンタジー作品。
chimamire-no-kishi	story_manga	historical,romance	action,fantasy	中世風の世界を舞台にしたファンタジー作品。
chimera	story_manga	action,fantasy	bl,drama	東城麻美による、耽美的な世界観を持つBL作品。
chin	story_manga	historical,mystery	drama,suspense	毒鳥「鴆」を巡る因縁と復讐を描いたサスペンス・ドラマ作品。
chin-shitene	story_manga	comedy,slice-of-life	4-koma,gag	コンビニを舞台にした、店員と客の日常を描く4コマ漫画。
