wrong_n	slug	label_author	title	wrong_isbn_trueauthor
5	eureka-seven-ao	加藤雄一	エウレカセブンAO	9784041202821(bones); 9784041203262(bones); 9784041205792(bones)
5	maji-de-watashi-ni-koishinasai-afterparty	桂イチホ	真剣で私に恋しなさい!!afterparty!!	9784048708388(多門結之); 9784048866415(多門結之); 9784048916660(多門結之)
5	gundam-build-fighters-a-r	今ノ夜きよし	ガンダムビルドファイターズAR	9784041046715(千葉智宏); 9784041051160(千葉智宏); 9784041059913(千葉智宏)
5	the-idolm-ster-million-live	門司雪	アイドルマスターミリオンライブ!	9784091257604(バンダイナムコゲームス); 9784091262868(バンダイナムコエンターテインメント); 9784091267399(バンダイナムコエンターテインメント)
5	joker-game-the-animation	大島連盟	ジョーカー・ゲームTHE ANIMATION	9784800005724(柳広司); 9784800006219(柳広司); 9784800006752(柳広司)
4	isekai-eebui	大石普人	異世界AV	9784537145304(オオイシヒロト); 9784537145724(オオイシヒロト); 9784537146639(オオイシヒロト)
4	hayou-no-tsurugi	松元陽	破妖の剣	9784088466279(前田珠子); 9784088466927(前田珠子); 9784088467719(馬場美由紀)
4	taikaizoku-doumei	(unknown)	大海賊同盟	9784860020941(ノアール出版); 9784860020989(ノアール出版); 9784860021009(ノアール出版)
4	manekarezaru-kyaku-miki-2021	伊東七つ生/西尾潤	招かれざる客	9784403623325(別府マコト); 9784403623332(別府マコト); 9784403623523(別府マコト)
4	ensemble-stars	紗与イチ	あんさんぶるスターズ!	9784063808315(happyelementskk); 9784063808667(happyelementskk); 9784063808896(happyelementskk)
4	aldnoah-zero	篠田六	アルドノア・ゼロ	9784832244696(ピナケス); 9784832244955(ピナケス); 9784832245259(ピナケス)
4	on-air-2009	イ・テウク	オンエアー	9784893087010(キムウンスク); 9784893087027(キムウンスク); 9784893087034(キムウンスク)
4	senjou-no-valkyria	鬼頭えん	戦場のヴァルキュリア	9784047151376(セガ); 9784047152410(セガ); 9784047153103(セガ)
4	comic-angelique-special-2-carnival	(unknown)	コミックアンジェリークspecial 2カーニバル	9784877194857(光栄); 9784877195175(光栄); 9784877195427(光栄)
4	sakurako	根本テツヤ	桜子	9784537037791(根本哲也/石原信一); 9784537038057(根本哲也/石原信一); 9784537038262(根本哲也/石原信一)
4	mobile-suit-gundam-anaheim-record	近藤和久	機動戦士ガンダムANAHEIM RECORD	9784041033364(矢立肇); 9784041040829(富野由悠季); 9784041050286(富野由悠季)
4	manga-de-wakaru-fate-grand-order	カマンベールはる坊	マンガで分かる!Fate/Grand Order	9784041061015(typemoon); 9784041082263(typemoon); 9784041115688(typemoon)
4	tokyo-ravens-sword-of-song	久世蘭	東京レイヴンズSword of Song	9784063813302(tsuyoshikusano); 9784063813432(あざの耕平); 9784063813456(あざの耕平)
4	uzumakiboruto	平健史	BORUTO-ボルト-SAIKYO DASH GENERATIONS	9784088816890(岸本斉史); 9784088818580(岸本斉史); 9784088823133(岸本斉史)
4	mamotteagetai	くじらいいく子	守ってあげたい!	9784091515612(くじらいいくこ); 9784091515629(くじらいいくこ); 9784091515636(くじらいいくこ)
4	violence-jack-20xx	衣谷遊	バイオレンスジャック20XX	9784065243534(永井豪); 9784065270547(永井豪); 9784065290644(永井豪)
4	harmony	金魚鉢でめ	ハーモニー	9784041040683(伊藤計劃); 9784041054789(伊藤計劃); 9784041086650(伊藤計劃)
4	signal-100	龍翠	シグナル100	9784592141266(近藤しぐれ); 9784592141273(近藤しぐれ); 9784592141280(近藤しぐれ)
4	bungou-stray-dogs-dead-apple	銃爺	文豪ストレイドッグスDEAD APPLE	9784041065549(文豪ストレイドッグスda製作委員会); 9784041072905(文豪ストレイドッグスda製作委員会); 9784041072912(文豪ストレイドッグスda製作委員会)
4	fotokano	緋野孝雄	フォトカノ	9784592141419(エンターブレイン); 9784592141426(エンターブレイン); 9784592141433(エンターブレイン)
