slug	title	std_vols	covered	missing	covered_pct	gap_start_vol	type	missing_volumes	missing_isbns
fushigi-na-melmo	ふしぎなメルモ	2	1	1	50	2	北斗型	2	9784097273325
gakkou-no-kaidan-koga-1994	学校の怪談	2	1	1	50	2	北斗型	2	9784253128131
gakuen-kaitou-triangle	学園快盗トライアングル	2	1	1	50	2	北斗型	2	9784091344922
game	Game	2	1	1	50	2	北斗型	2	9784253095020
genocide	ジェノサイド	2	1	1	50	2	北斗型	2	
girls-cuvie-2003	Girls	2	1	1	50	2	北斗型	2	9784894527560
glory-road	グローリーロード	2	1	1	50	2	北斗型	2	9784861278488
gokudoukishu	極道騎手	2	1	1	50	2	北斗型	2	
gokuraku-shinshi	ごくらく紳士	2	1	1	50	2	北斗型	2	
green-veil	グリーン・ベール	2	1	1	50	2	北斗型	2	9784253077767
h-ash	H-アッシュ	2	1	1	50	2	北斗型	2	9784091357922
hakuouki-junrenka	薄桜鬼巡恋華	2	1	1	50	2	北斗型	2	9784048689847
half-court	ハーフコート	2	1	1	50	2	北斗型	2	9784063122183
hana-to-arashi-to	華と嵐と	2	1	1	50	2	北斗型	2	9784063028775
hashire-gabacho	走れガバチョ!	2	1	1	50	2	北斗型	2	9784063287738
high-school-rainy	ハイスクールレイニー	2	1	1	50	2	北斗型	2	9784048863353
hikou-shounen	飛行×少年	2	1	1	50	2	北斗型	2	9784403615115
hone-no-saki	骨の尖	2	1	1	50	2	北斗型	2	
hyakuoku-no-hiru-to-senoku-no-yoru	百億の昼と千億の夜	2	1	1	50	2	北斗型	2	
ishioka-kazumi-no-file	石岡和己の事件簿	2	1	1	50	2	北斗型	2	9784562032723
janus-no-kagami	ヤヌスの鏡	2	1	1	50	2	北斗型	2	
jidankoushouninemu	示談交渉人M	2	1	1	50	2	北斗型	2	
jigoku-no-dokudokuhime	地獄のどくどく姫	2	1	1	50	2	北斗型	2	
jinsei-wa-barairo-da	人生はバラ色だ。	2	1	1	50	2	北斗型	2	9784756713018
jitsuroku-otokotachi-no-ura-chousa-fairu	実録!男たちの〔○裏〕調査ファイル	2	1	1	50	2	北斗型	2	9784773096422
junkin-no-douwa	純金の童話	2	1	1	50	2	北斗型	2	9784253076944
kannou-gekiga-daizenshuu	官能劇画大全集	2	1	1	50	2	北斗型	2	9784944154340
kanojo-no-kare	彼女の彼	2	1	1	50	2	北斗型	2	9784061066861
kattobi-nyuuyookaa	かっとびニューヨーカー	2	1	1	50	2	北斗型	2	9784063027846
kaze-o-kiku-iu	風を聴くイヴ	2	1	1	50	2	北斗型	2	9784091370129
kendama	拳魂	2	1	1	50	2	北斗型	2	9784253202640
kin-no-prism	金のプリズム	2	1	1	50	2	北斗型	2	9784091367259
kindan-no-kajitsu	禁断の果実	2	1	1	50	2	北斗型	2	9784575331950
kishiwada-shounen-gurentai	岸和田少年愚連隊	2	1	1	50	2	北斗型	2	9784862254504
knife	Knife	2	1	1	50	2	北斗型	2	
koisuru-houseki-monogatari	恋する宝石物語	2	1	1	50	2	北斗型	2	9784063412376
konnichiwa-aka-chan	こんにちは赤ちゃん	2	1	1	50	2	北斗型	2	9784063177831
kotton-200-paasento	コットン200％	2	1	1	50	2	北斗型	2	9784091364852
koukoku-no-tate	興国の楯	2	1	1	50	2	北斗型	2	9784056045253
kugutsu-hard-link	傀儡HARD LINK	2	1	1	50	2	北斗型	2	9784403618598
kuranoa	クラノア	2	1	1	50	2	北斗型	2	9784048706230
lettuce-to-ken	レタスと剣	2	1	1	50	2	北斗型	2	9784091330321
lucifer	ルシフェル	2	1	1	50	2	北斗型	2	9784063175660
mabui-no-kotowari	マブイノコトワリ	2	1	1	50	2	北斗型	2	9784847035906
mahou-no-stage-fancy-lala	魔法のステージファンシーララ	2	1	1	50	2	北斗型	2	9784088561172
mainichi-ga-nichiyoubi	毎日が日曜日	2	1	1	50	2	北斗型	2	9784575815313
makanai-komusume	まかないこむすめ	2	1	1	50	2	北斗型	2	9784048679831
maria-ppoino	マリアっぽいの!	2	1	1	50	2	北斗型	2	9784061789616
marie-ni-ote	マリエにお手!	2	1	1	50	2	北斗型	2	9784091398024
maromayu	まろまゆ	2	1	1	50	2	北斗型	2	9784048672474
marx-girl	マルクスガール	2	1	1	50	2	北斗型	2	9784253146180
meirei-kuchou-no-kuchibiru-de	命令口調の唇で	2	1	1	50	2	北斗型	2	9784756714114
mifukkoku-sf-sakuhinshuu	未復刻SF作品集	2	1	1	50	2	北斗型	2	
minna-no-doubutsuen	みんなの動物園	2	1	1	50	2	北斗型	2	9784253162821
mobile-suit-bui-gundam	機動戦士Vガンダム	2	1	1	50	2	北斗型	2	
monroe-densetsu	モンロー伝説	2	1	1	50	2	北斗型	2	9784396761523
mori-ni-sumu-hitobito	森にすむ人々	2	1	1	50	2	北斗型	2	9784253076029
motto-oishii-kekkon	もっとおいしい結婚	2	1	1	50	2	北斗型	2	9784063256147
mushimaro	むしまろ!	2	1	1	50	2	北斗型	2	9784063129533
muteki-no-scandal	無敵のスキャンダル	2	1	1	50	2	北斗型	2	9784088488981
muv-luv-unlimited	マブラヴアンリミテッド	2	1	1	50	2	北斗型	2	9784840233699
nee-honey-shiranaino	ねぇ、honey知らないの?	2	1	1	50	2	北斗型	2	9784063259445
niaizu	ニァイズ	2	1	1	50	2	北斗型	2	
nijiiro-no-doa	虹色のドア	2	1	1	50	2	北斗型	2	9784088470016
nippon-no-mimei	ニッポンの未明	2	1	1	50	2	北斗型	2	9784594046781
noubaku-wotaku-daitouryou	濃爆おたく大統領	2	1	1	50	2	北斗型	2	9784063491661
oaji-wa-doo	お味はDO!?	2	1	1	50	2	北斗型	2	9784063335132
oedo-yami-hikyaku	大江戸闇飛脚	2	1	1	50	2	北斗型	2	9784845858736
okaa-sama	おかあさま	2	1	1	50	2	北斗型	2	9784834281958
omatsuri-ryourinin-saitama-yumeichi	お祭り料理人さいたま夢一	2	1	1	50	2	北斗型	2	9784048866170
omoikkiri-etchi-na-koi	思いっきりHな恋	2	1	1	50	2	北斗型	2	9784063411218
omoikkiri-nakeru-koi	思いっきり泣ける恋	2	1	1	50	2	北斗型	2	9784063411225
oya-ni-ha-naisho	親にはナイショ	2	1	1	50	2	北斗型	2	9784091360922
petanko-nurse	ぺたんこナース	2	1	1	50	2	北斗型	2	9784408169583
pipin-to-pinto	ピピンとピント☆	2	1	1	50	2	北斗型	2	
puchipuchi-rabii	ぷちぷちラビィ	2	1	1	50	2	北斗型	2	9784063369571
renaissance	ルネッサンス	2	1	1	50	2	北斗型	2	9784091721228
ryuukotsu	龍骨	2	1	1	50	2	北斗型	2	
sanchoume-no-mahoutsukai	三丁目の魔法使い	2	1	1	50	2	北斗型	2	9784048864480
sarutobi-sasuke-1995	猿飛佐助	2	1	1	50	2	北斗型	2	
senjutsushi-to-saiyaku-no-tsubo	仙術師と災厄の壺	2	1	1	50	2	北斗型	2	9784403618192
serafikku-feather-irasutoreeshonzu	セラフィック・フェザーイラストレーションズ	2	1	1	50	2	北斗型	2	
seven-colors-girl	なな色☆GIRL	2	1	1	50	2	北斗型	2	9784091368829
shiawase-na-gokai	幸せな誤解	2	1	1	50	2	北斗型	2	9784596950291
shin-kazoku-keikaku	新家族計画	2	1	1	50	2	北斗型	2	9784872336429
shinyuuroku	新友録	2	1	1	50	2	北斗型	2	9784088615868
shosen-toppa	書戦突破!	2	1	1	50	2	北斗型	2	9784048866194
shounen-rocket	少年ロケット	2	1	1	50	2	北斗型	2	9784048863384
sora-eno-tegami	空への手紙	2	1	1	50	2	北斗型	2	9784863711341
souzokunin-tomoko	相続人トモコ	2	1	1	50	2	北斗型	2	9784253143639
step-mother	Stepマザー	2	1	1	50	2	北斗型	2	9784796297400
suit-bankou	千紫萬紅	2	1	1	50	2	北斗型	2	
tanoshii-shinsengumi	たのしい新選組	2	1	1	50	2	北斗型	2	9784861762611
tatakae-okaa-san	たたかえ!お母さん	2	1	1	50	2	北斗型	2	9784828855660
tea-time	ティー❤タイム	2	1	1	50	2	北斗型	2	
teens	てぃーんず	2	1	1	50	2	北斗型	2	9784061066687
tengai-no-charon	天涯のカロン	2	1	1	50	2	北斗型	2	9798378547678
to-heart-4-koma-manga-gekijou	To heart4コママンガ劇場	2	1	1	50	2	北斗型	2	
togi-hime-zoushi-no-ni-kobyoubu	伽姫草子之弐小屏風	2	1	1	50	2	北斗型	2	
vanilla	ヴァニラ	2	1	1	50	2	北斗型	2	9784403660146
venus-party	ヴィーナス・パーティー	2	1	1	50	2	北斗型	2	9784396760168
vitamin-z	Vitamin Z	2	1	1	50	2	北斗型	2	9784048703994
wonder-world	わんだ～・わ～るど	2	1	1	50	2	北斗型	2	9784061787285
yoshimoto-muchikko-monogatari	ヨシモトムチッ子物語	2	1	1	50	2	北斗型	2	9784091494924
yotchi-no-hon	よっちの本	2	1	1	50	2	北斗型	2	9784908494079
youkiden	妖奇伝	2	1	1	50	2	北斗型	2	
zig-zag-2000	ZIG×ZAG	2	1	1	50	2	北斗型	2	9784063412406
juudousanka	柔道讃歌	16	6	10	38	7	vol1偏	7,8,9,10,11,12,13,14,15,16	
the-idolm-ster-cinderella-girls-u149	THE IDOLM@STER CINDERELLA GIRLS U149	15	5	10	33	6	vol1偏	6,7,8,9,10,11,12,13,14,15	
matenrou	摩天楼	13	5	8	38	6	vol1偏	6,7,8,10,11,12,13,14	
chousen-shikaku	挑戦資格	7	3	4	43	6	vol1偏	6,7,8,9	
x-men	X-MEN	7	3	4	43	6	vol1偏	6,9,12,13	9784796840064,9784796840095,9784796840125,9784796840132
the-idolm-ster-cinderella-girls-after20	THE IDOLM@STER CINDERELLA GIRLS After20	13	3	10	23	4	vol1偏	4,5,6,7,8,9,10,11,12,13	
nijiiro-no-trotsky	虹色のトロツキー	8	3	5	38	4	vol1偏	4,5,6,7,8	9784267902659,9784267902840,9784267902925,9784267902956,9784267902994
hana-no-uta	花のうた	7	3	4	43	4	vol1偏	4,5,6,7	9784063287479,9784063287585,9784063287745,9784063287905
nanairo-kamen	七色仮面	7	3	4	43	4	vol1偏	4,5,6,7	
devil-17	デビル17	6	2	4	33	3	vol1偏	3,4,5,6	9784047124158,9784047124325,9784047124424,9784047124479
real-bout-high-school	リアルバウトハイスクール	6	2	4	33	3	vol1偏	3,4,5,6	9784047122581,9784047122833,9784047123106,9784047123427
brafman	ブラフマン	5	2	3	40	3	vol1偏	3,4,5	9784861762482,9784861763090,9784861763632
galaxy-angel	ギャラクシーエンジェル	5	2	3	40	3	vol1偏	3,4,5	9784047123236,9784047123465,9784047123618
rasenjikake-no-umi	螺旋じかけの海	5	2	3	40	3	vol1偏	3,4,5	
yatsupa-ahoogan-yo	やっぱ!アホーガンよ	5	2	3	40	3	vol1偏	3,4,6	
show-chan-no-bouken	正チャンの冒険	3	1	2	33	5	vol1偏	5,6	
kikou-kiden-hiwou-senki	機巧奇伝ヒヲウ戦記	3	1	2	33	3	vol1偏	3,4	9784063490534,9784063490718
purodeyuusaa-ni-naritai	プロデューサーになりたい	3	1	2	33	3	vol1偏	3,4	9784063373066,9784063373233
yuushun-no-mon	優駿の門	33	1	32	3	2	vol1偏	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	9784253053983,9784253053990,9784253054003,9784253054010,9784253054027,9784253054034,9784253054669,9784253054676,9784253054683,9784253054690,9784253054706,9784253054713,9784253054720,9784253054737,9784253055048,9784253055055,9784253055062,9784253055079,9784253055086,9784253055093,9784253055109,9784253055277,9784253055284,9784253055291,9784253055307,9784253055499,9784253055505,9784253058612,9784253058629,9784253058636,9784253058643,9784253058650
full-ahead-koko	フルアヘッド!ココ	29	1	28	3	2	vol1偏	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	9784253056267,9784253056274,9784253056281,9784253056298,9784253056304,9784253056311,9784253056328,9784253056335,9784253056342,9784253056359,9784253056366,9784253056373,9784253056380,9784253056397,9784253056403,9784253056410,9784253056427,9784253056434,9784253056441,9784253056458,9784253056465,9784253056472,9784253056489,9784253056496,9784253056502,9784253056809,9784253056816,9784253056823
toilet-hakase	トイレット博士	24	1	23	4	2	vol1偏	2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,27,28	
