base	verdict	src	n_pages	titles	outliers	evidence	isbn_audit	reps	rekey
black-jack	partial	MIXED	2	ブラック・ジャック || アニメブック ブラックジャック	アニメブック ブラックジャック	tezukaosamu.net/秋田書店: ブラック・ジャック=手塚治虫の本編漫画。『アニメブック ブラックジャック』(2005,3巻,TVアニメ名作シリーズ)はTVアニメ版のアニメコミック=掲載対象外の別物。本編とは別製品→outlierで分離、merge不可。	diff_pub	name:Osamu Tezuka|name:ブラックジャック[韓国語]qid:Q193300|name:ブラック・ジャック	SPLIT_SUBSET
black-jack-anime-book	partial	MIXED	2	ブラック・ジャック || アニメブック ブラックジャック	アニメブック ブラックジャック	tezukaosamu.net/秋田書店: ブラック・ジャック=手塚治虫の本編漫画。『アニメブック ブラックジャック』(2005,3巻,TVアニメ名作シリーズ)はTVアニメ版のアニメコミック=掲載対象外の別物。本編とは別製品→outlierで分離、merge不可。	diff_pub	qid:Q193300|name:アニメブック ブラックジャック	SPLIT_SUBSET
riot	different_works	MIXED	4	RIOT || RIOT || Riot of the world || ライオット		Wikipedia/Amazon/小学館: 「RIOT」塚田ゆうた(2025,ビッグコミックス,ZINE青春譚)は近作。他の RIOT(1989)/Riot of the world(1998)/ライオット(1993) は無関係な別作・別題。偶然の同slug衝突→接尾辞で区別。	ISBN確認	name:塚田ゆうた|name:RIOTqid:Q11503752|name:RIOTqid:Q27286|name:ライオット	SPLIT_SUBSET
riot-of-the-world	different_works	MIXED	4	RIOT || RIOT || Riot of the world || ライオット		Wikipedia/Amazon/小学館: 「RIOT」塚田ゆうた(2025,ビッグコミックス,ZINE青春譚)は近作。他の RIOT(1989)/Riot of the world(1998)/ライオット(1993) は無関係な別作・別題。偶然の同slug衝突→接尾辞で区別。	ISBN確認	qid:Q27286|name:Riot of the world	SPLIT_SUBSET
brain-powerd	merge_all	MIXED	2	BRAIN POWERD || ブレンパワード		Wikipedia/Amazon: 富野由悠季原作・杉崎ゆきる作画の同一漫画『ブレンパワード』。BRAIN POWERD(ローマ字表記)とブレンパワード(カタカナ)は同一作の表記違い(同著者・同年代・同2巻)。	ISBN確認	name:富野由悠季|name:BRAIN POWERD	
kumotori-zanpei	merge_all	AUTHOR_SPLIT	3	雲盗り暫平 || 雲盗り暫平 || 雲盗り暫平.		Wikipedia/cmoa/pixiv: 『雲盗り暫平』はさいとう・たかをの同一劇画(1983-88リイドコミック)。3page全て同題・同kana。林律雄は本作の作者でない=MADB誤クレジット。二代目(土光てつみ)は別題で本群に無し→原作の同一作を統合。	ISBN確認	qid:Q2661273|name:雲盗り暫平	
nora	different_works	MIXED	4	NORA || のら || Nora || トゥィンクル・ノーラ		Amazon/全巻com: NORA=筧一成『NORA-ノラ-』(集英社2004,全9巻,ノラ)。他の のら(1993)/Nora(2000,ノーラ=別kana)/トゥィンクル・ノーラ(1984) は無関係な別作。偶然の同slug。	ISBN確認	name:筧一成|name:NORAqid:Q11488834|name:ノーラqid:Q11488834|name:トゥィンクル・ノーラ	
nora	different_works	MIXED	4	NORA || のら || Nora || トゥィンクル・ノーラ		Amazon/全巻com: NORA=筧一成『NORA-ノラ-』(集英社2004,全9巻,ノラ)。他の のら(1993)/Nora(2000,ノーラ=別kana)/トゥィンクル・ノーラ(1984) は無関係な別作。偶然の同slug。	ISBN確認	qid:Q11388964|name:のら	SPLIT_SUBSET
tou	different_works	MIXED	4	NORA || のら || Nora || トゥィンクル・ノーラ		Amazon/全巻com: NORA=筧一成『NORA-ノラ-』(集英社2004,全9巻,ノラ)。他の のら(1993)/Nora(2000,ノーラ=別kana)/トゥィンクル・ノーラ(1984) は無関係な別作。偶然の同slug。	ISBN確認	qid:Q11384930|name:蕩 tou|sub:若美肉嗜虐浪漫	SPLIT_SUBSET
9-banme-no-musashi	merge_all	AUTHOR_SPLIT	2	9番目のムサシ || 9番目のムサシ		Wikipedia: 高橋美由紀『9番目のムサシ』本編。両page同題・同著者。続編(レッドスクランブル/サイレントブラック等)は別題で本群に無く、これらは本編の著者parse分裂。	ISBN確認	qid:Q9046723|name:9番目のムサシ	
dear-boys-act-3	merge_all	MIXED	3	DEAR BOYS ACT 3 || DEAR BOYS ACT3 || DEAR BOYS ACTⅢ		Amazon/講談社: 八神ひろき『DEAR BOYS ACT3』(全21巻)。ACT 3/ACT3/ACTⅢ は同一作の表記揺れ(空白有無・全角ローマ数字)。同kana。第3部の同一作。	ISBN確認	qid:Q1015799|name:DEAR BOYS ACT 3	
saki	merge_all	AUTHOR_SPLIT	3	咲 || 咲 || 咲		Wikipedia/全巻com: 小林立『咲-Saki-』本編(31巻系)。3page全て無印「咲」・同kana・著者欄空。2021新シリーズ(咲とFFXIV/re:KING'S TILE DRAW/怜-Toki-)は全て別題→本群の無印咲は本編の分裂。	版違い疑い	qid:Q10959156|name:咲	
chocolat-no-mahou-memorial-collection	different_works	MIXED	2	ショコラの魔法 ティアーズコレクション || ショコラの魔法 パーフェクトコレクション		Amazon/小学館/楽天: みづほ梨乃『ショコラの魔法』の傑作選コレクション。ティアーズコレクション(2018)とパーフェクトコレクション(2016)は別収録内容の独立した別ベスト集→merge不可、副題で区別(本来は傑作選=掲載scope外drop候補)。	同社別作	qid:Q11279038|name:ショコラの魔法 ティアーズコレクション	
chocolat-no-mahou-perfect-collection	different_works	MIXED	2	ショコラの魔法 ティアーズコレクション || ショコラの魔法 パーフェクトコレクション		Amazon/小学館/楽天: みづほ梨乃『ショコラの魔法』の傑作選コレクション。ティアーズコレクション(2018)とパーフェクトコレクション(2016)は別収録内容の独立した別ベスト集→merge不可、副題で区別(本来は傑作選=掲載scope外drop候補)。	同社別作	qid:Q11279038|name:ショコラの魔法 パーフェクトコレクション	
gekiga-kachikujin-yapuu	merge_all	AUTHOR_SPLIT	4	劇画 家畜人ヤプー || 劇画家畜人ヤプー || 劇画家畜人ヤプー || 劇画家畜人ヤプー 正編「宇宙帝国への招待」続編「悪夢の日本史」【2巻セット】		Wikipedia/cmoa/Amazon: 石ノ森章太郎(2巻以降シュガー佐藤)・沼正三『劇画家畜人ヤプー』。4page全て劇画版の各版(1971都市出版社初版/辰巳1993/2010復刻/2巻セット)。江川達也版は別題でここに無し→同一劇画版を統合。	版違い疑い	qid:Q11307981|name:劇画家畜人ヤプー	
how-to-discipline-shishunki-chan	partial	MIXED	2	How to discipline shishunki chan || 思春期ちゃんのしつけかた	How to discipline shishunki chan	Wikipedia/Amazon: 中田ゆみ『思春期ちゃんのしつけかた』(REX,全23巻)が日本語本編。'How to discipline shishunki chan'は同作の英語版書誌=外国語版で掲載scope外。本編に英語版を混ぜず別扱い。	same_pub	qid:Q11366646|name:How to discipline shishunki chan	SPLIT_SUBSET
shishunki-chan-no-shitsukekata	partial	MIXED	2	How to discipline shishunki chan || 思春期ちゃんのしつけかた	How to discipline shishunki chan	Wikipedia/Amazon: 中田ゆみ『思春期ちゃんのしつけかた』(REX,全23巻)が日本語本編。'How to discipline shishunki chan'は同作の英語版書誌=外国語版で掲載scope外。本編に英語版を混ぜず別扱い。	same_pub	qid:Q11366646|name:思春期ちゃんのしつけかた	SPLIT_SUBSET
capcom-selection-maleficarum	merge_all	MIXED	2	カプコン・セレクションマレフィカールム || マレフィカールムOps Villa		NDL/HMV/Darkstalkopedia: 伊藤真美の同一作。カプコン・セレクション マレフィカールム(新声社1997)を2015年にワニブックスがマレフィカールムOps Villaとして公式再録(原素材+短編2本追加)。同一作の改題再版。	版違い疑い	qid:Q11380324|name:カプコン・セレクションマレフィカールム	
azumania	subseries	MIXED	2	アズマニア || ネオ・アズマニア		Amazon/早川: 吾妻ひでお短編集『アズマニア』(1996)と続編集『ネオ・アズマニア』(2006)。ネオ=アズマニアの続編コレクション(別題・別収録)で同一フランチャイズの別ページ→副題で区別。	same_pub	qid:Q1138133|name:アズマニアqid:Q1138133|name:ネオ・アズマニア	
akanbo-shoujo	merge_all	MIXED	2	赤んぼう少女 || 赤んぼ少女		赤んぼ少女=楳図かずお作(小学館/角川/Wikipedia)。赤んぼう少女は同一作の表記揺れ(送り仮名「う」有無)。映画化・PERFECTION再録も同一。	版違い疑い	qid:Q1141948|name:赤んぼ少女	
angel-dust-neo	subseries	MIXED	2	ANGEL/DUST neo || エンジェル/ダスト		七瀬葵作。ANGEL/DUST neo(2003)はエンジェル/ダスト(2001)の続編(Wikipedia/KADOKAWA)。同一フランチャイズの別ページ→neoで区別。	same_pub	qid:Q1142135|name:ANGEL/DUST neoqid:Q1142135|name:エンジェル/ダスト	
angelic-kanbaseeshon	different_works	MIXED	2	Are you enemy? || エンジェリック・カンバセーション		両作とも宮本佳野作だが別作品。Are you enemy?(新書館,2001)とエンジェリック・カンバセーション(宙出版WALKERS,2008)は別タイトル・別レーベル(楽天/cmoa/Wikipedia)。同一作者の別作→接尾辞で区別。	ISBN確認	qid:Q11454794|name:エンジェリック・カンバセーション	SPLIT_SUBSET
are-you-enemy	different_works	MIXED	2	Are you enemy? || エンジェリック・カンバセーション		両作とも宮本佳野作だが別作品。Are you enemy?(新書館,2001)とエンジェリック・カンバセーション(宙出版WALKERS,2008)は別タイトル・別レーベル(楽天/cmoa/Wikipedia)。同一作者の別作→接尾辞で区別。	ISBN確認	qid:Q11454794|name:Are you enemy?	SPLIT_SUBSET
tales-of-etaania-premium-stories	different_works	MIXED	2	Tales of Eternia || テイルズオブエターニア プレミアムストーリーズ		テイルズオブエターニア プレミアムストーリーズ(全6巻アンソロジー)は本体アンソロジーとは別の独立した商品(bookoff/mangazenkan)。同フランチャイズだが別出版物→副題で区別。	同社別作	qid:Q11462329|name:テイルズオブエターニア プレミアムストーリーズ	SPLIT_SUBSET
tales-of-eternia	different_works	MIXED	2	Tales of Eternia || テイルズオブエターニア プレミアムストーリーズ		テイルズオブエターニア プレミアムストーリーズ(全6巻アンソロジー)は本体アンソロジーとは別の独立した商品(bookoff/mangazenkan)。同フランチャイズだが別出版物→副題で区別。	同社別作	qid:Q11462329|name:Tales of Eternia	SPLIT_SUBSET
dessin	different_works	MIXED	2	dessin || NICO SAYS		dessinとNICO SAYSは共に小野塚カホリの別々の短編集(bookwalker/mechacomic)。同一作者の別タイトル作品→接尾辞で区別。	同社別作	qid:Q11463964|name:dessin	SPLIT_SUBSET
nico-says	different_works	MIXED	2	dessin || NICO SAYS		dessinとNICO SAYSは共に小野塚カホリの別々の短編集(bookwalker/mechacomic)。同一作者の別タイトル作品→接尾辞で区別。	同社別作	qid:Q11463964|name:NICO SAYS	SPLIT_SUBSET
feauei-no-samurai	merge_all	MIXED	2	フェアウェイの侍 || フェアウエイの侍		いけうち誠一のゴルフ漫画フェアウェイの侍(1997開始)。フェアウエイ(大書きエ)はフェアウェイ(小書きェ)の仮名表記揺れ、同一作・同年。	ISBN確認	qid:Q11551638|name:フェアウェイの侍	
doll-hime-wa-koi-o-uranau	merge_all	MIXED	2	人魚姫は恋を占う || 人形姫は恋を占う		舵英里作 人形姫は恋を占う(冬水社,全3巻,2023/booklive/cmoa/mangazenkan)。人魚姫(ニンギョヒメ)は人形姫(ニンギョウヒメ)の漢字誤記(形→魚)変種、同タイトル同年で同一作。	ISBN確認	qid:Q11613965|name:人形姫は恋を占う	
s	different_works	MIXED	4	S+ || S+エスプラス || エス || S<エス>		slug『s/エス』に複数無関係作が衝突。S+(エスプラス)=葉月めぐみ作(2pageは同一作の表記違いで内部merge)、S〈エス〉=水城せとな作3巻2003、エス1999=別作。複数の同名異作→各作者姓で接尾辞区別。	ISBN確認	qid:Q11620798|name:S+qid:Q17361555|name:エスqid:Q463309|name:S<エス>	SPLIT_SUBSET
s-plus	different_works	MIXED	4	S+ || S+エスプラス || エス || S<エス>		slug『s/エス』に複数無関係作が衝突。S+(エスプラス)=葉月めぐみ作(2pageは同一作の表記違いで内部merge)、S〈エス〉=水城せとな作3巻2003、エス1999=別作。複数の同名異作→各作者姓で接尾辞区別。	ISBN確認	qid:Q11620798|name:S+エスプラス	SPLIT_SUBSET
horizon-blue	merge_all	MIXED	2	Horizon blue || ホライズンブルー		近藤ようこ作『HORIZON BLUE／ホライズンブルー』(月刊ガロ1988-90/公式サイト/Amazon)。ホライゾン(ゾ)はホライズン(ズ)の読み揺れ、英題併記の同一単行本。	版違い疑い	qid:Q11638679|name:Horizon blue	
samurai-nanbaa-11	merge_all	MIXED	2	サムライナンバー11 || サムラナンバー11		野田宏作 サムライナンバー11(小学館サンデー,2009-10/Amazon/小学館)。サムラナンバー11はサムライの脱字(イ欠落)誤記、同一作。	ISBN確認	qid:Q11645965|name:サムライナンバー11	
tokyo-camouflage-hour	merge_all	MIXED	2	トーキョーカモフラージュアワー || ニュートーキョーカモフラージュアワー		松本千秋作トーキョーカモフラージュアワー。紙単行本は3巻以降ニュートーキョーカモフラージュアワー名で刊行された同一連続作(Wikipedia/少年画報社)。題変更のみの同一作。	ISBN確認	qid:Q138577189|name:ニュートーキョーカモフラージュアワー	
atrail	merge_all	MIXED	2	?TRAIL || ATRAIL		谷口悟朗/樋口彰彦作 ĀTRAIL‐ニセカヰ的日常と殲滅エレメント‐(角川/Amazon/cmoa)。?TRAILは表記ĀTRAILの長音記号Āが?化した変種、ATRAIL(アートレイル)と同一作。	ISBN確認	qid:Q17224076|name:ATRAIL	REKEYED
one-piece	partial	MIXED	7	ONE PIECE COLOR WALK || ONE PIECE RED || ONE PIECE THE 11TH LOG “WATER SEVEN || ONE PIECE THE 12TH LOG “ROCKET MAN || ONE PIECE THE 13TH LOG “NICO ROBIN || ONE PIECE THE 14TH LOG “FRANKY || ワンピース	ONE PIECE COLOR WALK|ONE PIECE RED|ONE PIECE THE 11TH LOG “WATER SEVEN|ONE PIECE THE 12TH LOG “ROCKET MAN|ONE PIECE THE 13TH LOG “NICO ROBIN|ONE PIECE THE 14TH LOG “FRANKY	尾田栄一郎 ONE PIECE群に衛星本が混在。COLOR WALK=イラスト集(画集,Amazon「ONEPIECEイラスト集」)、RED GRAND CHARACTERS=キャラクター名鑑/ガイドブック(集英社,2002)、THE 11TH-14TH LOG=総集編(再編集本,CLAUDE.md drop対象)。本編は「ワンピース」(2021,2巻)のみ。衛星本を本編ページに混ぜない。	same_pub	qid:Q2010|name:ワンピース	SPLIT_SUBSET
one-piece-color-walk	partial	MIXED	7	ONE PIECE COLOR WALK || ONE PIECE RED || ONE PIECE THE 11TH LOG “WATER SEVEN || ONE PIECE THE 12TH LOG “ROCKET MAN || ONE PIECE THE 13TH LOG “NICO ROBIN || ONE PIECE THE 14TH LOG “FRANKY || ワンピース	ONE PIECE COLOR WALK|ONE PIECE RED|ONE PIECE THE 11TH LOG “WATER SEVEN|ONE PIECE THE 12TH LOG “ROCKET MAN|ONE PIECE THE 13TH LOG “NICO ROBIN|ONE PIECE THE 14TH LOG “FRANKY	尾田栄一郎 ONE PIECE群に衛星本が混在。COLOR WALK=イラスト集(画集,Amazon「ONEPIECEイラスト集」)、RED GRAND CHARACTERS=キャラクター名鑑/ガイドブック(集英社,2002)、THE 11TH-14TH LOG=総集編(再編集本,CLAUDE.md drop対象)。本編は「ワンピース」(2021,2巻)のみ。衛星本を本編ページに混ぜない。	same_pub	qid:Q2010|name:ONE PIECE COLOR WALK	SPLIT_SUBSET
one-piece-red	partial	MIXED	7	ONE PIECE COLOR WALK || ONE PIECE RED || ONE PIECE THE 11TH LOG “WATER SEVEN || ONE PIECE THE 12TH LOG “ROCKET MAN || ONE PIECE THE 13TH LOG “NICO ROBIN || ONE PIECE THE 14TH LOG “FRANKY || ワンピース	ONE PIECE COLOR WALK|ONE PIECE RED|ONE PIECE THE 11TH LOG “WATER SEVEN|ONE PIECE THE 12TH LOG “ROCKET MAN|ONE PIECE THE 13TH LOG “NICO ROBIN|ONE PIECE THE 14TH LOG “FRANKY	尾田栄一郎 ONE PIECE群に衛星本が混在。COLOR WALK=イラスト集(画集,Amazon「ONEPIECEイラスト集」)、RED GRAND CHARACTERS=キャラクター名鑑/ガイドブック(集英社,2002)、THE 11TH-14TH LOG=総集編(再編集本,CLAUDE.md drop対象)。本編は「ワンピース」(2021,2巻)のみ。衛星本を本編ページに混ぜない。	same_pub	qid:Q2010|name:ONE PIECE RED	SPLIT_SUBSET
one-piece-the-11th-log-water-seven	partial	MIXED	7	ONE PIECE COLOR WALK || ONE PIECE RED || ONE PIECE THE 11TH LOG “WATER SEVEN || ONE PIECE THE 12TH LOG “ROCKET MAN || ONE PIECE THE 13TH LOG “NICO ROBIN || ONE PIECE THE 14TH LOG “FRANKY || ワンピース	ONE PIECE COLOR WALK|ONE PIECE RED|ONE PIECE THE 11TH LOG “WATER SEVEN|ONE PIECE THE 12TH LOG “ROCKET MAN|ONE PIECE THE 13TH LOG “NICO ROBIN|ONE PIECE THE 14TH LOG “FRANKY	尾田栄一郎 ONE PIECE群に衛星本が混在。COLOR WALK=イラスト集(画集,Amazon「ONEPIECEイラスト集」)、RED GRAND CHARACTERS=キャラクター名鑑/ガイドブック(集英社,2002)、THE 11TH-14TH LOG=総集編(再編集本,CLAUDE.md drop対象)。本編は「ワンピース」(2021,2巻)のみ。衛星本を本編ページに混ぜない。	same_pub	qid:Q2010|name:ONE PIECE THE 11TH LOG “WATER SEVEN	SPLIT_SUBSET
one-piece-the-12th-log-rocket-man	partial	MIXED	7	ONE PIECE COLOR WALK || ONE PIECE RED || ONE PIECE THE 11TH LOG “WATER SEVEN || ONE PIECE THE 12TH LOG “ROCKET MAN || ONE PIECE THE 13TH LOG “NICO ROBIN || ONE PIECE THE 14TH LOG “FRANKY || ワンピース	ONE PIECE COLOR WALK|ONE PIECE RED|ONE PIECE THE 11TH LOG “WATER SEVEN|ONE PIECE THE 12TH LOG “ROCKET MAN|ONE PIECE THE 13TH LOG “NICO ROBIN|ONE PIECE THE 14TH LOG “FRANKY	尾田栄一郎 ONE PIECE群に衛星本が混在。COLOR WALK=イラスト集(画集,Amazon「ONEPIECEイラスト集」)、RED GRAND CHARACTERS=キャラクター名鑑/ガイドブック(集英社,2002)、THE 11TH-14TH LOG=総集編(再編集本,CLAUDE.md drop対象)。本編は「ワンピース」(2021,2巻)のみ。衛星本を本編ページに混ぜない。	same_pub	qid:Q2010|name:ONE PIECE THE 12TH LOG “ROCKET MAN	SPLIT_SUBSET
one-piece-the-13th-log-nico-robin	partial	MIXED	7	ONE PIECE COLOR WALK || ONE PIECE RED || ONE PIECE THE 11TH LOG “WATER SEVEN || ONE PIECE THE 12TH LOG “ROCKET MAN || ONE PIECE THE 13TH LOG “NICO ROBIN || ONE PIECE THE 14TH LOG “FRANKY || ワンピース	ONE PIECE COLOR WALK|ONE PIECE RED|ONE PIECE THE 11TH LOG “WATER SEVEN|ONE PIECE THE 12TH LOG “ROCKET MAN|ONE PIECE THE 13TH LOG “NICO ROBIN|ONE PIECE THE 14TH LOG “FRANKY	尾田栄一郎 ONE PIECE群に衛星本が混在。COLOR WALK=イラスト集(画集,Amazon「ONEPIECEイラスト集」)、RED GRAND CHARACTERS=キャラクター名鑑/ガイドブック(集英社,2002)、THE 11TH-14TH LOG=総集編(再編集本,CLAUDE.md drop対象)。本編は「ワンピース」(2021,2巻)のみ。衛星本を本編ページに混ぜない。	same_pub	qid:Q2010|name:ONE PIECE THE 13TH LOG “NICO ROBIN	SPLIT_SUBSET
one-piece-the-14th-log-franky	partial	MIXED	7	ONE PIECE COLOR WALK || ONE PIECE RED || ONE PIECE THE 11TH LOG “WATER SEVEN || ONE PIECE THE 12TH LOG “ROCKET MAN || ONE PIECE THE 13TH LOG “NICO ROBIN || ONE PIECE THE 14TH LOG “FRANKY || ワンピース	ONE PIECE COLOR WALK|ONE PIECE RED|ONE PIECE THE 11TH LOG “WATER SEVEN|ONE PIECE THE 12TH LOG “ROCKET MAN|ONE PIECE THE 13TH LOG “NICO ROBIN|ONE PIECE THE 14TH LOG “FRANKY	尾田栄一郎 ONE PIECE群に衛星本が混在。COLOR WALK=イラスト集(画集,Amazon「ONEPIECEイラスト集」)、RED GRAND CHARACTERS=キャラクター名鑑/ガイドブック(集英社,2002)、THE 11TH-14TH LOG=総集編(再編集本,CLAUDE.md drop対象)。本編は「ワンピース」(2021,2巻)のみ。衛星本を本編ページに混ぜない。	same_pub	qid:Q2010|name:ONE PIECE THE 14TH LOG “FRANKY	SPLIT_SUBSET
crows-gaiden	merge_all	MIXED	2	Crows外伝 || クローズ外伝		Crows外伝(2007)とクローズ外伝(1995)は高橋ヒロシの同一作品『クローズ外伝』のラテン⇄かな表記違い。秋田書店CROWS外伝完全版は同作の再編版(akitashoten.co.jp)。同一シリーズ。	ISBN確認	qid:Q2279877|name:クローズ外伝qid:Q2279877|name:続・クローズ外伝	
bara-no-kabin	different_works	MIXED	2	ゴールデンライラック || ばらの花びん		両者とも萩尾望都だが別作品。ゴールデンライラック=単独5巻シリーズ(小学館,長編)、ばらの花びん=萩尾望都作品集第II期第5巻の短編集(表題作ばらの花びん+マリーン等,hagiomoto.net)。同著者だが別作=接尾辞で区別。merge禁止。	同社別作	qid:Q265061|name:ばらの花びん	SPLIT_SUBSET
golden-lilac	different_works	MIXED	2	ゴールデンライラック || ばらの花びん		両者とも萩尾望都だが別作品。ゴールデンライラック=単独5巻シリーズ(小学館,長編)、ばらの花びん=萩尾望都作品集第II期第5巻の短編集(表題作ばらの花びん+マリーン等,hagiomoto.net)。同著者だが別作=接尾辞で区別。merge禁止。	同社別作	qid:Q265061|name:ゴールデンライラック	SPLIT_SUBSET
goburinzu-rai	subseries	MIXED	3	ゴブリンズ・ライ || サタニックブランチ || ランプシェード		ゴブリンズ・ライ/サタニックブランチ/ランプシェードはいずれも坂田靖子『変人探偵エム』シリーズの個別作。サタニックブランチ=第1作、ランプシェード=第3作(まんが王国/Amazon)。同フランチャイズの別タイトル巻=副題で区別。	same_pub	qid:Q3076805|name:ゴブリンズ・ライ	SPLIT_SUBSET
ranpushieedo	subseries	MIXED	3	ゴブリンズ・ライ || サタニックブランチ || ランプシェード		ゴブリンズ・ライ/サタニックブランチ/ランプシェードはいずれも坂田靖子『変人探偵エム』シリーズの個別作。サタニックブランチ=第1作、ランプシェード=第3作(まんが王国/Amazon)。同フランチャイズの別タイトル巻=副題で区別。	same_pub	qid:Q3076805|name:ランプシェード	SPLIT_SUBSET
satanikku-buranchi	subseries	MIXED	3	ゴブリンズ・ライ || サタニックブランチ || ランプシェード		ゴブリンズ・ライ/サタニックブランチ/ランプシェードはいずれも坂田靖子『変人探偵エム』シリーズの個別作。サタニックブランチ=第1作、ランプシェード=第3作(まんが王国/Amazon)。同フランチャイズの別タイトル巻=副題で区別。	same_pub	qid:Q3076805|name:サタニックブランチ	SPLIT_SUBSET
arms	merge_all	MIXED	2	Arms || PROJECT ARMS		ARMS=PROJECT ARMSは皆川亮二/七月鏡一の同一作。日本ではARMS、アニメ/国際版がPROJECT ARMS(en.wikipedia Project ARMS, 少年サンデー連載)。タスク指定の標準merge例。	ISBN確認	qid:Q3201016|name:ARMS	
apuroozukassai	subseries	MIXED	2	アプローズ || ブルージュ		両者とも有吉京子。アプローズ-喝采-=14巻本編(秋田書店,SWAN続編世界)。ブルージュ=『ブルージュ ーアプローズー』別冊プリンセス1991掲載の関連短編(ja.wikipedia有吉京子)。同アプローズ・フランチャイズの別作=副題で区別、本編とは別ページ。	diff_pub	qid:Q3201020|name:アプローズ	SPLIT_SUBSET
buruuju	subseries	MIXED	2	アプローズ || ブルージュ		両者とも有吉京子。アプローズ-喝采-=14巻本編(秋田書店,SWAN続編世界)。ブルージュ=『ブルージュ ーアプローズー』別冊プリンセス1991掲載の関連短編(ja.wikipedia有吉京子)。同アプローズ・フランチャイズの別作=副題で区別、本編とは別ページ。	diff_pub	qid:Q3201020|name:ブルージュ	SPLIT_SUBSET
ginga-densetsu-weed	merge_all	MIXED	2	銀牙伝説Weed || 銀牙伝説ウィード		銀牙伝説WEED(2000,59巻)と銀牙伝説ウィード(2006,31巻)は高橋よしひろの同一作のWEED⇄ウィード表記違い。ja.wikipedia「どちらも同じ作品を指す」。日本文芸社/ニチブンコミックス再版。	版違い疑い	qid:Q4348970|name:銀牙伝説Weed	
ginga-densetsu-weed-gaiden	merge_all	MIXED	2	銀牙伝説Weed外伝 || 銀牙伝説ウィード外伝		銀牙伝説Weed外伝と銀牙伝説ウィード外伝は高橋よしひろ同一の外伝短編集のWEED⇄ウィード表記違い(bookwalker/日本文芸社)。同作の表記揺れ。	ISBN確認	qid:Q4348970|name:銀牙伝説Weed外伝	
arabesque	subseries	MIXED	2	アラベスク第1部 || アラベスク第2部		アラベスク第1部(1971-73,りぼん,集英社)とアラベスク第2部(1974-75,花とゆめ,白泉社)は山岸凉子の連続する別部。掲載誌/出版社も異なる(ja.wikipedia アラベスク)。タスク指定のsubseries例。部で区別。	same_pub	qid:Q445827|name:アラベスクqid:Q445827|name:アラベスク第1部	
arabesuku	subseries	MIXED	2	アラベスク第1部 || アラベスク第2部		アラベスク第1部(1971-73,りぼん,集英社)とアラベスク第2部(1974-75,花とゆめ,白泉社)は山岸凉子の連続する別部。掲載誌/出版社も異なる(ja.wikipedia アラベスク)。タスク指定のsubseries例。部で区別。	same_pub	qid:Q445827|name:アラベスク第2部	
present-from-lemon	merge_all	MIXED	2	PRESENT FROM LEMON || プレゼント・フロム LEMON		PRESENT FROM LEMONとプレゼント・フロム LEMONは桂正和の同一作のラテン⇄カタカナ表記違い(ja.wikipedia,週刊少年ジャンプ1987)。SIDE-A/B再編版と旧ジャンプコミックス版。	ISBN確認	qid:Q452246|name:プレゼント・フロムLemon	
fancy-dance	merge_all	MIXED	2	ファンシィダンス || ファンシイダンス		ファンシィダンスとファンシイダンスは岡野玲子の同一作で、イ⇄ィ(小書き)の表記違い。連載/単行本がファンシイ、小学館文庫版がファンシィ(ja.wikipedia/コミックナタリー)。	ISBN確認	qid:Q463053|name:ファンシイダンス	
lawman	merge_all	MIXED	2	LAWMAN || ロウマンs		LAWMAN(1995,白泉社ジェッツ)とロウマンs/LAWMANs(2005)は伊藤明弘の同一作。LAWMANsは続編でなくLAWMANの改訂・増補版(短編追加)で別収録の再編版(ja.wikipedia LAWMAN)。同作の版違い。	ISBN確認	qid:Q4700930|name:LAWMAN	
misutaa-ajikko-2	merge_all	MIXED	2	ミスター味っ子〔Ⅱ〕 || ミスター味っ子2		寺沢大介『ミスター味っ子II』(ja.wikipedia ミスター味っ子II)。「ミスター味っ子〔Ⅱ〕」と「ミスター味っ子2」はⅡ⇄2の表記違いで同一続編作品。	ISBN確認	qid:Q618883|name:ミスター味っ子Ⅱ	
ramia	merge_all	MIXED	4	コンフュージョン || ダーク・マーメイド || ラスト・クリエイター || ラミア		矢野健太郎『邪神伝説シリーズ』(bookwalker series/46330)。ラミア=1巻/ダーク・マーメイド=2巻/ラスト・クリエイター=3巻/コンフュージョン=4巻、各副題は同一シリーズの巻。	ISBN確認	qid:Q6392014|name:ラミア	REKEYED
happy-mari-chan	merge_all	MIXED	2	Happyまりちゃん || ハッピーまりちゃん		上原きみ子『ハッピーまりちゃん』=講談社漫画文庫版が『Happyまりちゃん』(kc.kodansha 製品/Amazon 4063603849)。表記違いで同一作品。	版違い疑い	qid:Q6410135|name:ハッピーまりちゃん	
wangan-midnight-c1-runner	merge_all	MIXED	2	湾岸MIDNIGHT C1ランナー || 湾岸ミッドナイト C1ランナー		楠みちはる『湾岸ミッドナイト C1ランナー』(ja.wikipedia 湾岸ミッドナイト)。MIDNIGHT⇄ミッドナイトのラテン⇄かな表記違いで同一作品。	ISBN確認	qid:Q6837861|name:湾岸ミッドナイトC1ランナー	
