idx	title	seg	cur_slug	new_slug	conf	changed	flag	note
92	ホステスno.1	ホステス ナンバー ワン	hosutesu-nanbaa-wan	hosutesu-no-1	OK	CHANGED		OK: ホステス=hosutesu,no.1(latin)→no-1(.→hyphen)
93	真・女神転生4 DEMONIC GENE	シン メガミ テンセイ フォー デモニック ジーン	shin-megami-tensei-fo-demonikku-jiin	shin-megami-tensei-4-demonic-gene	OK	CHANGED		OK: 真・女神転生=shin-megami-tensei,4 num keep,DEMONIC GENE(latin)→demonic-gene
94	真・女神転生4-Prayers-	シン メガミ テンセイ フォー プレイヤーズ	shin-megami-tensei-fo-pureiyaazu	shin-megami-tensei-4-prayers	OK	CHANGED		OK: 真・女神転生4=...-4,-Prayers-(latin)→prayers(両端記号除去)
95	奇少物件100LDK	キショウ ブッケン ヒャクエルディーケー	kisho-bukken-hyakuerudiikee	kisho-bukken-100ldk	OK	CHANGED		OK: 奇少物件=kisho-bukken,100LDK(latin run)字面→100ldk
96	コープスパーティーcemetery 0	コープス パーティー cemetery 0	kopusu-paateii-cemetery-0	kopusu-paateii-cemetery-0	OK			OK: コープスパーティー=kopusu-paateii,cemetery 0(latin)→cemetery-0
97	コルトM1851残月	コルト エム センハッピャクゴジュウイチ ザンゲツ	koruto-emu-senhappyakugojuichi-zangetsu	koruto-m1851-zangetsu	OK	CHANGED		OK: コルト=koruto,M1851(latin)字面,残月=zangetsu
98	ラブライブ!スーパースター!!Comic Book2人の時間!～Special times～	ラブ ライブ スーパー スター コミック ブック フタリ ノ ジカン スペシャル タイムズ	rabu-raibu-supaa-sutaa-komikku-bukku-futari-no-jikan-supesharu-taimuzu	rabu-raibu-supaa-sutaa-comic-book-2-nin-no-jikan-special-times	OK	CHANGED		OK: ラブライブ=rabu-raibu,スーパースター=supaa-sutaa,Comic Book latin,2人の時間=2-nin-no-jikan,Special times latin
99	AKB49 恋愛禁止条例	エーケービー フォーティナイン レンアイ キンシ ジョウレイ	eekeebii-foteinain-renai-kinshi-jorei	akb49-renai-kinshi-jorei	OK	CHANGED		OK: AKB49(latin)字面,恋愛禁止条例=renai-kinshi-jorei
100	コミックアンジェリークspecial 2カーニバル	コミック アンジェリーク special 2 カーニバル	komikku-anjieriiku-special-2-kaanibaru	komikku-anjieriiku-special-2-kaanibaru	OK			OK: コミックアンジェリーク=komikku-anjieriiku,special 2 latin,カーニバル=kaanibaru
101	-50kgのシンデレラ	マイナス ゴジッキログラム ノ シンデレラ	mainasu-gojikkiroguramu-no-shinderera	50kg-no-shinderera	OK	CHANGED		OK: -50kg(latin)→50kg(先頭マイナス記号除去),の=no,シンデレラ=shinderera
102	2年B組オネェ先生	2ネン Bグミ オネェ センセイ	2nen-bgumi-onee-sensei	2-nen-b-gumi-onee-sensei	OK	CHANGED		OK: 2年=2-nen,B組=b-gumi(B latin+組jp),オネェ先生=onee-sensei
103	鉄鍋のジャン!!2nd	テツナベ ノ ジャン セカンド	tetsunabe-no-jan-sekando	tetsunabe-no-jan-2nd	OK	CHANGED		OK: 鉄鍋のジャン=tetsunabe-no-jan,2nd(latin)字面
104	3D甲子園プラコン大作	スリーディー コウシエン プラコン タイサク	suriidii-koshien-purakon-taisaku	3d-koshien-purakon-taisaku	OK	CHANGED		OK: 3D(latin)字面,甲子園=koshien(長音落),プラコン=purakon,大作=taisaku
105	ゲート0-zero-	ゲート ゼロ	geeto-zero	geeto-0-zero	OK	CHANGED		OK: ゲート=geeto,0 num keep,-zero-(latin)→zero(両端記号除去)
106	恋する2DK、あやかし前妻憑き。	コイスル ニ ディーケー アヤカシ ゼンサイツキ	koisuru-ni-diikee-ayakashi-zensaitsuki	koisuru-2dk-ayakashi-zensai-tsuki	OK	CHANGED		OK: 恋する=koisuru,2DK(latin)字面,あやかし前妻憑き=ayakashi-zensai-tsuki(読点・句点除去)
107	プラス20cmの距離	プラス 20cm ノ キョリ	purasu-20cm-no-kyori	purasu-20cm-no-kyori	OK			OK: プラス=purasu,20cm(latin)字面,の距離=no-kyori
108	すみっこプリマU-15	スミッコ プリマ U-15	sumikko-purima-u15	sumikko-purima-u-15	OK	CHANGED		OK: すみっこプリマ=sumikko-purima,U-15(latin)字面→u-15
109	ぴゅあ0.01mm	ピュア レイ テン ゼロイチ ミリ	pyua-rei-ten-zeroichi-miri	pyua-0-01mm	OK	CHANGED		OK: ぴゅあ=pyua,0.01mm(latin)→0-01mm(.→hyphen)
110	2LDKイケメン付き物件あります。	2LDK イケメン ツキ ブッケン アリマス 。	2ldk-ikemen-tsuki-bukken-arimasu	2ldk-ikemen-tsuki-bukken-arimasu	OK			OK: 2LDK(latin run)字面,イケメン付き物件あります=ikemen-tsuki-bukken-arimasu(句点除去)
111	Lv2からチートだった元勇者候補のまったり異世界ライフ	レベル ツー カラ チート ダッタ モト ユウシャ コウホ ノ マッタリ イセカイ ライフ	reberu-tsu-kara-chiito-datta-moto-yusha-koho-no-mattari-isekai-raifu	lv2-kara-chiito-datta-moto-yusha-koho-no-mattari-isekai-raifu	OK	CHANGED		OK: Lv2(latin)字面,以降ヘボン kara-chiito-datta-moto-yusha-koho-no-mattari-isekai-raifu(長音落)
112	Fischer's×ONE PIECE 7つなぎの大秘宝	フィッシャーズ ワン ピース ナナツナギ ノ ダイヒホウ	fisshaazu-wan-piisu-nanatsunagi-no-daihiho	fischer-s-one-piece-7-tsunagi-no-daihiho	OK	CHANGED		OK: Fischer's(latin)→fischer-s,×記号除去,ONE PIECE→one-piece,7つなぎ=7-tsunagi,の大秘宝=no-daihiho(長音落)
113	身長差35cm、野獣系幼なじみとむさぼりルームシェア	シンチョウサ サンジュウゴ センチ ヤジュウケイ オサナナジミ ト ムサボリ ルーム シェア	shinchosa-sanjugo-senchi-yajukei-osananajimi-to-musabori-rumu-shiea	shinchosa-35cm-yajukei-osananajimi-to-musabori-rumu-shea	OK	CHANGED		OK: 身長差=shinchosa,35cm(latin)字面,野獣系幼なじみとむさぼりルームシェア=yajukei-osananajimi-to-musabori-rumu-shea(読点除去)
114	4P田中くん	ヨン ピー タナカクン	yon-pii-tanaka-kun	4p-tanaka-kun	OK	CHANGED		OK: 4P(latin)字面→4p,田中くん=tanaka-kun
115	ポーションは160km/hで投げるモノ!～アイテム係の俺が万能回復薬を投擲することで最強の冒険者に成り上がる!?～@COMIC	ポーション ワ ヒャクロクジッキロ デ ナゲル モノ	poshon-wa-hyakurokujikkiro-de-nageru-mono	poshon-wa-160km-h-de-nageru-mono	OK	CHANGED		OK: 主題のみseg有=ポーションは160km/hで投げるモノ。ポーションは=poshon-wa,160km/h(latin)→160km-h,で投げるモノ=de-nageru-mono。@COMIC/副題はseg無で除外
116	うみねこのなく頃に散episode 5	ウミネコ ノ ナク コロ ニ チル episode 5	umineko-no-naku-koro-ni-chiru-episode-5	umineko-no-naku-koro-ni-chiru-episode-5	OK			OK: うみねこのなく頃に散=umineko-no-naku-koro-ni-chiru(散=chiru per seg),episode 5(latin)→episode-5
117	乃木坂の詩episode 1-きっかけ-	ノギザカ ノ ウタ エピソード ワン キッカケ	nogizaka-no-uta-episodo-wan-kikkake	nogizaka-no-uta-episode-1-kikkake	OK	CHANGED		OK: 乃木坂の詩=nogizaka-no-uta,episode 1(latin字面)→episode-1,きっかけ=kikkake
118	3年B組金八先生 3	サンネン ビーグミ キンパチ センセイ	sannen-biigumi-kinpachi-sensei	3-nen-b-gumi-kinpachi-sensei-3	OK	CHANGED		OK: 3年=3-nen,B組=b-gumi,金八先生=kinpachi-sensei,末尾3 num keep
119	機動戦士ガンダム戦記U.C.0081	キドウ センシ ガンダム センキ ユーシー ゼロゼロハチイチ	kido-senshi-gandamu-senki-yushii-zerozerohachiichi	kido-senshi-gandamu-senki-uc-0081	OK	CHANGED		OK: 機動戦士ガンダム戦記=kido-senshi-gandamu-senki,U.C.0081(latin)→uc-0081
120	うたの☆プリンスさまっ♪ マジLOVE2000％	ウタ ノ プリンスサマッ マジ ラヴ ニセンパーセント	uta-no-purinsusamatsu-maji-ravu-nisenpaasento	uta-no-purinsusama-maji-love2000	OK	CHANGED		OK: うたの=uta-no,☆記号除去,プリンスさまっ=purinsusama(seg プリンスサマッ),♪除去,マジ=maji,LOVE2000(latin run)字面,％除去
121	スライム倒して300年、知らないうちにレベルmaxになってました	スライム タオシテ 300ネン  シラナイ ウチ ニ レベル max ニ ナッテマシタ	suraimu-taoshite-300nen-shiranai-uchi-ni-reberu-max-ni-nattemashita	suraimu-taoshite-300-nen-shiranai-uchi-ni-reberu-max-ni-nattemashita	OK	CHANGED		OK: スライム倒して=suraimu-taoshite,300年=300-nen(num keep),知らないうちにレベル=shiranai-uchi-ni-reberu,max(latin)字面,になってました=ni-nattemashita
122	ICS犀生国際大学A棟302号	アイシーエス サイセイ コクサイ ダイガク エートウ サンマルニ ゴウ	aishiiesu-saisei-kokusai-daigaku-eeto-sanmaruni-go	ics-saisei-kokusai-daigaku-a-to-302-go	OK	CHANGED		OK: ICS(latin)字面,犀生国際大学=saisei-kokusai-daigaku,A棟=a-to(A latin+棟jp トウ→to長音落),302号=302-go
123	殺戮の天使Episode.0	サツリク ノ テンシ エピソード ゼロ	satsuriku-no-tenshi-episodo-zero	satsuriku-no-tenshi-episode-0	OK	CHANGED		OK: 殺戮の天使=satsuriku-no-tenshi,Episode.0(latin)→episode-0(.→hyphen)
124	感じてるのバレバレだよ?後輩クンと28歳こじらせOL	カンジテル ノ バレバレ ダヨ コウハイ クン ト 28サイ コジラセ OL	kanjiteru-no-barebare-dayo-kohai-kun-to-28sai-kojirase-ol	kanjiteru-no-barebare-dayo-kohai-kun-to-28-sai-kojirase-ol	OK	CHANGED		OK: 感じてるのバレバレだよ=kanjiteru-no-barebare-dayo(?除去),後輩クンと=kohai-kun-to,28歳=28-sai,こじらせ=kojirase,OL(latin)字面
125	ROAD59-新時代任侠特区-少女と血のサカズキ	ロード フィフティナイン シンジダイ ニンキョウ トック ショウジョ ト チ ノ サカズキ	rodo-fifuteinain-shinjidai-ninkyo-tokku-shojo-to-chi-no-sakazuki	road59-shinjidai-ninkyo-tokku-shojo-to-chi-no-sakazuki	OK	CHANGED		OK: ROAD59(latin run)字面,新時代任侠特区=shinjidai-ninkyo-tokku(長音落),少女と血のサカズキ=shojo-to-chi-no-sakazuki
126	K-1ダイナマイト	ケーワン ダイナマイト	keewan-dainamaito	k-1-dynamite	OK	CHANGED		OK: latin K-1→k-1; ダイナマイト音写=dynamite(英)
127	No.1リンナ	ナンバー ワン リンナ	nanbaa-wan-rinna	no-1-rinna	OK	CHANGED		OK: latin No.1→no-1; リンナ(人名)→rinna
128	魔法科高校の優等生2nd Season	マホウカ コウコウ ノ ユウトウセイ セカンド シーズン	mahoka-koko-no-yutosei-sekando-shiizun	mahoka-koko-no-yutosei-2nd-season	OK	CHANGED		OK: 魔法科高校の優等生ヘボン(長音落); latin 2nd Season→2nd-season
129	バトルアスリーテス大運動会A.D.4999	バトル アスリーテス ダイウンドウカイ AD 4999	batoru-asuriitesu-daiundokai-ad-4999	battle-athletes-daiundokai-ad-4999	OK	CHANGED		OK: バトルアスリーテス音写=battle-athletes; 大運動会ヘボン; A.D.4999→ad-4999
130	機動戦士ガンダム00F	キドウ センシ ガンダム 00F	kido-senshi-gandamu-00f	kido-senshi-gandamu-00f	OK			OK: ガンダム=和製コインでヘボン; latin 00F→00f
131	機動戦士ガンダム00I	キドウ センシ ガンダム 00I	kido-senshi-gandamu-00i	kido-senshi-gandamu-00i	OK			OK: 同上; 00I→00i
132	機動戦士ガンダムSEED C.E.73 Δ ASTRAY	キドウ センシ ガンダム SEED C E 73 デルタ ASTRAY	kido-senshi-gandamu-seed-c-e-73-deruta-astray	kido-senshi-gandamu-seed-c-e-73-delta-astray	OK	CHANGED		OK: SEED/ASTRAY字面; C.E.73→c-e-73; Δ=デルタ→delta
133	聖smiley学園高等部smiley*2G	セイ スマイリー ガクエン コウトウブ スマイリー ツージー	sei-sumairii-gakuen-kotobu-sumairii-tsujii	sei-smiley-gakuen-kotobu-smiley-2g	OK	CHANGED		OK: 聖/学園高等部ヘボン; latin smiley字面; *2G→2g
134	聖smiley学園高等部smiley*2Gアンソロジー	セイ smiley ガクエン コウトウブ smiley 2G アンソロジー	sei-smiley-gakuen-kotobu-smiley-2g-ansorojii	sei-smiley-gakuen-kotobu-smiley-2g-ansorojii	OK			OK: 同上+アンソロジー→ansorojii
135	19XXカゲキ派	センキュウヒャクエックスエックス カゲキハ	senkyuhyakuekkusuekkusu-kagekiha	19xx-kageki-ha	OK	CHANGED		OK: latin 19XX→19xx; カゲキ派(過激派)→kageki-ha
136	機動戦士ガンダムU.C.0094アクロス・ザ・スカイ	キドウ センシ ガンダム ユーシー ゼロゼロキュウヨン アクロス ザ スカイ	kido-senshi-gandamu-yushii-zerozerokyuyon-akurosu-za-sukai	kido-senshi-gandamu-u-c-0094-across-the-sky	OK	CHANGED		OK: U.C.0094→u-c-0094; アクロス・ザ・スカイ音写=across the sky
137	転生エロエルフの中の人は29歳処女OLです。	テンショウ エロエルフ ノ ナカノ ニン ハ 29 トシ ショジョ OL デス	tensho-eroerufu-no-nakano-nin-ha-29-toshi-shojo-ol-desu	tensho-ero-elf-no-naka-no-hito-wa-29-sai-shojo-ol-desu	OK	CHANGED		OK: エロ+エルフ音写=ero-elf; 中の人=naka-no-hito; 29歳/処女/OL/です
138	機動戦士ガンダムF90FF(ファステスト・フォーミュラ)	キドウ センシ ガンダム エフ キュウジュウ ファステスト フォーミュラ	kido-senshi-gandamu-efu-kyuju-fasutesuto-fomyura	kido-senshi-gandamu-f90ff-fastest-formula	OK	CHANGED		OK: F90FF字面; 括弧ファステスト・フォーミュラ音写=fastest-formula
139	戦国BASARA3	センゴク BASARA 3	sengoku-basara-3	sengoku-basara3	OK	CHANGED		OK: 戦国ヘボン; latin BASARA3連続→basara3
140	離婚しない男CASE2	リコン シナイ オトコ ケース ツー	rikon-shinai-otoko-keesu-tsu	rikon-shinai-otoko-case2	OK	CHANGED		OK: 離婚しない男ヘボン; CASE2連続→case2
141	re:teen 繭の中でもう一度10代のキミと会う	リ ティーン マユ ノ ナカ デ モウ イチド ジュウダイ ノ キミ ト アウ	ri-teiin-mayu-no-naka-de-mo-ichido-judai-no-kimi-to-au	re-teen-mayu-no-naka-de-mo-ichido-10-dai-no-kimi-to-au	OK	CHANGED		OK: latin re:teen→re-teen; 繭の中でもう一度…/10代/会う
142	ちびっこ賢者、Lv.1から異世界でがんばります!	チビッコ ケンジャ エルヴイ イチ カラ イセカイ デ ガンバリマス	chibikko-kenja-eruvui-ichi-kara-isekai-de-ganbarimasu	chibikko-kenja-lv-1-kara-isekai-de-ganbarimasu	OK	CHANGED		OK: ちびっこ賢者ヘボン; Lv.1→lv-1; から異世界でがんばります
143	19歳・童貞の僕が飛び込んだのは、AV業界でした。	19サイ ・ ドウテイ ノ ボク ガ トビコンダ ノ ワ 、 AVギョウカイ デシタ 。	19sai-dotei-no-boku-ga-tobikonda-no-wa-avgyokai-deshita	19-sai-dotei-no-boku-ga-tobikonda-no-wa-av-gyokai-deshita	OK	CHANGED		OK: 19/歳/童貞…/AV→av/業界/でした
144	100人の英雄を育てた最強預言者は、冒険者になっても世界中の弟子から慕われてます@comic	ヒャクニン ノ エイユウ オ ソダテタ サイキョウ ヨゲンシャ ワ ボウケンシャ ニ ナッテモ セカイジュウ ノ デシ カラ シタワレテマス アットマーク コミック	hyakunin-no-eiyu-o-sodateta-saikyo-yogensha-wa-bokensha-ni-nattemo-sekaiju-no-deshi-kara-shitawaretemasu-attomaaku-komikku	100-nin-no-eiyu-o-sodateta-saikyo-yogensha-wa-bokensha-ni-nattemo-sekaiju-no-deshi-kara-shitawaretemasu-comic	OK	CHANGED		OK: 100人…ヘボン; @comic→comic
145	不機嫌な名探偵 division-0	フキゲンナ メイタンテイ ディビジョン ゼロ	fukigenna-meitantei-dibijon-zero	fukigenna-meitantei-division-0	OK	CHANGED		OK: 不機嫌な名探偵ヘボン; latin division-0字面
146	スパイキャッチャーJ3	スパイ キャッチャー ジェイ スリー	supai-kyatchaa-jiei-surii	spy-catcher-j3	OK	CHANGED		OK: スパイキャッチャー音写=spy-catcher; J3字面
147	アルドノア・ゼロ2nd season	アルドノア ゼロ セカンド シーズン	arudonoa-zero-sekando-shiizun	aldnoah-zero-2nd-season	LOW	CHANGED		LOW: アルドノア=公式英Aldnoah(要確認)・ゼロ=zero; 2nd season→2nd-season
148	アルドノア・ゼロ2nd Season	アルドノア ゼロ 2nd season	arudonoa-zero-2nd-season	aldnoah-zero-2nd-season	LOW	CHANGED		LOW: 同上(表記揺れ版)
149	パワハラ限界勇者、魔王軍から好待遇でスカウトされる～勇者ランキング1位なのに手取りがゴミ過ぎて生活できません～@comic	パワハラ ゲンカイ ユウシャ マオウグン カラ コウタイグウ デ スカウト サレル	pawahara-genkai-yusha-maogun-kara-kotaigu-de-sukauto-sareru	pawahara-genkai-yusha-maogun-kara-kotaigu-de-sukauto-sareru-yusha-ranking-1-i-nanoni-tedori-ga-gomi-sugite-seikatsu-dekimasen-comic	OK	CHANGED		OK: パワハラ…ヘボン;ランキング音写=ranking;1位keep;@comic→comic
150	20XX年レベルアップ災害	ニジュウエックスエックスネン レベルアップ サイガイ	nijuekkusuekkusunen-reberuappu-saigai	20xx-nen-level-up-saigai	OK	CHANGED		OK: 20XX→20xx; 年; レベルアップ音写=level-up; 災害
151	ラブネスト2nd	ラブネスト セカンド	rabunesuto-sekando	love-nest-2nd	OK	CHANGED		OK: ラブネスト音写=love-nest; latin 2nd
152	21XX年墾田永年私財法	ニジュウイチエックスエックスネン コンデン エイネン シザイホウ	nijuichiekkusuekkusunen-konden-einen-shizaiho	21xx-nen-konden-einen-shizaiho	OK	CHANGED		OK: 21XX→21xx; 年; 墾田永年私財法ヘボン
153	絶対に付き合ってはいけない3B男子	ゼッタイ ニ ツキアッテワ イケナイ サン ビー ダンシ	zettai-ni-tsukiattewa-ikenai-san-bii-danshi	zettai-ni-tsukiattewa-ikenai-3b-danshi	OK	CHANGED		OK: 絶対に付き合ってはいけないヘボン; 3B→3b; 男子
154	公爵様は1/2BOY	コウシャクサマ ワ ハーフ ボーイ	koshaku-sama-wa-haafu-boi	koshaku-sama-wa-1-2boy	OK	CHANGED		OK: 公爵様はヘボン; latin 1/2BOY字面(/→-)→1-2boy
155	遊・戯・王5D's	ユウ ギ オウ ファイブ ディーズ	yu-gi-o-faibu-diizu	yu-gi-o-5ds	OK	CHANGED		OK: 遊戯王ヘボン(長音落); 5D's→5ds(アポストロフィ除去)
156	機動戦士ガンダム MS IGLOO 603	キドウ センシ ガンダム MS Igloo 603	kido-senshi-gandamu-ms-iglo-603	kido-senshi-gandamu-ms-igloo-603	OK	CHANGED		OK: latin MS IGLOO 603字面→ms-igloo-603
157	機動戦士ガンダム00 2nd.season	キドウ センシ ガンダム 00 2nd. season	kido-senshi-gandamu-00-2nd-season	kido-senshi-gandamu-00-2nd-season	OK			OK: 00 2nd.season字面→00-2nd-season
158	機動戦士ガンダム0083 REBELLION	キドウ センシ ガンダム ダブルオーエイティースリー リベリオン	kido-senshi-gandamu-daburuoeiteiisurii-riberion	kido-senshi-gandamu-0083-rebellion	OK	CHANGED		OK: 0083 REBELLION字面→0083-rebellion
159	機動戦士ガンダムF91プリクエル	キドウ センシ ガンダム エフ キュウジュウイチ プリクエル	kido-senshi-gandamu-efu-kyujuichi-purikueru	kido-senshi-gandamu-f91-prequel	OK	CHANGED		OK: F91字面; プリクエル音写=prequel
160	機動戦士ガンダム第08MS小隊U.C.0079+α	キドウ センシ ガンダム ダイ ゼロハチ エムエス ショウタイ ユーシー ゼロゼロナナキュウ プラス アルファ	kido-senshi-gandamu-dai-zerohachi-emuesu-shotai-yushii-zerozeronanakyu-purasu-arufa	kido-senshi-gandamu-dai-08ms-shotai-u-c-0079-alpha	OK	CHANGED		OK: 第→dai; 08MS字面; 小隊; U.C.0079→u-c-0079; +α→alpha
161	Capeta 16歳のF3パイロット編	カペタ	kapeta	capeta-16-sai-no-f3-pilot-hen	OK	CHANGED		OK: latin Capeta字面; 16歳の; F3字面; パイロット音写=pilot; 編
162	風雲三姉妹LIN3	フウウン サン シマイ リン スリー	fuun-san-shimai-rin-surii	fuun-san-shimai-lin3	OK	CHANGED		OK: 風雲三姉妹ヘボン; LIN3連続→lin3
163	Lv2からチートだった元勇者候補のまったり異世界ライフ	エルヴイ ニ カラ チート ダッタ モト ユウシャ コウホ ノ マッタリ イセカイ ライフ	eruvui-ni-kara-chiito-datta-moto-yusha-koho-no-mattari-isekai-raifu	lv2-kara-cheat-datta-moto-yusha-koho-no-mattari-isekai-life	OK	CHANGED		OK: Lv2字面; チート音写=cheat; …ライフ=life
164	ビビッドレッド・オペレーションTHE4コマ びびおぺ	ビビッド レッド オペレーション ザ ヨンコマ ビビオペ	bibiddo-reddo-opereeshon-za-yonkoma-bibiope	vividred-operation-the4-koma-bibiope	LOW	CHANGED		LOW: 公式英Vividred Operation; latin THE4字面→the4; コマ→koma; びびおぺ→bibiope
165	代紋 TAKE 2	ダイモン テイク ツー	daimon-teiku-tsu	daimon-take-2	OK	CHANGED		OK: 代紋ヘボン; latin TAKE 2→take-2
166	代紋 TAKE2	ダイモン テイク ツー	daimon-teiku-tsu	daimon-take2	OK	CHANGED		OK: 代紋ヘボン; latin TAKE2連続→take2
167	代紋take2	ダイモン テイク ツー	daimon-teiku-tsu	daimon-take2	OK	CHANGED		OK: 代紋ヘボン; latin take2連続→take2
168	代紋TAKE2	エンブレム take 2	enburemu-take-2	emblem-take2	OK	CHANGED		OK: 代紋=エンブレム(当て字英語emblem)+TAKE2ラテンrun=take2
169	キングダムハーツ358/2 days	キングダム ハーツ サンビャクゴジュウハチ ニブンノ ニ デイズ	kingudamu-haatsu-sanbyakugojuhachi-nibunno-ni-deizu	kingdom-hearts-358-2-days	OK	CHANGED		OK: 公式英題Kingdom Hearts 358/2 Days; ラテンrun358/2 days字面→358-2-days
170	キングダムハーツ358/2 Days	キングダム ハーツ サンビャクゴジュウハチ ニブンノ ニ デイズ	kingudamu-haatsu-sanbyakugojuhachi-nibunno-ni-deizu	kingdom-hearts-358-2-days	OK	CHANGED		OK: 公式英題Kingdom Hearts 358/2 Days同上
171	ラブライブ!スーパースター!!Liella!Kila[2] Life Comic	ラブライブ スーパースター リエラ キラキラ ライフ コミック	raburaibu-supaasutaa-riera-kirakira-raifu-komikku	love-live-superstar-liella-kila-2-life-comic	OK	CHANGED		OK: 公式Love Live! Superstar!! Liella!; ラテンKila[2] Life Comic字面→kila-2-life-comic
172	機動戦士ガンダム0083 REBELLION	キドウ センシ ガンダム ダブルオー ハチサン リベリオン	kido-senshi-gandamu-daburuo-hachi-san-riberion	kido-senshi-gandamu-0083-rebellion	OK	CHANGED		OK: ガンダム=和製固有名詞gandamu(ヘボン); ラテン0083 REBELLION字面
173	機動戦士ガンダムF91	キドウ センシ ガンダム エフ キュウジュウイチ	kido-senshi-gandamu-efu-kyujuichi	kido-senshi-gandamu-f91	OK	CHANGED		OK: ガンダムgandamu; ラテンF91字面→f91
174	超級!機動武闘伝Gガンダム 最終決戦編 STAGE 4	チョウキュウ キドウ ブトウデン ジー ガンダム サイシュウ ケッセンヘン ステージ フォー	chokyu-kido-butoden-jii-gandamu-saishu-kessenhen-suteeji-fo	chokyu-kido-butoden-g-gandamu-saishu-kessenhen-stage-4	OK	CHANGED		OK: Gガンダム=ラテンG+gandamu; STAGE 4字面
175	超級!機動武闘伝Gガンダム 新宿・東方不敗! STAGE 2	チョウキュウ キドウ ブトウデン ジー ガンダム シンジュク トウホウ フハイ ステージ ツー	chokyu-kido-butoden-jii-gandamu-shinjuku-toho-fuhai-suteeji-tsu	chokyu-kido-butoden-g-gandamu-shinjuku-toho-fuhai-stage-2	OK	CHANGED		OK: 同上; STAGE 2字面; 東方不敗ヘボン
176	超級!機動武闘伝Gガンダム爆熱・ネオホンコン! STAGE 3	チョウキュウ キドウ ブトウデン ジー ガンダム バクネツ ネオ ホンコン ステージ スリー	chokyu-kido-butoden-jii-gandamu-bakunetsu-neo-honkon-suteeji-surii	chokyu-kido-butoden-g-gandamu-bakunetsu-neo-honkon-stage-3	OK	CHANGED		OK: 同上; STAGE 3字面; ネオホンコンヘボン
177	遊☆戯☆王ARC-5最強デュエリスト遊矢!!	ユウギオウ アーク ファイブ サイキョー デュエリスト ユウヤ	yugio-aaku-faibu-saikyo-deyuerisuto-yuya	yugio-arc-v-saikyo-duelist-yuya	LOW	CHANGED		LOW: 公式遊戯王ARC-V(Vはローマ数字5); デュエリスト=duelist英綴り当て字
178	孤狼の血LEVEL2	コロウ ノ チ レベル ツー	koro-no-chi-reberu-tsu	koro-no-chi-level2	OK	CHANGED		OK: 孤狼の血ヘボン; ラテンLEVEL2字面→level2
179	Romancing Sa・Ga 2	ロマンシング サガ ツー	romanshingu-saga-tsu	romancing-saga-2	OK	CHANGED		OK: 公式Romancing SaGa 2全ラテンrun字面→romancing-saga-2
180	1LDKとふたり	ワン エルディーケー ト フタリ	wan-erudiikee-to-futari	1ldk-to-futari	OK	CHANGED		OK: ラテン1LDK字面; とふたりヘボン(と=助詞ハイフン)
181	9番目のムサシ Silent Black	キュウバンメ ノ ムサシ サイレントブラック	kyubanme-no-musashi-sairentoburakku	kyubanme-no-musashi-silent-black	OK	CHANGED		OK: 9番目のムサシ=9keep+ヘボン; ラテンSilent Black字面
182	警視庁特務部特殊凶悪犯対策室第七課トクナナfile.0	ケイシチョウ トクムブ トクシュ キョウアクハン タイサクシツ ダイ ナナカ トクナナ ファイル ゼロ	keishicho-tokumubu-tokushu-kyoakuhan-taisakushitsu-dai-nanaka-tokunana-fairu-zero	keishicho-tokumubu-tokushu-kyoakuhan-taisakushitsu-dai-nanaka-tokunana-file-0	OK	CHANGED		OK: 日本部ヘボン; ラテンfile.0字面→file-0
183	soul 覇第2章	soul ハ ダイ2ショウ	sol-ha-dai2sho	soul-ha-dai-2-sho	OK	CHANGED		OK: ラテンsoul字面; 覇第2章ヘボン(数字keep)
184	列島198X	レットウ イチ キュウ ハチ X	retto-ichi-kyu-hachi-x	retto-198x	OK	CHANGED		OK: 列島ヘボン; ラテン198X字面→198x
185	コードギアス双貌のオズO2	コード ギアス ソウボウ ノ オズ オーツー	kodo-giasu-sobo-no-ozu-otsu	code-geass-sobo-no-ozu-o2	OK	CHANGED		OK: 公式Code Geass; 双貌のオズヘボン; オズO2=ozu+ラテンO2→o2
186	機動戦士ガンダムUCバンデシネEpisode:0	キドウ センシ ガンダム ユーシー バンデシネ エピソード ゼロ	kido-senshi-gandamu-yushii-bandeshine-episodo-zero	kido-senshi-gandamu-uc-bandeshine-episode-0	OK	CHANGED		OK: ガンダムgandamu; ラテンUC字面; バンデシネ=仏bande dessinee和製→ヘボンbandeshine; Episode:0字面
187	シャネルNo.5	シャネル ナンバー ファイブ	shaneru-nanbaa-faibu	chanel-no-5	OK	CHANGED		OK: 公式ブランドChanel No.5; シャネル→chanel英綴り; No.5字面
188	月光学園1年B組	ゲッコウ ガクエン イチネン ビーグミ	gekko-gakuen-ichinen-biigumi	gekko-gakuen-ichinen-b-gumi	OK	CHANGED		OK: 月光学園1年ヘボン; B組=ラテンB+gumi
189	ようこそ!FACT〈東京S区第2支部〉へ	ヨウコソ ファクト トウキョウ エスク ダイ ニ シブ エ	yokoso-fakuto-tokyo-esuku-dai-ni-shibu-e	yokoso-fact-tokyo-s-ku-dai-ni-shibu-e	OK	CHANGED		OK: ようこそヘボン; ラテンFACT字面; 東京S区=tokyo+S+ku; へ=助詞e
