slug	title	authors	nvol	pubgrps	yearspan	cm104_editions
nagasarete-airantou	ながされて藍蘭島	藤代健	43	301,757	2003-2025	2
naniwa-doraihon	難波鉦異本	もりもと崇	3	047,785	2003-2010	2
nanto-magoroku	なんと孫六	さだやす圭	81	061,063	1981-2014	2
nekojiru-udon	ねこぢるうどん	ねこぢる	3	160,792	1992-1999	2
neon-chou	ネオン蝶	東克美	10	832,862	1999-2008	2
nibelung-no-yubiwa	ニーベルングの指環	松本零士	8	106,107	1992-2002	2
nigakute-amai	にがくてあまい	小林ユミヲ	13	800,861	2010-2017	2
nijiiro-no-trotsky	虹色のトロツキー	安彦良和	8	267,575	1994-2010	2
ningen-club	人間倶楽部	寺館和子	10	391,872	1992-1997	2
noomaaku-bakuhaitou	ノーマーク爆牌党	片山まさゆき	8	812,884	1991-1996	2
nyan-koi	にゃんこい!	藤原里	6	593,797	2008-2014	2
nyohanbou	女犯坊	ふくしま政美	4	408,872	1997-2009	2
obake	オバケ	畑中純	3	061,334	1992-2008	2
odenwa-omachishitemasu	お電話お待ちしてます	しらいしあい	3	253,391	1982-1989	2
offline-game	おふらいんげーむ	えむあ	8	575,873	2008-2014	2
oh-toumei-ningen	Oh!透明人間	中西やすひろ	11	061,063	1982-1987	2
okane-ga-nai	お金がないっ	香坂透/篠崎一夜	19	344,756	2002-2026	2
omae-no-kaa-chan-bitch	お前の母ちゃんBitch!	内田春菊	2	821,884	1994-2012	2
omega-7	Omega 7	小林源文	6	797,890	1994-2014	2
onna-shiokinin-zebura	女仕置人ゼブラ	篠原とおる	6	845,862	1989-2009	2
ooi-yamabiko	オーイ!!やまびこ	矢口高雄	7	063,620	1988-1996	2
orange-2012	orange	高野苺	7	088,575	2012-2022	2
ore-nimo-kure	俺にもくれ	柳沢きみお	3	091,916	1990-1999	2
otona-ni-naru-jumon	大人になる呪文	パニックアタック	4	847,925	2002-2008	2
otona-no-shikumi	おとなのしくみ	鈴木みそ	4	757,893	1997-2002	2
oyaji-kairou-e-youkoso	オヤジ回廊へようこそ	みささぎ楓李	2	835,862	2003-2009	2
pachipro-hyena	パチプロハイエナ	谷村ひとし	10	537,796	1996-2001	2
pandora-yoshinaga-1995	パンドラ	明智抄	2	257,835	1995-2014	2
rakudai-ninja-rantarou	落第忍者乱太郎	尼子騒兵衛	65	022,651	1989-2019	2
renaidisutooshon	恋愛ディストーション	犬上すくね	8	091,785	2000-2013	2
rihei-san-toko-no-obaa-chan	利平さんとこのおばあちゃん	法月理栄	3	091,757	1985-2006	2
rockman-8	ロックマン8	出月こーじ	3	063,835	1997-2015	2
ruriko-joou-no-kareinaru-hibi	瑠璃子女王の華麗なる日々	巻来功士	2	088,845	1997-2016	2
rush	Rush	西村しのぶ	5	396,575	1998-2011	2
sachiko-to-kamineko-sama	サチコと神ねこ様	wako	7	047,396	2016-2022	2
saihate-no-diasuta	最果てのディアスタ	琴音らんまる	3	040,047	2010-2017	2
saikyou-no-tenshi-nishite-saiai-no-akuma	最強の天使ニシテ最愛の悪魔	中貫えり	9	022,257	2007-2013	2
saiyuu-youenden	西遊妖猿伝	諸星大二郎	16	267,575	1984-2000	2
saiyuuki	最遊記	峰倉かずや	9	757,870	1997-2002	2
saki	咲	小林立	26	301,757	2007-2026	2
sanren-aruchizan	三連アルチザン	猿屋ハチ	2	861,866	2013-2018	2
sasami-street	ささみストリート	青木光恵	3	197,924	1993-1999	2
seiden-rg-veeda	聖伝 RG VEDA	CLAMP	8	041,403	1990-2012	2
seifuku-nuidara	制服ぬいだら♪	渡辺航	6	063,253	2003-2009	2
seisenki-erunasaaga	聖戦記エルナサーガ	堤抄子	13	757,870	1994-1999	2
seito-sho-kun-saishuushou-tabidachi	生徒諸君!最終章・旅立ち	庄司陽子	30	063,065	2011-2019	2
sengoku-gonbee	センゴク権兵衛	宮下英樹	27	063,065	2016-2022	2
shi-to-kanojo-to-boku	死と彼女とぼく	川口まどか	10	061,063	1991-1999	2
shichou-tooyama-kyouka	市長遠山京香	赤石路代	11	091,778	2001-2008	2
shikou-shounen	思考少年	藤原薫	3	778,789	1997-2006	2
shin-obake-no-qtarou	新オバケのQ太郎	藤子・F・不二雄	7	091,124	1975-1989	2
shinsei-motemote-oukoku	神聖モテモテ王国	ながいけん	7	090,091	1997-2008	2
shinya-shokudou	深夜食堂	安倍夜郎	30	091,098	2007-2025	2
shippo-ga-tomodachi	シッポがともだち	桜沢エリカ	6	087,088	1991-2005	2
shiritsu-araisokoutougakkou-seitokai-shikkoubu	私立荒磯高等学校生徒会執行部	峰倉かずや	3	199,758	2000-2013	2
shiritsu-sairyou-koukou-chounouryokubu	私立彩陵高校超能力部	石田あきら	7	758,901	2003-2009	2
shishi-no-musume	獅子の娘	寺館和子	9	821,832	1990-2000	2
shounen-shinkaron	少年進化論	くさなぎ俊祈	7	056,088	1998-2008	2
sodomu	そどむ	小野塚カホリ	3	063,796	2000-2007	2
sokkou-seitokai	速攻生徒会	小川雅史	3	063,881	1995-2001	2
staygold	STAYGOLD	秀良子	6	396,758	2014-2021	2
sweet-wheels	SWEET WHEELS	田中むねよし	2	063,873	1991-1998	2
taberemasen	食べれません	風間やんわり	14	061,063	1996-2013	2
taimashin	退魔針	斎藤岬	11	789,796	1995-2001	2
taishou-romantica	大正ロマンチカ	小田原みづえ	22	776,861	2012-2019	2
takeko-san-no-koibito	タケコさんの恋人	望月玲子	12	061,063	1991-1996	2
takopon	タコポン	いましろたかし	3	575,757	1995-2003	2
tamago-no-hi	卵の日	直野儚羅	3	835,862	2004-2009	2
tarashi-kun	たらし君	平ひさし	3	537,754	1986-1991	2
teikoku-kyoudai	帝国兄弟	舵英里	8	864,887	2005-2011	2
teizokureigari	低俗霊狩り	奥瀬サキ	5	592,847	1987-2016	2
tenjounoniji	天上の虹	里中満智子	23	061,063	1984-2015	2
teyandei-baby	てやんでいbaby	とみさわ千夏	7	061,063	1992-1998	2
tezuka-osamu-monogatari	手塚治虫物語	伴俊男/手塚プロダクション	3	022,323	1992-2009	2
toki-o-kaketa-shoujotachi	時をかけた少女たち	かやまゆみ	6	061,063	1996-2002	2
tokyo-bakuhatsu-musume	東京爆発娘	伊藤伸平	2	047,829	1992-1998	2
tokyo-monogatari	東京物語	いしかわじゅん	8	088,861	1989-2005	2
tono-chan-no-shimashima-eburidi	TONOちゃんのしましまえぶりでぃ	TONO	5	022,257	2005-2023	2
toukyouto-kitaku-akabane	東京都北区赤羽	清野とおる	4	575,766	2009-2015	2
uchuu-kyoudai	宇宙兄弟	小山宙哉	45	063,065	2008-2025	2
umi-no-kishidan	海の綺士団	戸川視友	17	864,887	2005-2010	2
unkai-no-tabibito	雲界の旅人	あろひろし/スタヂオぱらのい屋	2	197,198	1989-1995	2
usagiotoko-toraotoko	兎オトコ虎オトコ	本間アキラ	5	592,778	2009-2022	2
vaelber-saga	ヴェルバーサーガ	結城信輝	3	049,829	1990-2003	2
warau-kyuuketsuki	笑う吸血鬼	丸尾末広	2	047,253	2000-2016	2
wild-adapter	WILD ADAPTER	峰倉かずや	7	199,758	2001-2015	2
yasha-kisouden	夜叉鬼想伝	中川勝海	6	049,882	1991-2002	2
yondemasuyo-azazeru-san	よんでますよ、アザゼルさん。	久保保久	16	063,065	2008-2019	2
yoshie-san	よしえサン	須賀原洋行	8	061,063	1991-2000	2
you	妖	真東砂波	3	253,835	2000-2005	2
yume-hotel	夢ホテル	星野めみ	9	796,873	1993-2002	2
zakoken-maruchou	ざこ検〔○潮〕	高田靖彦	5	091,862	2002-2009	2
garouden	餓狼伝	板垣恵介	26	063,253,257,796	1990-2012	0
ginga-eiyuu-densetsu	銀河英雄伝説	藤崎竜	34	088,197,198,199	1989-2026	0
kichikujima	鬼畜島	外薗昌也	24	801,812,866,909	2014-2022	0
mobile-suit-gundam-thunderbolt	機動戦士ガンダムサンダーボルト	太田垣康男/富野由悠季	26	041,091,098,099	2012-2025	0
reikan-doubutsu-tanteisha	霊感動物探偵社	山内規子	15	766,867,907,910	2011-2025	0
12sai	12歳。	まいた菜穂	20	091,098,099	2013-2020	0
afumi-no-umi	淡海(あふみ)乃海	もとむらえり	13	864,866,867	2019-2026	0
ai-to-yokubou-wa-gakuen-de	愛と欲望は学園で	梅沢はな	12	862,864,877	2005-2011	0
arafoo-kenja-no-isekai-seikatsu-nikki	アラフォー賢者の異世界生活日記	西野リュウ	16	040,301,757	2018-2026	0
atarashii-game-hajimemashita-comic	新しいゲーム始めました。@COMIC	山本清史/じゃがバター/SUDACCI	3	864,866,867	2019-2026	0
boku-wa-tomodachi-ga-sukunai	僕は友達が少ない	いたち	20	040,046,840	2010-2021	0
cardfight-vanguard	カードファイト!!ヴァンガード	伊藤彰	12	041,047,048	2011-2017	0
chocolate-vampire	チョコレート・ヴァンパイア	くまがい杏子	18	091,098,099	2017-2022	0
cyborg-009	サイボーグ009	シュガー佐藤/土山よしき	36	253,840,889	1966-2003	0
d-flag	ディーふらぐ!	春野友矢	20	040,046,840	2009-2025	0
dance-in-the-vampire-bund-age-of-scarlet-order	ダンスインザヴァンパイアバンドエイジオブスカーレットオーダー	環望	17	864,866,867	2018-2025	0
danna-sama-ga-asa-kara-ban-made-hanashi-tekurenai	旦那様が朝から晩まで放してくれない	西いちこ	7	867,907,910	2020-2025	0
debu-to-love-to-ayamachi-to	デブとラブと過ちと!	旧都なぎ	11	302,596,866	2020-2026	0
dekisokonai-to-yobareta-motoeiyuu-wa-jikka-kara-tsuihousareta-sareta-node-sukikatte-ni-ikiru-koto	出来損ないと呼ばれた元英雄は、実家から追放されたので好き勝手に生きることにした@COMIC	烏間ル	9	864,866,867	2019-2024	0
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	757,870,900	1990-1999	0
dynamite-staff	ダイナマイトスタッフ	思い当たる	3	894,931,938	1993-1998	0
gakken-manga-nippon-no-rekishi	学研まんが 日本の歴史	伊東章夫	6	050,051,052	1982-1993	0
girls-ando-panzer-motto-raburabu-sakusen-desu	ガールズ&パンツァーもっとらぶらぶ作戦です!	深緑野分	24	040,046,840	2013-2026	0
hard-core	ハード・コア	いましろたかし	4	047,253,757	1993-2017	0
haru-o-daiteita	春を抱いていた	新田祐克	14	835,862,882	1999-2009	0
himawari-san	ひまわりさん	菅野マナミ	13	040,046,840	2011-2022	0
ichigomashimaro	苺ましまろ	ばらスィー	9	048,049,840	2003-2023	0
inden-san-to-enmusubi	印伝さんと縁結び	小糸さよ	12	776,861,867	2015-2022	0
kage-kara-mamoru	陰からマモル!	まだらさい	8	040,046,840	2007-2022	0
kara-no-kyoukai	空の境界	天空すふぃあ	12	048,063,065	2008-2023	0
karakaijouzu-no-takagi-san	からかい上手の高木さん	山本崇一朗	19	091,098,099	2014-2023	0
kidan-ningyoushi-ugetsu-no-hyakumonogatari	鬼談人形師雨月の百物語	櫂広海	16	766,907,910	2011-2022	0
kinkon-tosa-nikki	きんこん土佐日記	村岡マサヒロ	14	875,906,910	2006-2025	0
kuiinzu-kuoritei	クイーンズ・クオリティ	最富キョウスケ	25	091,098,099	2016-2025	0
kumamiko	くまみこ	吉元ますめ	20	040,046,840	2013-2024	0
kyou-no-jinsei	今日の人生	益田ミリ	3	903,909,911	2017-2024	0
mahouka-koukou-no-rettousei	魔法科高校の劣等生	柚木N'/蒼和伸	8	048,049,757	2018-2024	0
motherfuckers	マザーファッカーズ	藤生	3	862,864,866	2007-2022	0
mujintou-de-elf-to-kyoudou-seikatsu-attomaaku-comic	無人島でエルフと共同生活@COMIC	ちわ小太郎	8	864,866,867	2019-2024	0
musunde-hiraite	むすんでひらいて	水瀬マユ	8	088,800,861	1997-2013	0
netsuai-prince	熱愛プリンス	青月まどか	21	776,861,867	2014-2024	0
nokemono-to-hanayome	ノケモノと花嫁	中村明日美子	8	344,757,908	2009-2020	0
nonnon-hiyori	のんのんびより	あっと	16	040,046,840	2010-2021	0
odayaka-kizoku-no-kyuuka-no-susume	穏やか貴族の休暇のすすめ。@COMIC	岬pub. 2018/柚木ゆの/鵜呑	15	864,866,867	2019-2026	0
oji-sama-koushaku-wa-koisuru-otoshigoro	おじさま侯爵は恋するお年頃	時千	16	776,861,867	2014-2023	0
okashina-tensei	おかしな転生	古流望/飯田せりこ/富沢みどり	14	864,866,867	2018-2026	0
pachisuro-hitoritabi	パチスロひとり旅	奥田渓竜	8	861,865,893	2001-2014	0
peace-maker-kurogane	PEACE MAKER鐵	黒乃奈々絵	11	800,861,901	2002-2016	0
romeo	Romeo	わたなべあじあ	4	896,909,910	2017-2025	0
seikai-no-monshou	星界の紋章	米村孝一郎	8	593,840,866	2000-2021	0
sengoku-jieitai	戦国自衛隊	田辺節雄	4	253,418,845	1985-2022	0
sex-pistols	SEX PISTOLS	寿たらこ	11	799,835,862	2004-2023	0
sheerlore	シアロア	田口囁一	3	088,866,909	2012-2020	0
sketchbook	スケッチブック	小箱とたん	14	800,861,901	2003-2019	0
sonic-the-hedgehog	ソニック・ザ・ヘッジホッグ	セガゲームス/彩月つかさ/FlynnIan/Yardley!Tracy/HermsMatt/ItoLeonardo/ThomasAdam Bryce/LawrenceJack/ほのかあかり/StanleyEvan/HernandezJennifer/BreckleHeather/セガ (2020年)/WellsLamar/GrahamReggie/TramontanoPriscilla	8	909,910,911	2020-2025	0
sousei-no-taiga	創世のタイガ	森恒二	14	063,065,592	2017-2026	0
suikoden-sentaro-1980	水滸伝	沼田清/真崎守	10	061,062,418	1980-2004	0
tactics	tactics	東山和子/木下さくら	15	800,861,901	2002-2013	0
teiamuun-teikoku-monogatari-dantoudai-kara-hajimaru-hime-no-tensei-gyakuten-story-attomaaku-comic	ティアムーン帝国物語～断頭台から始まる、姫の転生逆転ストーリー～@COMIC	杜乃ミズ	11	864,866,867	2020-2026	0
toaru-kagaku-no-railgun	とある科学の超電磁砲	冬川基/鎌池和馬	14	048,049,840	2007-2025	0
toradora	とらドラ!	絶叫	11	048,049,840	2008-2023	0
touhou-sangetsusei	東方三月精	松倉ねむ/比良坂真琴	3	041,047,048	2007-2012	0
trinity-blood	トリニティ・ブラッド	九条キヨ	21	041,048,049	2004-2018	0
upotte	うぽって!!	天王寺きつね	15	041,047,048	2010-2024	0
wanko-to-nyanko	わんことにゃんこ	天咲吉実	7	862,864,866	2007-2017	0
yamato-wa-koi-no-mahoroba	やまとは恋のまほろば	浜谷みお	8	160,866,909	2019-2025	0
yotsuba-to	よつばと!	あずまきよひこ	16	048,049,840	2003-2025	0
zone-00	ZONE-00	九条キヨ	20	041,048,835	2005-2022	0
0-saiji-start-dash-monogatari	0歳児スタートダッシュ物語	はやせれく	9	867,910	2021-2026	0
1-nichi-gaishutsuroku-hanchou	1日外出録ハンチョウ	萩原天晴/上原求/新井和也	22	063,065	2017-2026	0
100-man-no-inochi-no-ue-ni-ore-wa-tatte-iru	100万の命の上に俺は立っている	奈央晃徳	23	063,065	2016-2026	0
100-paasento-jorei-suru-otoko	100%除霊する男	おのでらさん	3	040,046	2020-2025	0
12beast	12BEAST	オカヤド	7	040,047	2013-2019	0
29-sai-dokushin-chuuken-boukensha-no-nichijou	29歳独身中堅冒険者の日常	奈良一平	21	063,065	2016-2026	0
30sai-made-doutei-dato-mahoutsukai-30-narerurashii	30歳まで童貞だと魔法使いになれるらしい	豊田悠	15	301,757	2018-2025	0
37-do-5-bu-no-namida	37.5℃(さんじゅうななどごぶ)の涙	椎名チカ	24	091,098	2014-2022	0
5-ji-kara-9-ji-made	5時から9時まで	相原実貴	16	091,098	2010-2020	0
5-nin-no-ou	5人の王	恵庭/絵歩	10	861,866	2015-2025	0
a-un	阿・吽	おかざき真里	14	091,098	2014-2021	0
aburakadabura	アブラカダブラ	芳崎せいむ	5	091,098	2016-2021	0
after-5-wa-kiss-no-ame	アフター5はkissの雨	果桃なばこ	7	835,882	1998-2005	0
agharta	AGHARTA	松本嵩春	11	088,847	1976-2017	0
ahiru-no-sora	あひるの空	日向武史	50	063,065	2001-2018	0
ai-no-tatakiuri-bussanten	愛のたたき売り物産展	胡桃ちの	4	801,812	2013-2019	0
aimaimii	あいまいみー	ちょぼらうにょぽみ	11	801,812	2010-2021	0
aishiteru	あいしてる	守村大	26	061,063	1989-1995	0
aitsu-no-daihonmei	アイツの大本命	田中鈴木	14	799,862	2008-2025	0
ajin	亜人	桜井画門	17	063,065	2013-2021	0
akuyaku-reijou-no-taida-na-tameiki	悪役令嬢の怠惰な溜め息	ほしの総明	10	040,046	2020-2025	0
akuyaku-reijou-no-tsuihougo	悪役令嬢の追放後!	吉村旋	11	040,046	2019-2024	0
akuyaku-reijou-seshiria-shirubii-wa-shinitakunai-node-dansou-suru-koto-ni-shita	悪役令嬢、セシリア・シルビィは死にたくないので男装することにした。	桜小路むつみ/秋山シノ	8	040,046	2020-2025	0
akuyaku-reijou-wa-kiraware-kizoku-ni-koi-o-suru	悪役令嬢は嫌われ貴族に恋をする	伊吹有/葉山湊月	5	040,046	2020-2025	0
all-out	ALL OUT!!	雨瀬シオリ	17	063,065	2013-2020	0
allen-to-dolan	アレンとドラン	麻生みこと	7	063,065	2017-2022	0
amaama-to-inazuma	甘々と稲妻	雨隠ギド	12	063,065	2013-2019	0
amanchu	あまんちゅ!	天野こずえ	17	800,861	2009-2021	0
amano-megumi-wa-sukidarake	天野めぐみはスキだらけ!	ねこぐち	28	091,098	2016-2021	0
ame-nochi-hare	あめのちはれ	びっけ	8	047,757	2009-2015	0
anata-o-korosu-tabi	あなたを殺す旅	浅井西	2	199,253	2020-2025	0
andromeda-stories	アンドロメダ・ストーリーズ	竹宮惠子/光瀬竜	3	063,257	1983-1999	0
ane-naru-mono	姉なるもの	飯田ぽち。	6	048,049	2016-2022	0
animeta	アニメタ!	花村ヤソ	5	063,065	2015-2020	0
ansangu-cinderella	アンサングシンデレラ	Winshluss	15	199,867	2018-2025	0
ansatsusha-de-aru-ore-no-suteetasu-ga-yuusha-yorimo-akiraka-ni-tsuyoi-nodaga	暗殺者である俺のステータスが勇者よりも明らかに強いのだが	合鴨ひろゆき	6	824,865	2019-2025	0
anzu-ando-ei	杏＆影	前原滋子	6	061,063	1984-1994	0
ao-no-orchestra	青のオーケストラ	阿久井真	14	091,098	2017-2026	0
aoashi	アオアシ	小林有吾	39	091,098	2015-2025	0
aoi-honoo	アオイホノオ	島本和彦	32	091,098	2008-2025	0
aono-kun-ni-sawaritai-kara-shinitai	青野くんに触りたいから死にたい	椎名うみ	14	063,065	2017-2026	0
aozakura	あおざくら	二階堂ヒカル	36	091,098	2016-2025	0
araburu-shishi	荒らぶる獅子	ももなり高	5	812,909	2001-2018	0
arifureta-nichijou-de-sekai-saikyou	ありふれた日常で世界最強	森みさき	5	824,865	2018-2023	0
arifureta-shokugyou-de-sekai-saikyou	ありふれた職業で世界最強	くっきぃ	16	824,865	2016-2025	0
arslan-senki	アルスラーン戦記	荒川弘	24	048,065	1991-2026	0
arte	アルテ	大久保圭	20	199,867	2014-2025	0
aru-hi-inu-no-kuni-kara-tegami-ga-kite	ある日犬の国から手紙が来て	竜山さゆり/松井雄功	11	091,098	2012-2019	0
aru-hi-ohime-sama-ni-natte-shimatta-ken-ni-tsuite	ある日、お姫様になってしまった件について	(unknown)	13	040,046	2019-2026	0
arukimedesu-no-taisen	アルキメデスの大戦	三田紀房	38	063,065	2016-2023	0
asa-made-jugyou-chu	朝まで授業chu!	むにゅう	4	040,840	2010-2016	0
asagiro	アサギロ	ヒラマツ・ミノル	31	091,098	2009-2025	0
ashondeyotsu	あしょんでよッ	映画館	10	040,046	2015-2021	0
asobi-ni-iku-yo	あそびにいくヨ!	888	10	040,840	2007-2014	0
asoko-de-hataraku-musubu-san	あそこではたらくムスブさん	モリタイシ	7	091,098	2018-2025	0
asu-watashi-wa-dareka-no-kanojo	明日、私は誰かのカノジョ	高成利季	17	091,098	2019-2024	0
atom-the-beginning	アトムザ・ビギニング	カサハラテツロー	23	864,868	2015-2025	0
awakoi	泡恋	水波風南	5	091,098	2016-2021	0
babel	BABEL	石川優吾	10	091,098	2012-2021	0
baby-steps	ベイビーステップ	勝木光	47	063,065	2008-2017	0
baggataway	バガタウェイ	古日向いろは	12	800,861	2009-2015	0
baka-to-test-to-shoukanjuu	バカとテストと召喚獣	まったくモー助/夢唄	15	041,047	2009-2015	0
bakemono-yawazukushi	ばけもの夜話づくし	マツリ	12	040,046	2016-2023	0
bakudan-1995	BAKUDAN	宮下あきら	2	088,834	1995-2012	0
bakushou-suit-sd-gundam	爆笑戦士!SDガンダム	佐藤元	7	061,835	1989-2026	0
ballroom-e-youkoso	ボールルームへようこそ	竹内友	12	063,065	2012-2022	0
bara-saku-oniwa-de-ochakai-o	薔薇咲くお庭でお茶会を	天音佑湖	8	091,098	2013-2018	0
barairo-no-yakusoku	薔薇色ノ約束	宮坂香帆	13	091,098	2015-2025	0
batsu-x-ichi	ばつ×いち	おーはしるい	11	801,812	2009-2022	0
battle-studies	バトルスタディーズ	なきぼくろ	46	063,065	2015-2026	0
beageruta	ベアゲルター	沙村広明	7	063,065	2013-2024	0
benriya-saitou-san-isekai-ni-iku	便利屋斎藤さん、異世界に行く	一智和智	14	040,046	2019-2026	0
bkyuu-gourmet-club	B級グルメ倶楽部	今市子	5	861,896	2003-2016	0
black-alice	ブラックアリス	なかむらさとみ	11	091,098	2017-2024	0
black-girls-talk	ブラックガールズトーク	マキノマキ	10	091,098	2019-2026	0
black-kigyou-no-shine-ga-neko-ni-natte-jinsei-ga-kawatta-hanashi-mofuta-kun-no-baai	ブラック企業の社員が猫になって人生が変わった話〈モフ田くんの場合〉	おおがきなこ	8	040,046	2019-2026	0
black-na-kishidan-no-dorei-ga-white-na-boukensha-guild-ni-hikinukarete-esuranku-ni-narimashita	ブラックな騎士団の奴隷がホワイトな冒険者ギルドに引き抜かれてSランクになりました	ハム梟	10	824,865	2021-2026	0
blangel	BLANGEL	渡瀬行人	2	799,860	2007-2012	0
blattodea	ブラトデア	横山旬	8	301,757	2020-2025	0
blood-lad	ブラッドラッド	小玉有起	17	041,047	2010-2016	0
blue-moment	BLUE MOMENT	小沢かな	3	040,046	2019-2024	0
bocchi-hakase-to-robot-shoujo-no-zetsubouteki-utopia	ぼっち博士とロボット少女の絶望的ユートピア	堀祐介	3	091,098	2017-2023	0
boku-to-kanojo-no-peke-mittsu	僕と彼女の×××	森永あい	8	861,901	2003-2011	0
bolt-and-nut	ボルト＆ナット	田中むねよし	16	777,873	1998-2010	0
bonkura-onmyouji-no-oniyome	ぼんくら陰陽師の鬼嫁	遠野由来子	13	040,253	2018-2026	0
boogiepop-wa-warawanai	ブギーポップは笑わない	緒方剛志	3	049,840	2001-2018	0
border-kyoukaisen	Border境界線	こだか和麻	7	331,870	2008-2016	0
botsuraku-yotei-no-kizoku-dakedo-hima-datta-kara-mahou-o-kiwamete-mita-comic	没落予定の貴族だけど、暇だったから魔法を極めてみた@COMIC	海産物/秋咲りお	11	866,867	2020-2026	0
boukyaku-no-sachiko	忘却のサチコ	阿部潤	26	091,098	2014-2026	0
boushoku-no-beruseruku	暴食のベルセルク	御影獏	15	867,896	2018-2026	0
brave10s	BRAVE10S	霜月かいり	9	040,840	2011-2016	0
brother-trap	ブラザー・トラップ	日向きょう	10	040,046	2018-2023	0
buchou-no-yoru-teku-ga-sugosu-gite-koshi-ga-uki-masu-uzuki-masu	部長の夜テクが凄すぎて腰が浮きます疼きます	大塚あきら	11	867,910	2020-2026	0
buddha-o-meguru-hitobito	ブッダをめぐる人々	里中満智子	2	122,333	2006-2014	0
bukiyou-na-senpai	不器用な先輩。	工藤マコト	11	301,757	2020-2026	0
bukiyouna-silent	不器用なサイレント	高永ひなこ	6	799,862	2006-2017	0
buta-koushaku-ni-tensei-shitakara-kondo-wa-kimi-ni-suki-to-iitai	豚公爵に転生したから、今度は君に好きと言いたい	fujy	8	040,046	2018-2023	0
byoushitsu-de-nenbutsu-o-tonaenaide-kudasai	病室で念仏を唱えないでください	こやす珠世	7	091,098	2013-2020	0
c-m-b	C.M.B.	加藤元浩	45	063,065	2006-2020	0
canaan	CANAAN	石田あきら	3	047,049	1995-2011	0
chaser	チェイサー	コージィ城倉	6	091,098	2013-2019	0
cheezare	チェーザレ	惣領冬実	13	063,065	2006-2022	0
chi-no-wadachi	血の轍	押見修造	17	091,098	2017-2023	0
chi-to-hai-no-joou	血と灰の女王	バコハジメ	25	091,098	2017-2025	0
chichi-to-higegorira-to-watashi	父とヒゲゴリラと私	小池定路	7	801,812	2012-2019	0
chichi-wa-eiyuu-haha-wa-seirei-musume-no-watashi-wa-tenseisha	父は英雄、母は精霊、娘の私は転生者。	上原ひびき	14	301,757	2019-2026	0
chii-chan-no-oshinagaki-hanjouki	ちぃちゃんのおしながき繁盛記	大井昌和	13	801,812	2009-2025	0
chii-chan-no-oshinagaki	ちぃちゃんのおしながき	大井昌和	20	801,812	2004-2025	0
chikita-gugu	チキタ・gugu	TONO	8	022,257	2000-2008	0
chikyuu-bouei-shoujo-iko-chan	地球防衛少女イコちゃん	あさりよしとお	2	047,592	1990-1999	0
chikyuuzeronen	地球0年	田辺節雄	2	253,418	1985-2003	0
chiruran-shinsengumi-requiem	ちるらん新撰組鎮魂歌	橋本エイジ	36	199,867	2011-2023	0
cho-hakkai	Cho八戒	さいとう・たかを	4	796,845	1990-2022	0
chopin-no-jikenfu	ショパンの事件譜	あおきてつお	6	091,098	2015-2020	0
chou-dokyuu-kuubo-yamato	超弩級空母大和	奥田誠治/三木原慧一	4	056,814	1998-2019	0
chou-jikuu-yousai-macross-za-first	超時空要塞マクロスTHE FIRST	美樹本晴彦	6	041,047	2009-2015	0
choujuu-densetsu-gestalt	超獣伝説ゲシュタルト	高河ゆん	8	757,870	1994-2001	0
chouken-leap	超犬リープ	桑田二郎	3	257,775	1967-2004	0
choukou-sennin-haruka	超昂閃忍ハルカ	ALICESOFT	4	048,860	2009-2016	0
christie-london-massive	クリスティ・ロンドンマッシブ	新谷かおる	5	040,840	2012-2017	0
christmas-carol	クリスマス・キャロル	Teamバンミカス/DickensCharles	2	052,879	1996-2023	0
chuukan-kanriroku-tonegawa	中間管理録トネガワ	橋本省吾	10	063,065	2015-2020	0
city	CITY	あらゐけいいち	15	063,065	2017-2025	0
clannad-2008	CLANNAD	しゃあ	5	048,840	2008-2014	0
cluster	CLUSTER	秋山たまよ	6	775,883	1991-2002	0
coffee-ando-vanilla	コーヒー&バニラ	朱神宝	25	091,098	2015-2025	0
cold-game	コールドゲーム	和泉かねよし	11	091,098	2018-2026	0
comic-higashino-keigo-mystery	コミック東野圭吾ミステリー	オキモト・シュウ	2	253,408	2014-2019	0
concierge	コンシェルジュ	藤栄道彦	21	063,107	2003-2010	0
dai-ku-no-hatou	第九の波濤	草場道輝/板橋大祐	24	091,098	2017-2023	0
daidark	大ダーク	林田球	9	091,098	2019-2025	0
daikagaku-shoujo	大科学少女	渋谷圭一郎	3	047,575	2014-2022	0
daikichi-soba	大吉蕎麦	橋本孤蔵	2	537,845	2002-2024	0
daisannogokudou	第三の極道	村上和彦	10	812,884	1991-2005	0
danberu-nankiro-moteru	ダンベル何キロ持てる?	MAAM	20	091,098	2016-2024	0
dance-dance-danseur	ダンス・ダンス・ダンスール	ジョージ朝倉	30	091,098	2016-2026	0
dansai-bunri-no-crime-edge	断裁分離のクライムエッジ	緋鍵龍彦	11	040,840	2009-2015	0
dare-ni-demo-dekiru-kage-kara-tasukeru-maou-toubatsu	誰にでもできる影から助ける魔王討伐	貴島煉瓦	6	040,046	2018-2024	0
datte-oyama-kun-ga-tsuyai	だって小山くんが艶い。	島﨑結太	3	091,098	2015-2020	0
days-yasuda-2018	DAYS	安田剛士	42	063,065	2013-2021	0
